,firstName,lastName,position,jerseyNum,age,height,weight,overall_rating,awareness_rating,strength_rating,catchInTraffic_rating,pursuit_rating,catching_rating,spinMove_rating,finesseMoves_rating,runBlock_rating,tackle_rating,zoneCoverage_rating,runningStyle_rating,trucking_rating,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,breakSack_rating,jumping_rating,release_rating,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,stamina_rating,kickPower_rating,throwUnderPressure_rating,blockShedding_rating,passBlockFinesse_rating,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,playAction_rating,mediumRouteRunning_rating,acceleration_rating,spectacularCatch_rating,injury_rating,deepRouteRunning_rating,throwAccuracyShort_rating,speed_rating,runBlockPower_rating,toughness_rating,throwOnTheRun_rating,manCoverage_rating,stiffArm_rating,powerMoves_rating,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,passBlock_rating,changeOfDirection_rating,press_rating,throwAccuracyDeep_rating,runBlockFinesse_rating,agility_rating
0,Stefon,Diggs,WR,14,27,72,191,96,95,62,93,35,95,89,10,53,27,25,Default Stride Loose,42,97,20,94,27,91,91,12,23,30,92,30,20,35,22,46,85,29,92,18,97,94,97,87,94,27,92,36,87,27,15,64,10,20,49,74,84,39,96,15,18,33,93
1,Tre'Davious,White,CB,27,26,71,192,94,97,75,58,77,73,74,36,25,66,94,Short Stride Bread Loaf,28,82,92,35,40,82,32,66,22,18,95,22,30,53,35,36,80,18,82,16,25,93,70,90,18,28,91,35,81,31,96,43,28,35,55,65,74,25,89,94,18,35,91
2,Jordan,Poyer,SS,21,30,72,191,88,90,66,45,86,74,65,54,35,75,89,Short Stride Loose,25,66,88,35,15,79,15,68,6,25,93,25,19,62,35,30,65,12,60,6,25,91,68,87,20,6,88,35,74,6,84,15,46,35,57,65,30,35,86,80,6,35,87
3,Micah,Hyde,FS,23,30,72,197,88,91,58,48,81,75,74,49,35,73,91,Short Stride Loose,33,84,87,33,14,83,25,71,6,48,90,56,25,55,35,30,83,12,83,6,23,89,66,93,18,6,89,35,69,6,81,45,36,35,57,74,59,35,83,83,6,35,88
4,Josh,Allen,QB,17,25,77,237,87,83,76,20,33,40,62,9,17,32,18,Default,73,82,15,22,93,90,18,11,84,14,91,22,86,23,10,99,13,17,92,87,15,88,23,92,13,87,86,10,89,93,12,79,9,15,26,57,80,14,82,9,86,10,85
5,Cole,Beasley,WR,11,32,68,174,85,88,61,86,66,96,88,10,51,39,25,Default Stride Loose,44,86,31,92,25,89,76,15,36,24,93,28,33,49,15,52,77,21,85,24,87,88,85,91,80,41,86,16,93,38,15,44,10,15,41,80,78,32,88,15,33,12,91
6,Emmanuel,Sanders,WR,1,34,71,180,83,86,43,87,35,92,86,10,57,25,25,Short Stride Loose,30,88,20,88,29,90,84,12,35,30,87,30,31,35,11,50,79,20,89,22,86,90,88,87,82,42,88,36,80,10,13,35,10,10,40,70,83,26,86,18,32,33,90
7,Jerry,Hughes,RE,55,33,74,254,83,93,76,25,89,40,35,88,45,79,47,Default Stride Awkward,10,50,88,21,12,83,32,66,6,25,80,26,13,77,45,13,10,18,48,6,14,85,30,90,10,6,81,45,97,6,42,40,72,45,78,48,33,45,65,45,6,45,82
8,Dion,Dawkins,LT,73,27,77,320,82,90,89,10,24,41,11,10,80,31,15,Default Stride Awkward,33,22,13,25,12,66,19,40,6,22,92,24,14,27,86,23,10,84,17,6,14,79,12,92,10,6,68,77,86,6,12,27,10,83,84,28,8,84,50,10,6,82,70
9,Matt,Milano,ROLB,58,27,72,223,82,89,77,44,88,62,38,60,45,84,71,Default Stride Loose,39,51,89,22,12,84,14,82,6,20,91,20,13,79,45,25,10,23,61,6,12,87,54,92,6,6,83,45,86,6,68,54,47,45,84,48,29,45,71,45,6,45,75
