,firstName,lastName,position,jerseyNum,age,height,weight,overall_rating,awareness_rating,strength_rating,catchInTraffic_rating,pursuit_rating,catching_rating,spinMove_rating,finesseMoves_rating,runBlock_rating,tackle_rating,zoneCoverage_rating,runningStyle_rating,trucking_rating,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,breakSack_rating,jumping_rating,release_rating,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,stamina_rating,kickPower_rating,throwUnderPressure_rating,blockShedding_rating,passBlockFinesse_rating,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,playAction_rating,mediumRouteRunning_rating,acceleration_rating,spectacularCatch_rating,injury_rating,deepRouteRunning_rating,throwAccuracyShort_rating,speed_rating,runBlockPower_rating,toughness_rating,throwOnTheRun_rating,manCoverage_rating,stiffArm_rating,powerMoves_rating,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,passBlock_rating,changeOfDirection_rating,press_rating,throwAccuracyDeep_rating,runBlockFinesse_rating,agility_rating
0,Justin,Simmons,FS,31,27,74,202,91,94,66,50,89,77,60,36,18,74,87,Default,53,68,92,22,12,96,22,79,10,19,98,20,22,67,33,26,48,10,58,15,12,91,66,91,10,15,88,34,85,15,82,44,32,34,55,62,47,13,90,65,10,33,96
1,Bryce,Callahan,CB,29,29,69,188,86,87,67,63,80,69,73,33,35,62,89,Default Stride Loose,27,78,89,30,12,96,40,45,6,21,87,24,12,63,35,36,65,15,65,6,20,92,70,85,13,6,93,35,81,6,85,33,34,35,44,61,62,35,88,78,6,35,87
2,Melvin,Gordon III,HB,25,28,73,215,86,88,74,56,49,71,83,16,39,42,20,Default Stride Loose,79,90,20,64,20,85,55,39,10,21,90,22,20,40,31,35,69,36,90,10,57,90,52,89,49,10,91,27,78,15,10,86,12,35,34,88,85,51,88,15,10,28,90
3,Kareem,Jackson,SS,22,33,70,185,85,87,60,39,85,78,70,39,30,70,86,Default Stride Loose,20,80,88,25,10,89,10,90,5,10,91,10,10,65,35,22,44,12,70,5,15,89,64,90,11,5,87,35,67,5,84,10,50,35,52,50,34,30,83,84,5,35,84
4,Bradley,Chubb,ROLB,55,25,76,275,84,86,91,36,88,56,33,87,45,79,50,Long Stride Loose,32,38,87,15,12,86,13,87,6,15,83,18,16,83,45,20,10,17,39,6,8,87,55,92,4,6,84,45,95,6,45,42,82,45,89,53,36,45,68,28,6,45,80
5,Courtland,Sutton,WR,14,25,75,216,84,87,73,90,36,92,73,10,62,33,30,Long Stride Default,72,83,22,83,48,92,84,22,53,15,89,19,37,31,20,62,33,20,82,34,82,92,91,89,76,59,91,38,87,41,23,81,10,25,63,76,79,38,86,15,50,33,92
6,Garett,Bolles,LT,72,29,77,297,84,93,90,30,39,36,15,27,82,38,15,Default Stride Awkward,37,19,26,26,12,70,22,42,6,20,93,22,14,34,86,25,10,90,28,6,16,83,25,87,8,6,74,78,88,6,12,26,33,83,88,29,17,85,57,10,6,83,74
7,Noah,Fant,TE,87,23,76,249,83,82,72,78,38,93,64,19,58,41,22,Long Stride Loose,64,72,28,77,18,93,72,26,15,12,78,17,14,38,55,28,10,47,80,10,73,91,82,89,73,20,89,55,82,10,16,62,16,54,60,76,67,57,78,19,10,58,89
8,Alexander,Johnson,MLB,45,29,74,255,82,88,78,35,87,56,26,50,45,90,67,Default Stride Loose,31,36,85,15,12,83,15,85,6,12,87,16,16,78,45,25,12,20,37,6,5,86,40,84,5,6,81,45,83,6,60,33,58,45,82,42,11,45,73,37,6,45,78
9,Kyle,Fuller,CB,23,29,71,194,82,83,62,65,69,71,65,68,35,59,86,Short Stride Loose,36,66,82,21,10,91,40,82,6,19,94,19,10,50,35,36,50,12,65,6,11,91,64,89,4,6,91,35,87,6,81,40,54,35,52,66,45,35,90,84,6,35,90
10,Shelby,Harris,RE,96,30,74,290,81,86,84,10,86,42,10,78,45,86,25,Default Stride Awkward,32,10,88,10,12,78,12,77,6,21,72,19,12,84,45,24,10,15,25,6,3,84,12,90,2,6,73,45,75,6,20,35,66,45,85,46,10,45,60,10,6,45,67
11,Jerry,Jeudy,WR,10,22,73,193,80,82,64,79,38,81,81,10,45,33,31,Short Stride Loose,56,93,24,86,25,85,77,26,15,17,89,19,21,28,13,27,69,28,87,10,85,93,84,88,83,20,91,27,88,23,23,76,10,18,43,75,77,35,93,26,10,22,93
