,firstName,lastName,position,jerseyNum,age,height,weight,overall_rating,awareness_rating,strength_rating,catchInTraffic_rating,pursuit_rating,catching_rating,spinMove_rating,finesseMoves_rating,runBlock_rating,tackle_rating,zoneCoverage_rating,runningStyle_rating,trucking_rating,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,breakSack_rating,jumping_rating,release_rating,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,stamina_rating,kickPower_rating,throwUnderPressure_rating,blockShedding_rating,passBlockFinesse_rating,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,playAction_rating,mediumRouteRunning_rating,acceleration_rating,spectacularCatch_rating,injury_rating,deepRouteRunning_rating,throwAccuracyShort_rating,speed_rating,runBlockPower_rating,toughness_rating,throwOnTheRun_rating,manCoverage_rating,stiffArm_rating,powerMoves_rating,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,passBlock_rating,changeOfDirection_rating,press_rating,throwAccuracyDeep_rating,runBlockFinesse_rating,agility_rating
0,Quenton,Nelson,LG,56,25,77,329,96,99,97,10,36,19,10,10,92,34,10,Long Stride Awkward,37,12,18,10,12,67,12,28,6,15,91,21,15,27,89,27,10,96,16,6,10,78,12,97,10,6,65,93,91,6,9,10,10,92,94,35,11,91,60,10,6,91,70
1,DeForest,Buckner,DT,99,27,79,295,92,96,91,18,93,40,23,94,45,89,42,Long Stride Loose,45,28,94,14,12,80,17,87,6,19,85,20,17,88,44,22,11,38,38,6,6,85,21,91,3,6,72,44,88,6,33,33,85,46,88,44,13,46,67,22,6,45,84
2,Jonathan,Taylor,HB,28,22,70,226,89,94,80,54,33,70,82,10,34,27,19,Default,88,89,13,62,28,84,51,25,20,15,92,17,15,25,24,29,45,32,92,14,55,92,56,90,48,25,94,27,92,17,12,88,10,29,37,92,90,48,81,14,15,24,84
3,Darius,Leonard,LOLB,53,26,74,215,88,93,78,52,96,73,46,64,45,93,63,Long Stride Default,36,56,96,15,12,90,15,84,6,15,91,21,13,80,45,19,10,25,48,6,5,87,51,93,5,6,86,45,89,6,58,58,59,45,83,58,36,45,78,49,6,45,83
4,Braden,Smith,RT,72,25,78,315,85,89,92,10,27,19,10,10,86,55,17,Long Stride Awkward,29,10,22,10,12,81,15,62,6,14,90,14,15,20,81,22,15,83,17,6,5,79,12,91,5,6,66,88,93,6,10,15,20,86,82,29,8,84,55,10,6,83,62
5,Ryan,Kelly,C,78,28,76,309,85,93,86,19,31,29,16,13,83,32,14,Default Stride Awkward,29,20,19,13,12,74,15,38,6,20,87,20,12,26,84,24,9,83,26,6,5,80,15,90,5,6,70,85,90,6,12,24,12,85,85,25,7,84,59,8,6,81,70
6,Grover,Stewart,DT,90,27,76,315,83,84,92,22,86,30,16,60,45,88,35,Default Stride Awkward,34,20,87,13,12,66,12,75,6,15,73,15,10,81,45,19,10,36,25,6,5,82,17,93,3,6,67,45,92,6,22,29,75,45,86,26,12,45,51,10,6,45,60
7,Kenny,Moore II,CB,23,26,69,190,83,88,60,61,78,71,71,56,25,63,85,Short Stride Default,53,75,90,38,11,94,40,56,6,24,89,21,10,63,35,17,72,18,48,6,28,91,78,88,21,6,89,35,77,6,80,48,43,35,61,53,51,25,92,71,6,35,90
8,T.Y.,Hilton,WR,13,31,70,183,82,84,46,84,37,86,86,10,49,20,22,Default Stride Loose,31,92,22,84,24,85,81,15,10,14,86,15,23,35,10,22,81,23,92,6,83,90,85,89,84,15,91,37,78,10,12,56,10,14,43,70,80,33,88,15,6,30,94
9,Michael,Pittman Jr,WR,11,23,76,223,81,83,71,89,40,93,71,10,55,55,20,Default,68,77,16,80,31,94,80,42,33,15,85,22,29,41,30,48,76,36,83,28,79,88,89,86,76,39,88,38,92,39,14,75,10,35,51,76,77,43,84,20,28,32,85
10,Marlon,Mack,HB,25,25,72,210,80,73,72,61,32,66,79,10,32,28,12,Short Stride Loose,62,89,26,69,20,85,47,18,23,22,91,25,16,26,23,31,60,48,84,17,62,93,58,86,54,28,89,20,81,29,12,81,10,28,46,90,81,49,87,15,19,20,92
11,Xavier,Rhodes,CB,27,31,73,218,80,85,72,62,83,74,60,64,35,56,86,Default Stride Loose,50,72,83,25,15,93,45,77,6,22,92,19,13,60,35,35,40,19,70,6,15,88,73,88,10,6,89,35,84,6,81,45,55,35,59,65,55,35,79,85,6,35,86
12,Julian,Blackmon,FS,32,23,72,187,79,82,57,60,79,63,62,40,25,69,79,Default Stride Loose,40,74,79,44,11,87,30,73,6,15,87,22,18,52,35,21,30,11,66,6,31,89,68,82,26,6,90,35,82,6,72,40,29,35,52,52,51,25,86,68,6,35,89
13,Bobby,Okereke,MLB,58,25,73,239,78,86,72,25,82,63,39,56,45,83,72,Default Stride Loose,37,44,84,15,12,81,20,80,6,14,88,17,15,72,45,25,10,13,31,6,5,89,31,90,5,6,88,45,83,6,65,33,62,45,72,47,19,45,77,50,6,45,83
14,Mark,Glowinski,RG,64,29,76,310,78,88,91,15,21,15,10,10,80,35,15,Default Stride Awkward,25,10,13,15,12,76,15,20,6,16,85,18,10,15,77,12,10,81,10,6,5,82,15,92,5,6,66,77,86,6,13,10,10,73,82,40,5,75,49,10,6,81,65
15,Nyheim,Hines,HB,21,24,69,198,78,75,62,70,33,77,85,10,26,27,18,Short Stride Default,45,86,16,74,20,85,61,15,15,13,86,19,16,20,31,25,84,26,79,15,67,93,61,88,61,20,93,20,76,16,11,74,5,28,27,85,74,53,84,10,10,17,90
16,Jack,Doyle,TE,84,31,78,262,77,81,80,82,40,82,55,20,71,45,14,Long Stride High and Tight,70,62,15,70,12,73,71,15,10,22,85,21,15,40,59,22,10,56,74,6,66,81,82,85,60,15,76,72,78,10,12,67,20,62,69,70,49,63,68,10,6,67,72
17,Khari,Willis,SS,37,25,71,213,77,81,70,52,82,67,64,49,35,76,73,Default Stride Loose,50,73,79,32,15,83,25,80,6,13,88,19,16,57,35,22,35,22,72,6,23,86,63,89,17,6,86,35,90,6,70,45,39,35,60,71,56,40,85,70,6,35,83
18,Rock,Ya-Sin,CB,26,25,72,192,77,78,68,59,76,69,63,36,35,68,79,Long Stride Loose,25,71,76,22,13,93,17,55,6,18,88,20,10,50,35,27,58,10,64,6,12,89,63,90,10,6,90,35,87,6,75,29,24,35,52,59,55,35,85,82,6,35,86
19,Kwity,Paye,RE,51,22,74,272,76,67,86,22,83,46,41,62,45,83,36,Long Stride Loose,53,45,67,29,12,85,28,82,6,18,76,20,10,76,45,25,10,26,53,6,23,86,25,87,20,6,85,45,84,6,25,48,77,45,86,57,38,45,74,29,6,45,88
20,Rodrigo,Blankenship,K,3,24,73,184,76,65,41,10,21,26,16,10,22,31,12,Default Stride Awkward,11,22,18,10,14,51,12,14,29,82,86,92,17,19,10,30,10,10,19,16,10,83,12,84,10,34,74,10,63,19,12,10,10,10,14,31,13,16,60,10,23,10,67
21,Zach,Pascal,WR,14,26,74,214,76,84,72,81,40,86,72,10,54,31,18,Default Stride Loose,66,76,15,81,22,86,74,28,24,18,85,23,19,28,30,46,78,30,67,18,81,92,83,86,75,30,87,27,88,27,19,68,10,34,57,75,73,49,82,15,20,21,85
