,firstName,lastName,position,jerseyNum,age,height,weight,overall_rating,awareness_rating,strength_rating,catchInTraffic_rating,pursuit_rating,catching_rating,spinMove_rating,finesseMoves_rating,runBlock_rating,tackle_rating,zoneCoverage_rating,runningStyle_rating,trucking_rating,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,breakSack_rating,jumping_rating,release_rating,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,stamina_rating,kickPower_rating,throwUnderPressure_rating,blockShedding_rating,passBlockFinesse_rating,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,playAction_rating,mediumRouteRunning_rating,acceleration_rating,spectacularCatch_rating,injury_rating,deepRouteRunning_rating,throwAccuracyShort_rating,speed_rating,runBlockPower_rating,toughness_rating,throwOnTheRun_rating,manCoverage_rating,stiffArm_rating,powerMoves_rating,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,passBlock_rating,changeOfDirection_rating,press_rating,throwAccuracyDeep_rating,runBlockFinesse_rating,agility_rating
0,Quinnen,Williams,DT,95,23,75,303,87,91,89,22,88,34,24,76,45,88,30,Long Stride Loose,41,29,90,13,12,75,15,84,6,17,73,17,12,84,45,23,9,39,26,6,8,86,21,91,5,6,78,46,90,6,18,34,85,44,89,39,16,44,61,14,6,45,79
1,Marcus,Maye,SS,20,28,72,207,85,87,77,46,84,73,61,47,35,75,85,Short Stride Loose,48,68,85,28,10,81,18,87,10,25,88,25,15,52,35,25,48,24,62,15,18,90,69,85,13,15,90,35,77,15,78,48,31,35,71,65,42,35,83,66,10,35,86
2,Carl,Lawson,RE,58,26,74,261,83,80,88,17,84,31,26,87,45,82,44,Long Stride Loose,36,35,77,15,12,80,25,76,6,12,76,14,12,71,45,12,10,11,37,6,8,89,24,76,4,6,83,45,74,6,38,27,80,45,79,27,31,45,66,30,6,45,82
3,Mekhi,Becton,LT,77,22,79,364,82,89,94,12,12,35,10,10,84,42,15,Long Stride Awkward,39,10,15,12,12,80,12,20,6,20,82,20,15,31,75,25,10,84,15,6,5,80,12,83,5,6,69,81,93,6,12,25,10,82,99,40,25,79,55,10,6,85,59
4,C.J.,Mosley,LOLB,57,29,74,231,80,81,75,57,87,73,40,57,45,88,73,Default,38,46,82,15,12,85,25,89,6,20,95,20,10,75,45,25,10,28,57,6,5,88,60,86,5,6,83,45,87,6,66,45,63,45,87,66,32,45,73,49,6,45,87
5,John,Franklin-Myers,LE,91,24,76,292,80,86,90,18,83,28,21,84,45,83,33,Long Stride Default,32,31,84,15,12,80,15,83,9,12,74,16,17,78,45,20,10,18,30,9,8,84,15,90,4,9,79,45,85,9,25,34,78,45,86,26,24,45,64,25,9,45,74
6,Corey,Davis,WR,84,26,75,209,79,80,72,85,36,83,72,10,58,31,28,Long Stride Loose,61,86,26,83,22,92,81,27,20,18,84,18,24,37,25,33,20,42,84,24,83,91,88,87,81,26,90,37,87,27,20,79,10,30,62,70,80,57,86,17,18,35,91
7,Folorunso,Fatukasi,DT,94,26,76,315,79,82,90,15,83,23,13,53,45,84,28,Long Stride Loose,17,17,85,15,12,74,15,81,6,15,73,10,10,79,45,20,10,29,16,6,7,81,15,88,3,6,63,45,89,6,18,23,74,45,85,26,10,45,60,12,6,45,69
8,Jamison,Crowder,WR,82,28,69,177,79,83,58,84,35,87,87,10,41,25,25,Default Stride Loose,37,92,20,82,26,88,76,12,26,30,85,30,26,35,20,48,86,25,87,17,80,91,82,88,77,32,89,14,80,10,10,48,10,23,45,74,82,30,93,15,29,11,94
9,Lamarcus,Joyner,SS,29,30,68,185,79,76,56,60,80,71,75,57,35,72,85,Default Stride Loose,40,82,79,20,14,89,15,82,6,14,91,15,25,58,35,29,72,16,78,6,10,91,64,88,10,6,87,35,75,6,80,52,41,35,61,64,61,35,84,77,6,35,84
10,Bryce,Hall,CB,37,23,73,202,78,83,57,66,74,70,62,46,35,62,80,Default Stride Loose,45,71,82,59,10,90,45,57,6,14,87,15,12,53,35,35,40,18,67,6,55,90,72,85,51,6,88,35,83,6,79,43,42,35,53,64,48,35,84,76,6,35,86
11,Keelan,Cole Sr,WR,88,28,73,195,77,78,67,83,33,85,79,10,59,26,25,Long Stride Default,64,83,17,79,22,86,77,18,10,19,86,19,24,28,12,23,80,31,83,6,79,92,87,95,76,15,90,29,85,10,17,72,10,12,51,73,75,42,80,15,6,25,90
12,Laurent,Duvernay-Tardif,RG,72,30,77,321,77,82,90,30,31,39,10,10,78,45,12,Default Stride Awkward,15,10,10,30,12,77,40,15,6,21,85,20,13,25,76,17,10,78,10,6,20,75,25,93,12,6,70,80,86,6,12,10,10,79,84,65,5,78,54,10,6,75,68
13,Connor,McGovern,C,60,28,76,306,76,85,87,14,30,29,16,12,80,30,15,Default Stride Awkward,29,20,19,15,12,80,14,25,6,21,85,20,12,27,75,21,8,82,18,6,5,82,15,90,5,6,67,77,94,6,12,31,14,71,81,33,10,73,54,8,6,83,69
14,Elijah,Moore,WR,8,21,70,178,76,76,59,83,31,87,77,10,42,24,17,Default Stride Loose,43,86,16,78,21,84,66,15,10,13,83,16,20,25,14,36,77,23,86,18,76,90,84,88,78,15,92,27,86,10,12,39,10,18,41,76,74,27,93,18,10,32,92
15,Sheldon,Rankins,DT,98,27,74,305,76,85,88,28,82,43,17,71,45,83,39,Long Stride High and Tight,33,25,82,13,12,83,15,80,6,17,77,17,13,71,45,23,9,35,26,6,5,82,26,88,3,6,70,46,91,6,28,25,76,44,83,40,13,44,61,13,6,45,74
16,Ashtyn,Davis,FS,21,24,73,202,75,74,60,57,76,67,67,32,35,69,74,Default Stride Loose,47,78,73,44,20,89,29,84,6,17,90,18,10,53,34,37,81,10,74,6,35,91,68,85,30,6,92,33,92,6,68,51,26,33,59,64,61,30,86,64,14,34,90
17,Michael,Carter,HB,32,22,68,201,75,73,66,53,32,68,78,10,33,27,16,Default,80,86,17,63,31,82,45,22,31,16,87,20,21,24,38,39,80,31,79,21,56,86,54,88,47,36,88,18,84,32,10,79,10,34,34,91,78,54,91,16,27,24,89
18,Vinny,Curry,LE,99,33,75,279,75,79,81,15,84,29,40,79,45,76,29,Default Stride Awkward,35,39,76,15,12,84,15,81,6,24,74,15,16,75,45,28,10,10,39,6,8,86,15,87,4,6,78,45,83,6,22,44,70,45,80,40,10,45,64,18,6,45,79
19,Braden,Mann,P,7,23,71,198,74,56,45,10,18,30,10,10,20,44,29,Default Stride Awkward,15,10,10,10,19,76,12,12,15,79,87,95,14,26,24,28,10,23,21,10,10,84,12,86,10,15,78,23,83,18,21,15,10,24,23,25,20,20,70,10,15,23,83
20,Bryce,Huff,RE,47,23,75,255,74,73,72,25,80,36,35,76,45,79,48,Long Stride Awkward,25,22,71,15,12,80,17,80,6,16,83,15,12,62,45,28,10,11,26,6,8,89,29,91,4,6,83,45,87,6,38,27,63,45,77,40,10,45,72,33,6,45,80
21,Jarrod,Wilson,FS,39,27,74,210,74,77,71,57,76,64,62,44,30,66,75,Default,48,65,75,37,15,84,24,65,6,24,88,28,12,56,35,27,50,10,55,6,27,90,62,91,22,6,89,35,81,6,71,51,61,35,55,55,45,30,75,69,6,35,82
22,Alijah,Vera-Tucker,LG,75,22,77,308,73,75,90,10,30,25,10,10,76,36,12,Default Stride Awkward,15,10,10,10,12,78,12,24,6,20,87,20,16,25,73,25,10,87,10,6,5,80,12,92,5,6,68,74,90,6,12,10,10,70,88,35,5,71,50,10,6,78,61
23,Morgan,Moses,RT,78,30,78,330,73,81,89,15,28,35,10,10,77,30,15,Default Stride Awkward,20,10,15,15,12,66,15,20,6,25,84,25,15,20,76,30,10,82,10,6,5,70,15,89,5,6,59,75,93,6,12,30,10,74,83,45,6,75,46,10,6,79,56
24,Shaq,Lawson,RE,50,27,75,267,73,71,85,17,80,50,27,60,45,82,48,Default Stride High and Tight,32,26,69,14,12,80,17,83,6,19,78,20,10,76,45,22,9,18,35,6,7,86,22,84,3,6,81,44,84,6,42,40,74,45,78,26,19,45,65,22,6,45,77
25,Blake,Cashman,ROLB,53,25,73,235,72,68,70,30,82,50,27,63,45,83,68,Default,25,29,66,15,12,89,18,83,6,14,91,19,10,72,45,25,10,20,20,6,5,90,27,76,5,6,89,45,89,6,59,24,58,45,79,52,12,45,78,46,6,45,85
26,Braxton,Berrios,WR,10,25,69,186,72,71,53,77,34,83,73,10,39,25,25,Short Stride Loose,34,79,18,80,27,86,67,15,10,13,81,18,20,29,16,19,79,21,78,6,77,90,74,82,72,15,91,17,77,10,18,39,10,16,39,72,71,34,88,10,6,10,91
27,George,Fant,RT,76,29,77,322,72,80,85,69,52,70,54,51,73,55,13,Default Stride Awkward,64,59,28,53,12,88,53,63,6,11,87,15,12,55,76,13,10,78,52,6,46,80,75,86,34,6,76,70,83,6,12,62,60,72,78,61,38,74,57,10,6,76,75
28,Tevin,Coleman,HB,23,28,73,210,72,68,69,61,29,68,75,5,44,35,20,Default Stride Loose,74,82,25,69,23,84,55,33,15,17,86,16,13,29,40,37,77,41,78,10,62,91,59,82,54,20,91,35,83,10,10,75,5,44,39,85,74,57,87,10,10,34,91
29,Zach,Wilson,QB,2,22,74,214,72,65,61,29,31,55,66,10,18,23,15,Default,40,75,17,32,77,74,16,14,77,45,81,57,79,22,15,94,10,17,77,83,22,88,31,84,16,85,83,14,87,83,12,53,10,15,21,66,63,15,80,10,81,12,84
30,Denzel,Mims,WR,11,23,75,207,71,70,69,83,42,80,77,10,44,40,32,Long Stride Default,63,80,28,73,29,93,70,34,31,15,89,17,30,40,24,50,60,31,82,28,70,91,86,93,71,40,92,34,91,40,21,64,10,28,48,73,73,38,78,26,29,30,92
31,Tyler,Kroft,TE,81,28,78,250,71,72,71,79,35,80,69,30,63,35,25,Default,63,74,22,67,13,82,70,25,10,21,84,22,16,42,62,40,10,49,73,6,63,85,78,76,59,15,79,62,66,10,10,72,20,64,64,76,68,65,66,25,6,55,76
32,Jarrad,Davis,MLB,52,25,73,245,70,72,83,43,81,53,26,64,45,77,51,Default Stride Loose,32,37,74,28,12,89,26,87,6,20,91,21,10,73,45,17,10,26,34,6,18,90,46,83,10,6,85,45,78,6,45,42,64,45,86,48,10,45,71,42,6,45,79
33,Michael,Carter II,CB,30,22,70,184,70,68,55,44,69,67,65,36,35,61,70,Short Stride Loose,28,72,70,22,15,85,27,45,6,17,90,18,10,48,35,27,49,15,52,6,16,92,66,88,11,6,93,35,85,6,67,25,30,35,39,54,39,35,83,63,6,35,87
34,Nathan,Shepherd,DT,97,27,76,315,70,70,90,28,79,33,34,72,45,77,27,Long Stride Loose,49,34,72,10,12,76,12,78,6,12,80,16,17,68,45,30,10,18,33,6,5,80,27,90,3,6,70,45,89,6,21,46,65,45,84,36,24,45,62,13,6,45,76
35,Ty,Johnson,HB,25,23,71,210,70,71,64,49,34,66,71,10,31,31,15,Default,62,76,15,54,20,82,42,28,15,16,78,13,11,24,28,23,81,29,77,13,47,91,47,88,39,20,92,17,74,15,12,68,10,25,31,87,72,48,85,15,10,23,86
36,Chuma,Edoga,RT,70,24,75,308,69,78,84,21,27,29,10,10,71,36,15,Default Stride Awkward,28,10,15,17,12,63,15,35,6,30,84,40,3,26,74,23,6,81,20,6,7,79,16,83,5,6,67,68,79,6,12,30,10,70,79,24,9,72,56,10,6,74,70
37,Dan,Feeney,LG,67,27,76,310,69,82,88,20,34,28,23,10,69,34,20,Default Stride Awkward,35,28,20,17,12,70,25,38,6,22,84,24,10,37,63,27,10,85,26,6,7,78,24,90,5,6,64,70,79,6,12,32,10,69,84,23,8,67,51,15,6,68,67
38,Javelin,Guidry,CB,40,23,69,191,69,60,60,48,74,67,70,44,35,60,63,Short Stride Loose,24,78,62,38,15,85,35,50,10,25,90,25,12,57,35,22,40,12,65,7,32,93,65,90,13,15,96,35,80,14,69,30,32,35,48,68,44,40,89,65,10,35,88
39,Kyle,Phillips,RE,93,24,76,273,69,66,77,10,79,41,21,68,45,77,37,Long Stride Awkward,50,32,63,10,12,79,12,79,6,19,70,26,10,72,45,27,10,18,28,6,5,87,15,86,5,6,84,45,82,6,28,45,73,45,75,40,29,45,64,40,6,45,75
40,Ryan,Griffin,TE,86,31,78,255,69,71,72,77,29,79,64,19,64,50,15,Long Stride High and Tight,65,71,15,70,11,82,73,20,10,35,82,33,12,54,50,30,30,51,73,6,65,82,77,88,59,15,72,58,73,10,12,64,30,54,66,73,52,55,65,10,6,64,80
41,Greg,Van Roten,RG,62,31,75,303,68,83,84,25,33,36,10,10,74,45,12,Default Stride Awkward,15,10,10,30,12,82,40,15,6,20,85,20,10,25,66,17,10,70,15,6,20,76,30,91,12,6,64,73,75,6,12,10,10,70,79,29,5,68,53,10,6,75,61
42,Joe,Flacco,QB,19,36,78,245,68,68,68,10,30,31,25,10,15,29,20,Default,40,52,15,10,35,71,12,12,78,24,75,25,78,25,15,90,10,18,64,81,10,79,12,93,10,84,71,20,92,74,15,50,10,25,30,59,41,15,65,10,78,20,66
43,Jeff,Smith,WR,16,24,73,195,67,65,56,74,35,79,73,10,37,28,23,Short Stride Default,39,78,23,67,22,84,67,22,20,16,78,18,18,29,21,27,45,22,77,19,66,93,78,90,69,25,93,28,81,23,17,47,10,18,40,72,68,28,90,15,15,22,88
44,Isaiah,Dunn,CB,27,22,72,193,66,65,59,42,72,52,64,32,35,47,62,Default Stride Loose,27,70,66,32,10,85,35,46,6,11,88,10,12,43,35,25,62,19,50,6,30,91,50,87,27,6,93,35,71,6,64,30,28,35,45,55,42,35,84,70,6,35,88
45,Justin,Hardee Sr,CB,34,27,73,200,66,57,66,71,69,72,71,52,35,57,61,Short Stride Loose,51,76,63,59,12,83,57,60,10,20,84,20,16,57,35,25,55,10,69,15,49,92,66,80,42,15,92,35,78,15,68,53,45,35,50,71,62,33,82,65,10,35,84
