,firstName,lastName,position,jerseyNum,age,height,weight,overall_rating,awareness_rating,strength_rating,catchInTraffic_rating,pursuit_rating,catching_rating,spinMove_rating,finesseMoves_rating,runBlock_rating,tackle_rating,zoneCoverage_rating,runningStyle_rating,trucking_rating,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,breakSack_rating,jumping_rating,release_rating,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,stamina_rating,kickPower_rating,throwUnderPressure_rating,blockShedding_rating,passBlockFinesse_rating,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,playAction_rating,mediumRouteRunning_rating,acceleration_rating,spectacularCatch_rating,injury_rating,deepRouteRunning_rating,throwAccuracyShort_rating,speed_rating,runBlockPower_rating,toughness_rating,throwOnTheRun_rating,manCoverage_rating,stiffArm_rating,powerMoves_rating,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,passBlock_rating,changeOfDirection_rating,press_rating,throwAccuracyDeep_rating,runBlockFinesse_rating,agility_rating
0,T.J.,Watt,LOLB,90,26,76,252,95,98,81,42,94,63,37,95,45,91,65,Long Stride Loose,52,46,95,24,12,88,22,85,6,50,87,57,16,87,45,25,6,16,49,6,14,89,48,88,7,6,83,45,88,6,59,43,84,45,76,53,23,45,72,43,6,45,84
1,Cameron,Heyward,RE,97,32,77,295,94,99,94,10,93,48,10,75,45,94,32,Long Stride Loose,36,10,99,10,12,74,12,88,6,11,86,12,18,95,45,21,10,17,29,6,3,79,22,89,2,6,71,45,89,6,22,46,95,45,88,39,11,45,60,10,6,45,70
2,Stephon,Tuitt,LE,91,28,78,303,89,97,92,15,89,47,20,68,45,87,29,Default Stride Awkward,30,15,97,10,12,71,12,82,6,17,73,15,14,91,45,24,10,19,19,6,3,82,15,78,2,6,73,45,78,6,20,27,90,45,89,50,10,45,60,10,6,45,68
3,Minkah,Fitzpatrick,FS,39,24,73,207,88,91,64,59,81,74,69,50,35,61,90,Short Stride Loose,47,79,88,28,18,90,29,81,6,13,93,15,16,55,35,15,68,18,81,6,23,93,62,94,18,6,91,35,88,6,80,55,38,35,58,66,58,35,89,75,6,35,92
4,Diontae,Johnson,WR,18,25,70,181,84,90,61,82,38,90,77,10,47,29,20,Short Stride Loose,42,86,16,87,27,86,85,14,40,52,84,52,35,26,16,53,82,20,86,44,84,92,86,89,84,48,91,20,83,49,17,69,10,14,38,73,78,28,93,14,42,12,92
5,Tyson,Alualu,DT,94,34,75,304,83,93,87,10,83,28,10,54,45,85,29,Default Stride Awkward,22,10,96,10,12,78,12,84,6,28,67,33,14,82,45,27,10,15,10,6,3,81,12,91,2,6,71,45,80,6,21,10,75,45,85,35,10,45,61,10,6,45,68
6,Chris,Boswell,K,9,30,74,185,82,69,44,10,10,29,10,10,24,35,12,Default,15,10,10,10,12,65,12,15,33,91,84,96,20,10,10,29,10,10,10,10,10,80,12,92,10,37,72,10,49,10,12,10,10,10,10,45,12,16,56,10,27,10,65
7,Najee,Harris,HB,22,23,74,230,82,81,81,58,42,72,81,21,50,44,26,Long Stride Default,88,84,32,66,41,94,58,40,36,15,95,18,26,36,34,43,53,49,82,32,59,90,60,92,50,43,88,41,93,37,21,89,24,37,55,92,88,55,88,24,26,40,85
8,JuJu,Smith-Schuster,WR,19,24,73,215,81,85,74,88,50,92,71,21,51,43,45,Default,74,79,15,79,22,92,79,41,18,17,91,24,21,28,30,34,77,46,87,18,80,91,88,88,77,24,88,37,95,28,37,88,15,34,66,73,82,46,84,26,14,35,87
9,Joe,Haden,CB,23,32,71,195,80,88,66,50,70,76,81,48,35,52,79,Default Stride Loose,35,85,85,20,14,93,25,72,6,11,98,10,12,47,35,35,74,13,79,6,10,89,68,95,10,6,87,35,83,6,81,15,55,35,53,60,73,35,86,84,6,35,88
10,Eric,Ebron,TE,85,28,76,253,79,79,73,81,69,80,75,60,56,54,24,Default Stride Loose,73,82,45,74,24,85,75,57,24,19,86,24,25,57,57,43,15,53,83,26,72,88,83,88,70,31,85,56,84,31,14,75,51,61,68,77,75,61,74,10,19,55,84
11,Trai,Turner,RG,51,28,75,320,79,83,89,10,21,45,10,10,81,34,12,Default Stride Awkward,20,10,10,10,12,69,12,20,6,33,80,24,14,34,75,15,10,86,10,6,5,77,12,92,5,6,73,82,86,6,12,10,10,77,87,40,6,76,48,10,6,79,61
12,Chase,Claypool,WR,11,23,76,238,78,85,72,86,57,86,78,30,55,43,50,Long Stride Default,67,79,28,81,32,95,78,45,30,15,86,21,26,50,48,47,65,41,85,25,79,89,88,87,81,40,92,47,86,35,41,73,26,47,61,72,79,49,75,43,26,49,78
13,Devin,Bush,MLB,55,23,71,234,78,82,74,55,85,63,34,64,45,82,67,Default Stride Loose,33,41,80,13,12,92,14,88,6,13,90,12,10,72,45,14,10,22,36,6,5,92,57,87,5,6,90,45,89,6,61,36,60,45,68,56,19,45,82,51,6,45,86
