,firstName,lastName,position,jerseyNum,age,height,weight,overall_rating,awareness_rating,strength_rating,catchInTraffic_rating,pursuit_rating,catching_rating,spinMove_rating,finesseMoves_rating,runBlock_rating,tackle_rating,zoneCoverage_rating,runningStyle_rating,trucking_rating,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,breakSack_rating,jumping_rating,release_rating,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,stamina_rating,kickPower_rating,throwUnderPressure_rating,blockShedding_rating,passBlockFinesse_rating,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,playAction_rating,mediumRouteRunning_rating,acceleration_rating,spectacularCatch_rating,injury_rating,deepRouteRunning_rating,throwAccuracyShort_rating,speed_rating,runBlockPower_rating,toughness_rating,throwOnTheRun_rating,manCoverage_rating,stiffArm_rating,powerMoves_rating,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,passBlock_rating,changeOfDirection_rating,press_rating,throwAccuracyDeep_rating,runBlockFinesse_rating,agility_rating
0,George,Kittle,TE,85,27,76,250,96,94,82,86,36,89,64,18,77,34,24,Default Stride Loose,84,80,35,85,18,91,88,38,15,22,92,19,14,31,58,30,31,65,90,10,83,89,91,86,76,20,88,76,98,10,15,85,20,62,78,76,81,62,76,20,10,71,84
1,Trent,Williams,LT,71,33,77,320,95,96,96,15,33,20,10,10,94,39,14,Default Stride Awkward,10,10,19,15,12,83,15,60,6,10,85,11,14,32,92,12,10,93,10,6,5,83,51,84,5,6,76,93,98,6,10,10,10,94,99,40,7,92,59,10,6,95,74
2,Fred,Warner,MLB,54,24,75,230,94,99,76,61,95,73,53,60,45,88,85,Short Stride Bread Loaf,46,59,99,15,12,94,20,80,6,10,91,13,10,80,45,14,10,23,50,6,5,93,60,86,5,6,85,45,78,6,75,34,52,45,78,63,21,45,84,58,6,45,85
3,Nick,Bosa,RE,97,23,76,266,93,95,85,27,92,45,32,95,45,90,42,Long Stride Loose,31,38,91,17,12,81,16,84,6,17,86,17,14,82,45,25,10,18,30,6,10,91,23,86,6,6,79,45,84,6,30,34,86,44,83,38,21,45,70,31,6,45,86
4,Deebo,Samuel,WR,19,25,71,215,87,96,80,89,48,87,84,11,53,46,29,Default,79,88,34,87,30,95,89,39,27,12,94,15,25,43,16,40,85,25,97,23,85,91,89,88,80,32,92,26,83,34,21,87,11,21,46,73,88,38,89,16,21,21,88
5,Kyle,Juszczyk,FB,44,30,73,235,87,85,79,71,48,75,72,35,70,45,20,Default,85,76,20,76,33,88,72,45,15,19,89,19,25,33,38,35,45,92,83,10,66,86,73,93,60,20,80,61,87,10,15,85,30,42,72,76,64,65,79,20,10,58,83
6,Alex,Mack,C,50,35,76,311,85,91,92,15,32,29,25,10,87,26,12,Default Stride Awkward,50,25,21,15,12,70,15,20,6,16,90,19,10,26,78,17,10,91,55,6,5,78,15,98,5,6,62,86,88,6,7,52,10,82,92,55,8,80,55,10,6,88,68
7,Arik,Armstead,LE,91,27,79,292,85,90,90,10,88,38,25,73,45,88,40,Default Stride Awkward,45,15,91,10,12,82,12,80,6,30,80,30,17,87,45,35,10,16,20,6,3,80,15,82,2,6,73,45,83,6,32,45,85,45,86,44,16,45,62,35,6,45,70
8,Jimmie,Ward,SS,1,30,71,195,85,90,54,55,83,72,60,59,35,75,82,Default Stride Loose,61,64,87,15,10,90,15,86,6,19,90,23,16,48,35,28,35,11,62,6,13,90,61,77,10,6,88,35,83,6,77,47,51,35,54,65,34,35,84,82,6,35,86
9,Jason,Verrett,CB,2,30,70,188,84,90,63,68,72,77,56,40,35,59,86,Default Stride Loose,23,75,87,15,19,89,15,65,6,25,95,30,12,43,35,22,66,14,72,6,11,91,75,68,10,6,91,35,83,6,83,30,30,35,54,59,69,35,89,79,6,35,90
