INDEX          ,FIRST          ,LAST           ,SKIN           ,NUMBER         ,HEIGHT         ,WEIGHT         ,POS            ,SPEED          ,TLK BRK        ,FUMBLE         ,CATCH          ,BLKING         ,THR ACC        ,KCK PWR        ,KCK ACC        ,BLK BRK        ,TACKLE         ,THR PWR        ,FITNESS        ,AWARE          ,AGIL           ,COVER          ,HIT PWR        ,ENDUR          ,VISOR          ,SLEEVES        ,BANDS          ,WRAPS          ,AGE            ,POTENTIAL      ,PORTRAIT       ,DISCIPLINE     
0              ,LUCAS          ,CORTEZ         ,1              ,1              ,71             ,99            ,QB             ,48             ,49             ,1              ,29             ,33             ,75             ,10             ,42             ,10             ,1             ,65             ,60             ,45             ,61             ,25             ,32             ,67             ,0              ,0              ,1              ,1              ,20             ,93             ,145            ,99            
1              ,CLAY           ,ROWE           ,6              ,7              ,79             ,99            ,QB             ,37             ,22             ,1              ,16             ,28             ,83             ,48             ,1             ,6              ,37             ,73             ,81             ,70             ,57             ,44             ,27             ,54             ,0              ,0              ,1              ,1              ,20             ,82             ,209            ,91             
2              ,GRIFFIN        ,WEBSTER        ,3              ,2              ,75             ,99            ,QB             ,43             ,38             ,23             ,27             ,15             ,78             ,44             ,41             ,7              ,37             ,71             ,82             ,75             ,20             ,39             ,2              ,70             ,1              ,0              ,0              ,0              ,20             ,70             ,303            ,76             
3              ,GEORGE         ,KENNEDY        ,5              ,14             ,75             ,99            ,QB             ,51             ,50             ,32             ,2              ,8              ,62             ,19             ,13             ,34             ,13             ,73             ,72             ,66             ,28             ,17             ,1             ,45             ,1              ,0              ,0              ,0              ,20             ,90             ,79             ,86             
4              ,LEON           ,KELLEY         ,1              ,1              ,72             ,99            ,QB             ,41             ,26             ,46             ,41             ,49             ,72             ,6              ,47             ,20             ,30             ,75             ,65             ,71             ,32             ,18             ,28             ,86             ,1              ,0              ,1              ,0              ,23             ,77             ,178            ,65             
5              ,COOPER         ,WATT           ,1              ,13             ,79             ,99            ,QB             ,32             ,55             ,49             ,45             ,47             ,77             ,32             ,54             ,1             ,22             ,75             ,84             ,94             ,24             ,58             ,56             ,49             ,0              ,0              ,1              ,1              ,22             ,99             ,211            ,82             
6              ,ERIK           ,HAWKINS        ,5              ,11             ,74             ,99            ,QB             ,61             ,65             ,16             ,11             ,30             ,77             ,6              ,19             ,26             ,42             ,75             ,57             ,53             ,54             ,27             ,45             ,43             ,0              ,1              ,1              ,0              ,22             ,83             ,6              ,82             
7              ,DAMON          ,HOFFMAN        ,1              ,6              ,74             ,99            ,QB             ,71             ,41             ,1             ,26             ,18             ,67             ,32             ,56             ,7              ,49             ,90             ,61             ,69             ,70             ,42             ,28             ,44             ,1              ,0              ,0              ,0              ,20             ,70             ,34             ,79             
8              ,JUAN           ,GILL           ,1              ,1              ,76             ,99            ,QB             ,71             ,56             ,26             ,18             ,41             ,65             ,31             ,37             ,16             ,38             ,68             ,61             ,40             ,20             ,38             ,9              ,90             ,0              ,0              ,0              ,0              ,20             ,96             ,0              ,84             
9              ,JERRY          ,MCLAUGHLIN     ,4              ,16             ,70             ,99            ,QB             ,71             ,41             ,24             ,25             ,53             ,83             ,23             ,1             ,10             ,30             ,74             ,61             ,58             ,65             ,44             ,34             ,37             ,1              ,0              ,0              ,1              ,23             ,85             ,71             ,81             
10             ,JAIME          ,FLORES         ,2              ,4              ,70             ,99            ,QB             ,65             ,24             ,46             ,38             ,31             ,70             ,1              ,37             ,47             ,46             ,77             ,62             ,36             ,62             ,35             ,32             ,47             ,1              ,0              ,1              ,0              ,20             ,79             ,121            ,87             
11             ,DAVID          ,ALLEN          ,3              ,9              ,71             ,99            ,QB             ,31             ,33             ,31             ,50             ,22             ,78             ,26             ,23             ,38             ,40             ,67             ,56             ,66             ,26             ,42             ,8              ,62             ,1              ,0              ,1              ,0              ,20             ,94             ,200            ,76             
12             ,MATTHEW        ,GROSS          ,2              ,4              ,75             ,99            ,QB             ,46             ,50             ,20             ,12             ,14             ,66             ,4              ,43             ,12             ,5              ,81             ,54             ,55             ,14             ,12             ,33             ,57             ,0              ,0              ,1              ,1              ,22             ,78             ,2              ,89             
13             ,DARRELL        ,MASSEY         ,5              ,1              ,73             ,99            ,QB             ,39             ,47             ,12             ,34             ,25             ,75             ,16             ,50             ,45             ,28             ,82             ,66             ,72             ,46             ,19             ,50             ,72             ,0              ,1              ,1              ,1              ,20             ,94             ,43             ,85             
14             ,JAYLEN         ,CARLSON        ,5              ,13             ,72             ,99            ,QB             ,60             ,13             ,37             ,30             ,5              ,90             ,48             ,47             ,45             ,32             ,75             ,71             ,75             ,14             ,52             ,30             ,80             ,0              ,0              ,0              ,1              ,21             ,98             ,272            ,63             
15             ,KURT           ,GOMEZ          ,2              ,8              ,70             ,99            ,QB             ,48             ,15             ,26             ,7              ,17             ,77             ,50             ,32             ,25             ,50             ,83             ,55             ,75             ,39             ,39             ,17             ,64             ,0              ,0              ,1              ,0              ,22             ,99             ,266            ,80             
16             ,JOSIAH         ,ATKINS         ,4              ,8              ,74             ,99            ,QB             ,32             ,18             ,36             ,1              ,29             ,84             ,49             ,26             ,27             ,20             ,67             ,64             ,73             ,34             ,10             ,26             ,74             ,1              ,1              ,1              ,0              ,20             ,75             ,128            ,79             
17             ,JORDON         ,BROCK          ,1              ,18             ,72             ,99            ,QB             ,40             ,18             ,30             ,16             ,25             ,94             ,25             ,59             ,36             ,45             ,75             ,74             ,81             ,52             ,53             ,59             ,37             ,0              ,0              ,0              ,1              ,22             ,79             ,159            ,86             
18             ,XAVIER         ,HUBBARD        ,3              ,19             ,79             ,99            ,QB             ,59             ,60             ,20             ,22             ,45             ,75             ,17             ,7              ,18             ,1              ,72             ,65             ,58             ,51             ,17             ,35             ,75             ,1              ,1              ,1              ,0              ,22             ,76             ,164            ,61             
19             ,FABIAN         ,EDWARDS        ,4              ,2              ,75             ,99            ,QB             ,71             ,48             ,26             ,16             ,30             ,70             ,28             ,30             ,31             ,51             ,61             ,80             ,50             ,15             ,21             ,32             ,62             ,1              ,0              ,1              ,0              ,22             ,97             ,330            ,84             
20             ,JAMES          ,CANNON         ,3              ,3              ,73             ,99            ,QB             ,51             ,9              ,47             ,16             ,48             ,55             ,24             ,41             ,10             ,26             ,71             ,80             ,92             ,45             ,45             ,16             ,75             ,1              ,0              ,0              ,1              ,21             ,86             ,120            ,60             
21             ,NATHAN         ,CRUZ           ,5              ,9              ,72             ,99            ,QB             ,56             ,56             ,29             ,18             ,26             ,65             ,19             ,68             ,33             ,7              ,60             ,67             ,72             ,33             ,39             ,8              ,48             ,1              ,1              ,0              ,0              ,22             ,99             ,146            ,81             
22             ,SAM            ,PAYNE          ,3              ,14             ,74             ,99            ,QB             ,67             ,13             ,41             ,16             ,39             ,73             ,17             ,37             ,43             ,24             ,65             ,42             ,46             ,30             ,39             ,13             ,71             ,1              ,0              ,1              ,0              ,23             ,84             ,98             ,64             
23             ,MACKENZIE      ,MULLINS        ,5              ,17             ,72             ,99            ,QB             ,25             ,47             ,48             ,44             ,50             ,74             ,43             ,13             ,28             ,50             ,70             ,86             ,86             ,53             ,60             ,57             ,73             ,0              ,0              ,1              ,0              ,21             ,73             ,151            ,64             
24             ,DANE           ,MATTHEWS       ,5              ,6              ,79             ,99            ,QB             ,75             ,27             ,31             ,1             ,5              ,80             ,18             ,39             ,7              ,14             ,65             ,62             ,69             ,62             ,37             ,45             ,77             ,1              ,0              ,0              ,1              ,21             ,91             ,81             ,68             
25             ,BRANDEN        ,LARSON         ,5              ,2              ,71             ,99            ,QB             ,40             ,38             ,43             ,22             ,1             ,65             ,64             ,29             ,41             ,15             ,77             ,85             ,57             ,58             ,36             ,45             ,56             ,1              ,0              ,1              ,1              ,21             ,93             ,298            ,64             
