INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Marcus,Mariota,1,1,76,222,QB,87,75,65,39,23,81,37,35,25,28,87,70,69,87,17,25,82,0,0,0,1,28,95,331,82
1,Cordarrelle,Patterson,5,84,74,220,RB,91,79,90,76,33,45,20,20,39,48,60,85,81,95,22,32,90,1,0,1,0,31,97,234,99
2,Keith,Smith,5,40,72,240,RB,74,42,75,50,54,8,20,20,49,73,25,79,80,81,65,71,90,0,0,0,1,30,97,240,99
3,Drake,London,1,5,76,219,WR,88,83,75,85,32,14,14,17,23,28,25,83,76,88,14,25,89,1,0,0,0,21,74,326,56
4,Damiere,Byrd,5,14,69,175,WR,93,72,67,78,24,15,23,22,23,24,35,83,74,92,20,15,86,1,1,1,1,29,80,140,58
5,Bryan,Edwards,5,89,75,212,WR,89,79,75,85,37,17,19,13,41,41,32,87,67,86,48,32,87,1,1,0,0,23,82,214,68
6,Olamide,Zaccheaus,1,17,68,193,WR,89,73,72,79,30,13,13,15,35,35,31,85,75,86,19,25,88,0,0,0,1,25,76,324,94
7,KhaDarel,Hodge,5,12,74,205,WR,87,73,69,81,25,40,20,16,29,31,57,82,73,85,19,51,88,1,0,1,0,27,95,41,86
8,Kyle,Pitts,1,8,78,245,TE,91,63,78,86,56,26,18,14,39,41,48,90,85,81,19,36,92,0,0,1,0,21,95,85,89
9,Jake,Matthews,5,70,77,305,OL,68,23,45,33,81,7,22,20,40,45,25,91,91,69,13,40,98,0,0,0,0,30,92,3,51
10,Elijah,Wilkinson,1,68,77,329,OL,63,10,20,20,74,7,25,22,33,37,32,83,81,62,11,35,88,0,0,1,0,27,81,81,77
11,Drew,Dalman,1,67,75,299,OL,71,5,34,18,72,6,15,14,27,32,15,82,79,69,10,25,91,0,1,0,1,23,94,295,58
12,Chris,Lindstrom,1,63,75,307,OL,75,8,19,19,85,6,25,25,15,32,23,90,93,69,12,28,93,0,0,0,0,25,84,179,95
13,Kaleb,McGary,3,76,78,306,OL,71,35,46,46,75,6,20,15,38,34,30,87,85,62,17,35,90,0,1,0,1,27,84,16,74
14,Ta'Quon,Graham,5,95,75,294,DL,75,24,25,17,45,7,17,17,70,77,23,77,65,72,23,80,92,1,0,0,0,23,87,112,65
15,Abdullah,Anderson,5,98,75,295,DL,68,10,35,26,45,6,17,14,68,79,20,68,68,69,15,81,87,0,0,1,0,26,95,233,87
16,Grady,Jarrett,5,97,72,305,DL,69,10,40,20,49,8,25,25,86,87,26,82,93,69,27,86,84,0,1,0,1,29,92,186,92
17,Vincent,Taylor,5,96,75,311,DL,69,19,28,23,48,6,25,21,71,74,19,68,70,60,25,77,82,0,1,0,1,28,95,325,66
18,Arnold,Ebiketie,5,47,75,247,LB,84,14,45,37,45,7,15,16,70,78,23,81,65,85,35,78,92,1,0,0,0,23,87,176,71
19,Rashaan,Evans,5,54,74,232,LB,84,22,51,52,48,6,22,24,78,87,25,85,76,84,57,92,88,1,1,0,0,26,83,255,59
20,Nick,Kwiatkoski,1,53,74,242,LB,79,11,42,44,46,8,22,29,75,82,25,83,74,81,68,79,85,1,0,1,1,29,84,102,53
21,Lorenzo,Carter,5,9,77,255,LB,88,18,43,41,45,8,17,17,71,81,20,80,76,84,55,79,88,1,1,0,0,26,95,298,86
22,A.J.,Terrell Jr,5,24,73,195,DB,92,58,58,62,34,7,19,12,49,56,22,92,89,89,89,56,91,0,1,0,1,23,86,115,91
23,Richie,Grant,5,27,72,197,DB,87,53,65,68,39,12,19,16,60,72,23,93,75,89,70,85,91,0,0,1,0,24,92,45,94
24,Jaylinn,Hawkins,5,32,73,208,DB,88,45,55,68,34,7,28,24,61,64,27,89,74,83,69,87,88,1,0,0,0,25,77,127,70
25,Casey,Hayward Jr,5,29,71,192,DB,88,60,55,67,34,8,22,24,55,62,30,94,88,89,86,51,87,1,1,1,0,32,77,190,76
26,Isaiah,Oliver,5,26,72,210,DB,90,61,73,70,33,8,19,13,39,49,40,93,72,86,76,46,85,0,0,0,0,25,93,85,89
27,Rashad,Fenton,5,21,71,188,DB,88,54,52,58,28,7,18,17,54,70,22,90,68,84,78,57,89,1,0,0,1,25,82,198,67
28,Younghoe,Koo,1,7,69,185,K,71,16,39,19,14,22,92,87,31,36,36,87,71,63,17,27,91,0,0,1,1,28,84,175,66
29,Bradley,Pinion,1,13,77,240,P,64,9,40,23,19,35,93,80,19,29,52,85,62,59,15,15,92,0,1,0,0,28,84,187,94
30,Desmond,Ridder,1,4,75,213,QB,88,56,57,28,15,78,19,15,21,27,91,87,70,79,11,17,92,0,1,0,0,23,93,55,86
31,Feleipe,Franks,1,15,78,234,QB,84,59,66,69,46,72,61,53,22,26,90,78,58,78,15,23,89,0,1,0,0,24,87,218,81
32,Damien,Williams,1,6,71,221,RB,88,81,87,67,43,23,17,11,22,35,28,87,71,86,14,12,84,1,1,0,1,30,84,81,87
33,Tyler,Allgeier,5,25,71,221,RB,86,83,89,51,39,16,18,13,34,40,30,85,77,83,21,43,91,1,0,0,0,22,92,4,50
34,Caleb,Huntley,1,42,70,229,RB,83,76,86,51,33,15,21,18,34,41,26,79,68,83,20,36,86,0,0,1,0,23,93,41,68
35,Avery,Williams,5,35,68,195,RB,90,71,73,59,33,6,18,17,53,55,27,90,57,86,61,59,90,1,0,0,0,24,86,97,82
36,Jared,Bernhardt,1,83,73,195,WR,82,73,75,77,25,63,26,24,25,35,71,83,44,87,14,39,92,0,1,1,1,24,95,44,94
37,Anthony,Firkser,1,86,74,246,TE,79,62,73,80,56,6,13,13,35,38,22,85,78,80,24,23,90,0,0,0,0,27,64,117,87
