INDEX,FIRST,LAST,SKIN,NUMBER,Height,Weight,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Lamar,Jackson,4,8,74,212,QB,96,81,70,19,16,89,12,19,16,35,93,92,91,95,12,27,92,1,0,0,0,25,84,281,98
1,J.K.,Dobbins,5,27,69,215,RB,91,83,88,57,38,21,19,16,29,30,32,88,81,87,15,31,87,1,0,1,1,23,79,191,92
2,Patrick,Ricard,1,42,75,311,RB,70,56,68,51,64,8,17,17,72,79,23,88,82,74,55,77,84,1,0,1,0,28,91,35,98
3,Rashod,Bateman,3,7,71,205,WR,92,76,74,83,32,12,22,20,29,29,28,87,82,87,14,25,85,1,0,0,0,22,86,113,97
4,Devin,Duvernay,5,13,69,180,WR,93,79,77,84,33,29,17,12,36,35,44,84,79,87,18,28,92,1,0,1,1,24,84,299,77
5,Demarcus,Robinson,5,10,76,220,WR,88,73,75,82,32,18,23,22,22,23,24,86,75,91,20,15,95,0,0,0,0,27,84,114,93
6,James,Proche II,3,3,73,200,WR,88,72,74,82,31,12,17,13,25,27,27,85,73,82,14,17,88,0,1,0,1,25,78,255,84
7,Tylan,Wallace,5,16,71,210,WR,89,75,71,83,33,11,20,22,38,40,27,83,70,90,27,32,88,0,0,0,0,23,98,63,90
8,Mark,Andrews,1,89,77,256,TE,86,73,73,93,58,11,12,10,28,27,25,97,98,80,13,25,92,0,0,0,0,26,77,231,95
9,Ronnie,Stanley,5,79,78,315,OL,65,8,32,22,90,8,20,17,27,31,22,88,92,70,12,42,85,0,0,1,1,28,90,24,99
10,Ben,Powers,2,72,77,325,OL,68,9,40,22,76,7,11,11,33,38,25,85,81,64,12,25,89,0,0,0,1,25,73,84,82
11,Tyler,Linderbaum,1,64,75,313,OL,76,18,35,19,79,6,23,21,44,41,21,88,77,69,10,33,92,1,1,0,0,22,80,144,97
12,Kevin,Zeitler,5,70,77,344,OL,57,6,40,15,81,7,18,16,15,25,12,94,92,58,14,20,95,1,0,0,1,32,74,242,81
13,Morgan,Moses,5,78,80,345,OL,58,6,45,21,78,7,25,25,20,30,30,89,91,56,13,20,96,0,0,1,0,31,77,330,94
14,Justin,Madubuike,5,92,80,300,DL,78,10,30,32,47,6,15,12,77,84,16,76,84,72,24,79,91,1,0,0,0,24,85,216,83
15,Michael,Pierce,5,58,73,336,DL,70,17,28,18,50,7,23,19,90,86,24,74,86,66,22,77,81,1,1,0,0,29,74,15,89
16,Travis,Jones,2,98,77,285,DL,75,19,25,17,48,6,15,14,73,80,20,70,68,71,17,81,90,0,1,0,0,22,79,185,86
17,Calais,Campbell,4,93,75,265,DL,71,16,46,22,47,7,30,30,88,91,35,83,92,76,23,85,94,0,0,0,1,36,92,80,97
18,Justin,Houston,5,50,72,232,LB,80,10,40,27,47,7,37,16,76,79,36,78,83,80,60,89,89,0,0,0,0,33,91,15,96
19,Patrick,Queen,5,6,72,232,LB,87,52,73,57,45,7,20,20,71,76,27,90,83,86,63,84,92,0,0,0,0,23,81,26,85
20,Josh,Bynes,5,56,75,261,LB,77,15,55,29,45,6,12,11,74,81,16,85,84,75,62,82,85,0,1,0,1,33,95,190,83
21,Odafe,Oweh,5,99,75,247,LB,89,35,48,45,47,8,29,26,73,86,22,79,72,87,49,83,89,1,1,0,1,23,89,111,82
22,Marlon,Humphrey,4,44,72,197,DB,92,56,62,60,36,6,30,25,56,69,22,93,89,87,91,78,88,0,0,1,0,26,89,92,76
23,Marcus,Williams,4,32,72,205,DB,89,49,75,72,34,8,20,20,62,73,25,93,89,87,84,79,91,0,0,0,0,25,80,287,79
24,Chuck,Clark,4,36,73,210,DB,88,44,61,62,36,12,25,25,53,76,30,93,80,87,74,84,96,1,0,1,0,27,90,324,78
25,Marcus,Peters,4,24,72,195,DB,90,66,68,78,35,6,15,27,51,58,29,88,92,89,87,62,87,1,1,1,1,29,95,193,82
26,Kyle,Fuller,4,23,74,210,DB,90,45,66,66,34,6,19,19,50,59,36,92,82,89,80,81,96,0,0,0,0,30,90,265,84
27,Kevon,Seymour,4,25,69,185,DB,91,50,58,50,28,7,10,11,41,47,25,88,65,87,63,53,82,1,0,0,0,28,81,178,92
28,Justin,Tucker,1,9,73,183,K,73,5,35,49,13,27,99,99,13,13,28,85,87,63,12,12,95,0,0,0,0,32,79,312,89
29,Jordan,Stout,1,11,73,222,P,84,9,34,19,16,20,94,75,21,27,34,86,57,66,10,19,89,0,1,1,0,24,84,227,91
30,Tyler,Huntley,5,2,74,213,QB,87,60,60,44,10,78,17,11,17,17,86,77,71,86,11,12,84,1,0,0,0,24,81,122,77
31,Kenyan,Drake,4,17,73,238,RB,91,80,88,57,39,21,21,20,26,33,26,87,75,88,16,21,83,0,0,1,1,28,91,51,92
32,Gus,Edwards,4,35,70,212,RB,88,82,93,52,32,14,18,13,31,37,24,85,76,82,17,31,84,0,0,1,0,27,88,101,91
33,Mike,Davis,5,28,70,200,RB,87,80,89,56,39,18,21,20,10,29,25,86,71,84,12,17,90,0,0,0,1,29,86,111,98
34,Justice,Hill,4,43,71,193,RB,91,70,87,56,30,15,14,10,21,25,24,81,68,88,13,15,81,0,0,1,1,24,73,332,89
35,Josh,Oliver,1,84,76,270,TE,85,59,76,79,58,10,20,15,48,47,24,82,69,79,21,46,87,0,0,1,0,25,77,192,95
36,Nick,Boyle,1,86,78,251,TE,74,40,74,77,63,11,17,18,46,35,19,86,69,76,20,12,78,1,0,0,0,29,90,247,95
37,Ja'Wuan,James,5,71,75,255,OL,58,5,40,15,78,8,20,21,20,30,15,84,84,67,13,35,80,0,0,1,0,30,79,296,78
38,Patrick,Mekari,5,65,77,344,OL,58,9,33,14,75,6,22,20,25,34,22,86,86,60,10,30,87,0,0,0,1,25,73,84,82
39,Ben,Cleveland,1,66,77,325,OL,71,12,14,13,68,6,13,12,35,31,23,83,68,65,11,30,87,0,0,0,0,24,79,66,94
40,Daniel,Faalele,2,77,76,308,OL,52,37,44,32,74,11,21,15,35,44,29,76,55,39,7,48,89,1,1,0,0,22,80,144,97
41,Broderick,Washington Jr,6,96,77,342,DL,70,11,34,15,58,8,17,13,69,74,27,73,67,62,22,79,89,0,0,1,1,25,76,109,87
42,Brent,Urban,6,97,75,293,DL,73,22,48,29,45,7,17,25,78,81,25,72,80,67,27,77,74,1,1,0,1,31,82,47,99
43,David,Ojabo,5,90,74,350,LB,87,17,32,21,45,7,17,17,65,81,20,73,65,86,38,82,88,1,0,0,0,22,78,40,80
44,Vince,Biegel,4,47,77,287,LB,82,14,48,50,45,7,14,17,74,79,20,80,63,78,60,77,81,1,1,1,0,29,83,139,99
45,A.J.,Klein,5,59,75,242,LB,81,30,70,58,47,7,14,15,72,76,20,84,85,73,57,75,91,1,0,1,1,31,74,14,79
46,Kristian,Welch,5,57,75,239,LB,81,48,64,51,45,19,16,20,65,79,20,81,63,79,57,80,90,0,0,0,0,24,81,26,85
47,Del'Shawn,Phillips,5,53,74,229,LB,85,43,58,55,45,7,15,14,66,77,25,82,58,78,56,84,88,1,0,0,1,25,87,130,76
48,Tyus,Bowser,5,54,76,275,LB,83,26,52,54,44,7,14,12,69,76,23,87,80,81,55,78,88,0,0,0,0,27,68,160,87
49,Jason,Pierre-Paul,5,4,71,207,LB,78,30,37,34,45,7,22,21,73,78,33,79,86,79,50,83,89,0,0,0,1,33,77,3,79
50,Malik,Harrison,5,40,71,178,LB,84,36,55,49,45,32,55,46,71,84,47,82,73,85,58,83,87,0,0,1,1,24,77,234,91
51,Damarion,Williams,5,22,71,200,DB,88,57,58,59,30,12,14,17,42,57,32,91,62,83,66,56,90,0,0,0,1,24,80,265,77
52,Jalyn,Armour-Davis,5,5,71,203,DB,93,38,48,59,29,10,21,15,43,57,31,88,56,81,66,48,85,1,0,0,1,22,79,259,96
