INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Josh,Allen,1,17,77,237,QB,86,80,57,27,14,87,22,14,23,32,99,91,86,85,15,11,92,0,0,0,1,25,92,331,82
1,Devin,Singletary,5,26,67,203,RB,86,82,87,53,35,14,14,10,25,37,24,89,81,91,14,21,94,1,0,1,0,23,98,234,99
2,Matt,Breida,5,22,70,195,RB,94,76,82,57,33,20,19,15,31,38,27,77,74,90,14,31,83,0,0,0,1,26,88,240,99
3,Stefon,Diggs,1,14,72,191,WR,92,84,74,94,35,23,30,30,35,27,46,92,98,93,20,12,87,1,0,0,0,27,74,326,56
4,Cole,Beasley,1,11,68,174,WR,86,78,80,90,25,36,28,24,49,39,52,93,90,91,20,15,91,1,1,1,1,32,80,140,58
5,Emmanuel,Sanders,5,1,71,180,WR,88,83,70,88,29,30,30,30,35,25,50,87,83,90,19,12,87,1,1,0,0,34,82,214,68
6,Gabriel,Davis,1,13,74,210,WR,90,74,75,82,38,12,19,15,33,33,31,90,80,83,17,27,91,0,0,0,1,22,76,324,94
7,Isaiah,McKenzie,5,19,68,173,WR,92,74,71,78,25,21,21,20,22,22,38,80,76,94,19,16,87,1,0,1,0,26,95,41,86
8,Dawson,Knox,1,88,76,257,TE,87,53,71,79,61,22,14,12,28,31,41,79,78,85,14,21,83,0,0,1,0,24,95,85,89
9,Dion,Dawkins,5,73,77,320,OL,68,8,28,20,82,7,24,22,27,31,23,92,90,70,13,40,92,0,0,0,0,27,92,3,51
10,Jon,Feliciano,1,76,76,325,OL,60,6,40,19,76,7,22,17,29,41,23,79,88,66,12,35,90,0,0,1,0,29,81,81,77
11,Mitch,Morse,1,60,78,305,OL,67,5,40,23,81,7,25,25,20,30,30,82,85,65,13,20,87,0,0,0,0,29,84,179,95
12,Ike,Boettger,1,65,78,313,OL,57,5,37,36,71,8,11,11,25,34,15,83,85,63,11,30,80,0,1,0,1,25,94,295,58
13,Daryl,Williams,1,75,78,330,OL,59,5,40,17,79,7,28,15,39,39,25,79,80,50,12,25,89,0,1,1,1,29,95,44,94
14,Efe,Obada,5,93,78,265,DL,84,13,32,40,45,7,17,12,67,77,10,76,65,78,27,76,87,1,0,0,0,29,87,112,65
15,Ed,Oliver,5,91,73,287,DL,83,20,32,25,48,7,15,12,74,82,25,78,85,85,25,81,92,0,0,1,0,23,95,233,87
16,Justin,Zimmer,5,61,75,300,DL,74,19,28,23,48,6,14,12,71,79,19,72,74,79,25,76,90,0,1,0,1,28,92,186,92
17,Jerry,Hughes,5,55,74,254,DL,81,33,48,31,45,7,26,25,77,79,13,80,93,82,44,66,90,0,1,0,1,33,95,325,66
18,A.J.,Klein,5,54,73,240,LB,81,30,70,58,47,7,14,15,72,77,20,84,84,73,57,75,91,1,0,0,0,30,87,176,71
19,Tremaine,Edmunds,5,49,77,250,LB,87,29,48,46,45,6,20,14,83,82,18,88,85,87,61,85,93,1,1,0,0,23,83,255,59
20,Tyler,Matakevich,1,44,73,235,LB,77,30,65,52,44,7,14,15,63,83,20,90,71,76,52,78,91,1,0,1,1,28,84,102,53
21,Matt,Milano,5,58,72,223,LB,83,29,48,53,47,7,20,20,79,84,25,91,89,75,70,82,92,1,1,0,0,27,95,298,86
22,Tre'Davious,White,5,27,71,192,DB,91,73,65,67,32,25,22,18,53,67,36,95,95,91,94,66,90,0,1,0,1,26,86,115,91
23,Taron,Johnson,5,24,71,192,DB,90,50,58,64,31,7,10,11,63,59,25,88,83,85,79,48,87,0,0,1,0,25,92,45,94
24,Jordan,Poyer,5,21,72,191,DB,88,30,65,62,34,8,25,25,62,75,30,93,90,87,85,68,87,1,0,0,0,30,77,127,70
25,Micah,Hyde,5,23,72,197,DB,89,59,74,63,34,9,56,48,55,73,30,90,91,88,86,71,93,1,1,1,0,30,77,190,76
26,Levi,Wallace,5,39,72,179,DB,90,58,65,68,34,6,10,11,49,59,27,87,74,86,76,48,88,0,0,0,0,26,93,85,89
27,Siran,Neal,5,33,72,206,DB,87,35,63,62,36,7,18,15,60,72,21,86,60,83,69,80,92,1,0,0,1,27,82,198,67
28,Tyler,Bass,1,2,70,185,K,76,5,33,19,13,24,97,77,13,29,27,87,62,67,12,12,87,0,0,1,1,24,84,175,66
29,Matt,Haack,1,3,72,205,P,84,14,46,18,19,32,96,79,24,28,58,83,56,67,16,18,94,0,1,0,0,27,84,187,94
30,Mitchell,Trubisky,1,10,74,220,QB,84,76,64,35,21,78,31,23,24,35,88,80,63,87,16,32,90,0,1,0,0,27,93,55,86
31,Zack,Moss,1,20,69,205,RB,86,83,93,56,41,18,21,16,33,34,33,85,78,85,24,28,85,0,1,0,0,23,87,218,81
32,Taiwan,Jones,1,25,72,195,RB,90,76,77,58,23,22,22,22,45,38,30,78,76,87,70,39,88,0,0,1,0,33,93,41,68
33,Jake,Kumerow,5,15,76,209,WR,87,73,66,81,36,16,19,15,28,35,36,77,69,87,23,27,82,1,0,0,0,29,86,97,82
34,Marquez,Stevenson,1,5,70,182,WR,91,71,70,76,24,12,21,15,23,23,26,82,65,88,16,17,85,0,0,0,0,23,64,117,87
35,Tommy,Sweeney,5,89,77,251,TE,76,58,76,76,59,19,21,19,26,27,30,78,60,77,17,25,89,0,1,0,1,26,81,43,84
36,Spencer,Brown,3,79,80,314,OL,74,24,50,53,71,6,25,25,34,42,23,82,61,76,13,45,89,1,1,1,0,23,76,289,55
37,Cody,Ford,5,74,75,329,OL,65,8,35,17,74,6,14,12,14,14,16,83,74,62,14,20,84,0,0,1,1,24,75,44,77
38,Ryan,Bates,1,71,76,302,OL,69,11,26,16,66,7,15,12,26,31,17,82,55,71,12,27,89,1,1,0,1,24,84,81,87
39,Carlos,Basham Jr,3,96,75,281,DL,86,22,43,33,47,8,17,11,74,72,14,82,72,76,34,81,91,1,0,0,0,23,85,53,94
40,Star,Lotulelei,5,98,74,315,DL,56,10,48,30,49,8,28,27,67,84,29,74,78,66,19,87,88,1,0,0,1,31,91,77,96
41,Mario,Addison,5,97,75,260,DL,78,15,54,39,46,7,37,16,70,81,36,73,82,80,43,72,90,0,1,1,0,33,77,7,50
42,Tyrel,Dodson,1,53,72,237,LB,86,20,45,44,45,6,18,13,67,77,34,85,63,74,55,79,88,1,1,0,0,23,78,122,76
43,Andre,Smith,3,9,72,240,LB,84,31,51,44,45,7,16,12,68,82,30,89,54,73,51,84,86,0,1,0,1,24,84,16,74
44,Dane,Jackson,5,30,71,180,DB,87,56,65,59,34,34,44,34,52,55,50,87,65,87,69,54,88,0,1,1,0,24,99,64,65
45,Damar,Hamlin,3,31,73,201,DB,86,49,63,64,37,8,20,20,50,61,25,89,69,86,62,72,86,1,0,0,0,23,94,285,88
46,Jaquan,Johnson,5,46,70,190,DB,84,55,68,58,35,25,15,15,56,73,41,84,67,84,66,81,85,1,0,1,1,25,77,190,55
47,A.J.,Epenesa,3,57,77,265,DL,78,27,51,39,46,7,22,15,71,79,24,79,78,77,24,81,92,0,0,1,0,22,87,11,81
48,Vernon,Butler Jr,5,94,76,330,DL,65,17,36,25,48,7,20,19,72,83,22,75,80,63,26,84,90,1,0,1,1,27,95,95,56
49,Harrison,Phillips,1,99,75,307,DL,65,24,26,22,47,7,17,11,70,80,26,83,71,75,23,78,88,0,0,0,1,25,89,167,82
50,Greg,Rousseau,5,50,79,266,DL,83,29,48,43,46,8,20,19,63,76,22,73,65,79,39,81,87,0,0,1,1,21,98,257,89
51,Reggie,Gilliam,1,41,73,244,FB,84,61,70,57,55,21,17,12,39,49,34,83,57,82,33,46,84,0,0,1,1,24,67,108,67
52,Christian,Wade,5,45,69,196,RB,90,76,84,55,36,23,37,34,38,43,31,87,63,86,30,46,85,1,0,0,0,30,92,4,50
