INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Baker,Mayfield,1,6,73,215,QB,82,70,60,49,18,80,20,16,28,32,93,83,60,83,11,25,91,0,0,1,0,27,93,41,68
1,Chuba,Hubbard,5,30,72,210,RB,90,76,86,59,38,18,22,17,27,32,31,88,74,88,14,23,90,1,0,0,1,23,98,292,56
2,Giovanni,Ricci,5,45,75,240,RB,79,51,74,69,54,33,20,22,29,31,41,81,60,78,17,27,90,0,0,1,1,25,89,259,91
3,D.J.,Moore,5,2,72,210,WR,93,87,73,88,31,25,18,13,22,30,43,93,84,92,21,18,95,1,1,0,1,25,90,236,62
4,Laviska,Shenault Jr,5,15,73,227,WR,88,83,78,81,37,25,20,14,53,52,39,85,73,88,28,55,86,1,0,0,1,23,81,325,89
5,Rashard,Higgins,5,17,73,198,WR,85,72,69,82,31,12,23,22,36,31,29,85,78,83,20,15,90,0,1,0,0,27,94,253,92
6,Terrace,Marshall Jr,5,88,75,200,WR,91,78,74,82,31,15,19,15,28,27,26,84,77,84,14,25,87,0,0,1,0,22,81,278,89
7,Andre,Roberts,5,18,71,195,WR,86,79,64,79,26,12,22,15,39,29,38,81,78,88,16,15,85,0,0,0,1,34,75,216,80
8,Ian,Thomas,1,80,75,260,TE,83,65,74,76,58,19,18,12,27,31,31,88,76,79,13,15,96,1,0,0,0,26,79,114,68
9,Ikem,Ekwonu,5,79,76,320,OL,75,17,40,20,83,7,27,23,44,45,23,88,77,57,13,55,93,0,0,0,0,21,91,189,65
10,Brady,Christensen,1,70,77,302,OL,75,11,30,26,73,8,18,12,17,25,21,84,79,71,13,24,92,0,1,1,0,25,80,103,92
11,Bradley,Bozeman,5,56,77,325,OL,56,14,20,12,77,7,19,16,15,20,17,92,84,54,10,12,95,0,0,0,1,27,93,131,60
