INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Justin,Fields,1,1,75,227,QB,90,75,64,21,17,82,19,18,20,24,92,83,62,90,18,14,91,0,1,0,0,22,95,162,63
1,David,Montgomery,5,32,70,222,RB,88,88,95,61,38,29,17,12,24,30,38,90,86,86,12,27,87,0,0,1,0,24,95,214,82
2,Damien,Williams,5,8,71,221,RB,89,84,88,67,43,23,17,11,22,35,28,89,79,87,14,12,89,1,0,0,1,29,93,188,57
3,Allen,Robinson II,5,12,74,220,WR,89,78,83,93,36,12,25,30,40,42,30,89,85,88,21,15,92,0,0,0,0,28,84,214,91
4,Darnell,Mooney,5,11,70,174,WR,93,73,73,87,31,12,17,15,28,30,23,91,83,83,24,27,90,1,0,0,0,23,71,92,65
5,Breshad,Perriman,5,19,74,215,WR,93,73,69,81,29,17,24,21,40,29,36,77,76,82,17,15,76,1,1,1,0,27,71,115,95
6,Damiere,Byrd,1,10,69,175,WR,93,73,67,78,24,15,23,22,23,24,35,83,74,93,20,15,81,1,0,0,1,28,92,43,90
7,Jakeem,Grant Sr,5,17,67,171,WR,94,79,73,77,27,23,23,22,19,20,35,79,75,90,20,15,83,0,1,0,1,28,91,97,84
8,Jimmy,Graham,1,80,79,260,TE,81,64,73,88,56,23,22,12,40,30,32,87,78,80,16,25,93,0,1,0,0,34,89,206,91
9,Jason,Peters,1,71,76,328,OL,65,9,40,26,79,7,13,6,43,48,10,88,86,61,15,24,83,0,1,1,1,39,75,70,65
10,Cody,Whitehair,5,65,75,309,OL,70,7,33,17,82,7,20,20,32,31,21,88,88,72,13,48,90,0,0,1,0,29,77,241,83
11,Sam,Mustipher,5,67,74,311,OL,56,6,40,15,70,6,25,25,25,37,30,85,81,55,13,43,89,0,1,1,1,25,84,308,52
12,James,Daniels,1,68,75,310,OL,63,8,28,15,79,6,15,14,26,28,26,86,84,76,12,29,84,0,1,0,0,23,91,139,59
13,Germain,Ifedi,1,74,77,340,OL,62,7,31,17,74,8,20,20,27,35,21,87,81,67,13,25,93,0,0,0,1,27,83,185,93
14,Akiem,Hicks,5,96,76,347,DL,62,13,35,20,47,7,25,25,90,86,26,83,94,67,26,82,94,1,0,0,0,31,83,46,50
15,Eddie,Goldman,5,91,75,318,DL,63,10,40,18,49,6,24,18,79,90,21,76,82,63,24,84,85,1,0,0,1,27,90,132,61
16,Khyiris,Tonga,5,95,74,321,DL,68,21,39,29,51,6,27,28,69,78,23,79,64,56,21,74,86,1,0,0,1,25,74,89,91
17,Bilal,Nichols,1,98,75,299,DL,74,22,42,35,47,7,17,10,80,85,23,72,78,67,24,77,88,0,1,1,1,24,87,15,61
18,Khalil,Mack,5,52,75,260,LB,86,31,61,56,48,7,24,22,89,94,32,91,94,86,54,88,97,1,0,0,1,30,93,3,81
19,Roquan,Smith,5,58,72,230,LB,89,36,54,49,47,9,14,22,75,92,25,94,86,88,75,87,92,0,0,0,0,24,75,253,69
20,Danny,Trevathan,5,6,72,237,LB,79,10,45,35,46,7,37,30,72,90,20,92,89,80,67,82,85,1,0,1,0,31,75,270,79
21,Robert,Quinn,5,94,76,250,LB,80,25,35,33,47,8,14,22,72,82,33,82,84,82,48,82,91,0,0,0,0,31,90,45,87
22,Jaylon,Johnson,5,33,72,193,DB,89,60,60,62,35,7,15,14,54,62,27,91,84,86,82,65,83,1,0,0,0,22,72,177,68
23,Artie,Burns,5,25,72,197,DB,89,55,60,56,32,7,18,17,39,52,27,90,73,84,70,53,85,1,1,0,0,26,81,305,57
24,Tashaun,Gipson Sr,5,38,71,212,DB,83,42,66,65,34,9,20,19,59,70,21,92,80,85,78,72,93,0,0,1,0,31,82,221,82
25,Eddie,Jackson,5,4,72,199,DB,88,57,74,73,34,8,20,19,56,70,21,89,90,86,83,83,82,0,1,1,1,27,85,268,65
26,Duke,Shelley,5,20,68,178,DB,89,60,60,61,34,7,14,13,53,60,35,91,67,84,68,61,84,1,0,0,0,24,94,127,93
27,Kindle,Vildor,5,22,70,190,DB,90,49,58,60,34,25,40,37,50,53,37,88,65,90,67,53,89,1,0,1,0,23,92,149,90
28,Cairo,Santos,1,2,68,160,K,74,15,35,18,16,18,95,82,26,22,26,84,66,73,17,25,80,0,1,1,0,29,95,257,94
29,Pat,O'Donnell,1,16,76,212,P,80,19,44,23,14,26,91,74,24,24,49,87,59,73,17,52,85,0,1,0,1,30,77,186,59
