INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Joe,Burrow,1,9,76,221,QB,83,69,60,28,21,93,21,17,30,36,87,92,94,82,31,29,88,1,1,1,1,25,91,112,74
1,Joe,Mixon,5,28,73,218,RB,91,88,96,69,41,30,24,16,34,37,46,96,85,91,15,38,92,0,1,1,0,26,98,46,84
2,Samaje,Perine,5,34,71,240,RB,87,77,97,54,46,20,20,22,37,40,31,85,78,81,14,42,87,0,1,1,0,26,79,282,80
3,Ja'Marr,Chase,5,1,72,201,WR,94,85,74,90,34,17,24,17,37,34,33,93,98,89,15,27,92,0,0,0,0,22,80,310,90
4,Tee,Higgins,5,85,76,216,WR,88,78,76,93,32,28,17,13,34,33,28,87,89,85,23,26,88,1,0,0,0,23,98,142,56
5,Tyler,Boyd,5,83,74,203,WR,89,76,71,90,35,33,23,22,39,24,52,88,79,87,20,15,90,0,0,1,1,27,89,271,98
6,Trenton,Irwin,5,16,74,207,WR,87,74,71,81,31,16,22,21,29,29,25,81,71,83,17,17,90,0,1,0,0,26,92,157,52
7,Stanley,Morgan Jr,5,17,72,205,WR,88,72,74,78,34,11,19,13,25,32,25,80,58,90,13,24,88,1,0,1,0,25,89,12,51
8,Hayden,Hurst,1,88,76,245,TE,87,73,76,85,58,11,23,16,35,44,73,86,81,83,15,40,87,1,1,1,0,29,93,248,73
9,Jonah,Williams,1,73,76,305,OL,69,15,43,26,79,6,14,16,30,39,30,89,90,67,17,44,88,0,0,0,0,24,87,178,62
10,Cordell,Volson,1,67,78,313,OL,63,30,44,35,74,8,40,37,42,42,25,84,77,56,17,40,92,0,1,0,0,24,92,166,69
11,Ted,Karras,1,64,76,305,OL,59,6,31,24,78,6,25,21,29,30,29,86,89,53,12,67,92,0,0,0,0,29,90,196,98
12,Alex,Cappa,1,65,78,305,OL,60,35,46,42,82,8,21,18,39,43,16,93,89,60,12,35,89,0,1,0,0,27,80,39,86
13,La'el,Collins,1,71,76,315,OL,68,8,40,17,84,7,24,22,15,34,25,85,85,62,13,20,87,0,0,0,1,29,81,66,65
14,Sam,Hubbard,5,94,77,265,DL,77,22,40,37,51,7,10,10,79,79,20,85,88,84,41,78,92,0,0,0,0,27,97,187,97
15,D.J.,Reader,5,98,75,347,DL,61,10,30,19,48,8,17,17,89,89,24,82,96,59,22,80,84,1,0,0,1,28,78,44,77
16,B.J.,Hill,5,92,75,303,DL,72,23,43,26,46,7,18,12,76,94,19,80,79,71,25,81,93,1,0,0,0,26,86,313,80
17,Trey,Hendrickson,5,91,76,270,DL,84,28,41,33,45,7,17,17,70,88,23,85,89,82,38,83,92,1,0,0,0,27,86,280,73
18,Clay,Johnston,5,44,73,232,LB,83,30,60,53,45,6,20,20,66,78,25,84,65,81,54,85,83,0,1,1,0,26,79,65,93
19,Germaine,Pratt,5,57,74,245,LB,87,53,47,56,46,8,28,18,66,85,25,89,79,79,69,81,90,1,0,1,0,26,85,13,59
20,Markus,Bailey,5,51,72,235,LB,82,33,57,56,46,6,34,21,68,79,20,84,67,80,61,83,85,1,0,0,0,25,88,289,62
21,Logan,Wilson,5,55,74,241,LB,85,33,60,62,45,20,70,55,73,95,30,93,89,83,70,83,89,0,0,0,0,26,80,122,58
22,Chidobe,Awuzie,5,22,72,202,DB,92,54,68,66,34,7,26,22,54,65,32,92,85,88,87,79,87,1,0,0,1,27,80,113,72
23,Jessie,Bates III,5,30,73,200,DB,89,48,69,68,35,12,18,12,44,72,25,95,95,89,87,83,92,1,0,0,0,25,87,3,98
24,Vonn,Bell,5,24,71,205,DB,87,47,69,62,32,8,20,19,55,76,26,94,86,84,78,85,92,0,1,1,0,27,80,154,58
25,Mike,Hilton,5,21,69,184,DB,88,59,57,64,21,18,11,10,64,55,22,92,89,89,84,36,89,0,1,1,1,28,85,185,91
26,Eli,Apple,5,20,73,199,DB,90,50,63,58,27,7,18,17,49,56,27,93,79,87,74,47,90,1,1,1,1,27,95,32,57
27,Cam,Taylor-Britt,5,29,71,202,DB,93,52,64,63,34,41,18,15,56,61,48,90,66,86,69,72,90,1,0,0,1,22,79,16,74
28,Evan,McPherson,1,2,71,185,K,76,5,21,20,13,18,95,88,11,16,27,84,71,63,13,13,91,0,0,1,0,23,92,4,88
29,Drue,Chrisman,1,4,75,211,P,74,12,37,18,17,36,91,70,13,34,50,85,60,56,12,28,91,0,0,1,0,25,86,157,53
