INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Deshaun,Watson,1,4,74,215,QB,86,79,65,45,24,88,25,27,22,34,93,93,71,89,17,22,89,1,0,0,0,26,95,330,59
1,Nick,Chubb,5,24,71,227,RB,92,98,95,58,38,18,17,12,29,29,26,94,98,83,14,35,91,0,0,1,0,26,98,189,99
2,Kareem,Hunt,1,27,71,216,RB,89,88,94,63,43,21,24,16,29,31,27,87,86,91,21,24,86,0,1,1,1,27,89,266,61
3,Amari,Cooper,1,2,73,210,WR,91,78,72,91,35,17,25,21,35,25,45,92,93,94,20,15,87,1,1,1,1,28,74,325,76
4,Jakeem,Grant Sr,5,9,67,171,WR,93,80,73,77,27,23,23,22,19,20,35,84,74,90,20,15,83,1,0,0,0,29,80,193,61
5,Donovan,Peoples-Jones,3,11,74,204,WR,90,75,74,87,33,17,18,16,37,32,33,86,77,85,21,33,87,1,1,0,1,23,79,246,57
6,Anthony,Schwartz,5,10,72,186,WR,96,70,67,76,24,12,18,14,28,28,21,81,68,86,22,26,87,0,1,0,0,21,74,116,61
7,David,Bell,5,18,73,209,WR,86,76,79,82,26,16,23,22,24,21,25,87,72,79,16,20,90,0,0,0,0,21,77,248,76
8,David,Njoku,1,85,76,246,TE,86,77,81,82,59,10,15,19,42,36,13,88,76,83,24,15,87,1,0,1,0,26,73,35,99
9,Jedrick,Wills Jr,1,71,76,307,OL,71,8,27,27,82,7,19,28,28,29,21,88,87,67,14,25,89,0,0,0,0,23,91,164,82
10,Joel,Bitonio,1,75,76,320,OL,71,12,40,19,89,8,24,21,10,30,16,91,94,72,16,31,95,0,0,0,1,30,94,243,66
11,Ethan,Pocic,1,55,78,309,OL,66,7,28,21,74,7,12,12,33,36,24,87,83,57,12,40,86,1,0,0,0,27,85,316,68
12,Wyatt,Teller,1,77,76,314,OL,64,28,40,30,88,24,18,12,45,50,40,91,95,68,9,43,91,1,0,1,0,27,74,166,61
13,Jack,Conklin,1,78,78,308,OL,70,7,29,18,82,6,18,19,26,34,22,87,89,61,12,24,84,0,0,1,1,28,97,236,61
14,Jadeveon,Clowney,5,90,77,255,DL,84,27,53,44,48,8,21,20,83,83,35,83,80,84,54,85,83,0,0,1,0,29,90,130,84
15,Taven,Bryan,5,99,77,291,DL,76,33,37,24,48,10,18,13,68,80,22,75,67,77,25,85,94,1,0,0,1,26,91,47,64
16,Jordan,Elliott,5,96,76,302,DL,72,14,28,23,46,7,13,10,70,80,23,78,69,62,19,77,93,0,0,1,1,24,76,214,73
17,Myles,Garrett,5,95,76,272,DL,88,34,55,32,46,25,20,20,90,92,55,88,98,85,51,84,88,0,0,0,0,26,74,215,93
18,Sione,Takitaki,5,44,73,238,LB,85,45,62,57,50,7,17,15,76,78,19,85,66,80,54,84,90,1,0,0,0,26,81,184,93
19,Anthony,Walker Jr,1,5,73,235,LB,83,29,61,63,46,6,14,22,72,87,24,90,81,79,59,77,92,0,0,0,1,27,93,76,66
20,Jacob,Phillips,5,50,75,229,LB,84,31,47,51,48,7,20,20,71,82,24,83,64,72,54,80,86,1,0,1,0,23,80,241,88
21,Jeremiah,Owusu-Koramoah,5,28,74,221,LB,89,48,57,58,45,37,18,17,65,75,43,88,83,86,70,85,89,1,0,0,0,22,90,216,50
22,Denzel,Ward,5,21,71,190,DB,94,60,66,62,34,10,18,13,50,64,31,96,87,95,92,72,88,0,0,0,0,25,84,169,55
23,Greedy,Williams,5,26,74,185,DB,93,52,63,65,28,10,20,17,48,55,35,91,74,87,76,52,89,0,0,1,0,24,76,204,76
24,Grant,Delpit,5,22,75,213,DB,88,37,69,66,35,8,14,11,54,62,23,90,78,87,74,85,86,0,0,1,0,23,95,105,88
25,John,Johnson III,5,43,72,209,DB,85,46,66,66,36,6,24,19,59,74,26,92,83,92,80,85,92,0,1,1,1,26,78,165,100
26,Greg,Newsome II,5,20,72,192,DB,93,53,61,59,35,7,19,12,50,58,22,93,78,92,82,64,86,1,0,0,0,22,74,175,83
27,Martin,Emerson,5,23,74,203,DB,89,52,60,52,34,12,19,13,45,61,26,88,67,87,71,59,93,1,1,0,0,21,93,216,99
28,Cade,York,1,3,73,206,K,77,16,30,16,11,21,97,77,13,25,26,80,59,60,10,12,90,0,1,0,0,21,80,182,58
29,Corey,Bojorquez,1,13,72,208,P,70,10,33,15,17,22,95,81,24,28,34,86,65,63,14,15,87,0,0,0,0,26,85,57,71
30,Jacoby,Brissett,1,7,76,235,QB,79,70,65,22,17,80,21,20,21,39,90,91,67,79,15,11,91,1,0,1,0,29,69,61,99
31,Kellen,Mond,4,8,75,212,QB,85,68,59,22,20,75,20,16,28,28,88,87,61,86,16,12,93,0,1,0,0,23,89,332,54
32,Joshua,Dobbs,5,15,75,216,QB,83,71,56,46,22,74,20,15,27,33,84,75,55,85,21,39,84,1,1,0,0,27,91,144,61
33,D'Ernest,Johnson,5,30,70,208,RB,87,81,88,56,30,17,25,25,11,31,30,83,76,85,17,20,92,0,0,0,1,26,82,315,66
34,Demetric,Felton Jr,5,25,69,189,RB,89,75,89,64,35,29,16,10,36,40,38,85,66,87,22,36,89,1,0,1,0,24,86,218,74
35,Jerome,Ford,5,34,71,211,RB,90,78,81,59,39,18,19,15,36,39,25,83,69,82,20,38,89,0,1,0,0,22,74,27,98
36,Michael,Woods II,1,12,74,203,WR,88,68,71,78,29,10,19,16,26,27,27,81,63,81,13,23,89,0,0,0,0,22,92,178,70
37,Harrison,Bryant,5,88,77,230,TE,82,66,73,78,60,12,20,18,50,47,34,84,67,78,27,47,89,0,0,0,0,24,89,213,90
38,Jesse,James,5,81,79,251,TE,81,55,79,78,58,10,22,20,40,41,20,87,68,70,13,15,96,0,0,1,0,28,88,40,75
39,Joe,Haeg,5,59,78,298,OL,65,8,29,22,66,7,22,21,32,32,24,84,77,69,14,20,88,0,1,0,1,29,91,225,100
40,Michael,Dunn,5,68,77,315,OL,63,8,20,18,70,7,25,25,20,35,24,80,67,59,13,20,87,1,0,0,1,28,96,12,99
41,Nick,Harris,3,53,73,293,OL,69,5,20,18,73,7,20,16,20,30,23,81,79,63,13,29,84,0,1,0,1,23,78,170,74
