INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Dak,Prescott,1,4,74,238,QB,82,75,67,27,29,90,26,22,29,42,89,95,93,84,15,40,95,0,0,1,1,28,92,315,71
1,Ezekiel,Elliott,1,21,72,218,RB,89,87,90,63,47,24,21,20,32,59,35,98,93,92,16,42,97,1,0,0,0,26,98,311,77
2,Tony,Pollard,1,20,72,210,RB,93,80,87,62,33,14,14,10,30,38,25,85,81,85,38,30,89,0,0,0,1,24,86,310,92
3,Amari,Cooper,5,19,73,210,WR,91,85,72,91,35,17,25,21,35,25,45,94,93,95,20,15,82,1,0,0,1,27,97,238,98
4,Michael,Gallup,5,13,73,198,WR,91,79,77,85,29,14,19,15,28,32,25,86,86,88,17,28,91,1,0,0,1,25,78,249,56
5,CeeDee,Lamb,5,88,74,189,WR,90,82,75,85,33,27,48,33,30,38,37,90,87,90,21,29,93,1,0,1,0,22,94,127,73
6,Cedrick,Wilson,5,1,74,200,WR,88,70,71,82,29,39,16,11,24,28,51,82,70,86,19,18,88,0,1,0,0,25,91,76,96
7,Noah,Brown,5,85,74,225,WR,86,68,72,83,42,23,22,20,45,45,33,81,70,85,20,44,86,0,0,0,0,25,91,65,71
8,Dalton,Schultz,1,86,77,244,TE,81,62,72,83,63,10,16,14,31,29,24,79,77,81,13,27,91,0,0,1,0,25,75,262,64
9,Tyron,Smith,5,77,77,308,OL,72,11,55,47,91,7,25,21,40,45,35,88,97,77,12,20,76,0,0,0,1,30,78,159,71
10,Connor,Williams,1,52,77,298,OL,71,20,27,19,76,7,17,13,35,33,16,82,79,60,12,37,85,0,1,0,0,24,77,108,71
11,Tyler,Biadasz,1,63,75,314,OL,60,9,28,17,72,7,48,43,36,37,21,86,82,58,13,47,84,1,1,1,1,23,76,139,76
12,Zack,Martin,5,70,76,315,OL,69,5,40,20,95,7,9,14,27,28,29,93,97,64,10,20,94,0,0,0,0,30,93,99,53
13,La'el,Collins,5,71,76,320,OL,70,8,40,17,87,7,24,22,15,34,25,85,94,64,13,20,87,1,1,1,1,28,65,147,69
14,DeMarcus,Lawrence,5,90,75,265,DL,80,10,42,27,46,7,19,19,89,86,25,84,90,81,44,84,84,0,0,0,0,29,79,212,79
15,Brent,Urban,5,95,79,295,DL,74,22,48,29,45,7,17,25,78,80,25,72,81,69,27,77,73,1,0,0,0,30,83,110,55
16,Osa,Odighizuwa,5,97,74,282,DL,77,24,29,20,46,7,20,18,75,82,12,80,75,68,22,78,91,1,0,0,0,23,92,37,98
17,Randy,Gregory,5,94,78,258,DL,82,41,55,36,45,8,26,19,70,77,24,68,76,86,41,78,84,0,0,0,0,28,83,24,77
18,Leighton,Vander Esch,5,55,76,256,LB,86,32,56,46,46,29,19,15,77,84,42,87,74,89,65,82,87,1,0,0,0,25,89,306,93
19,Keanu,Neal,5,42,73,222,LB,87,46,65,60,34,13,21,18,64,74,34,91,74,86,73,94,87,1,1,0,1,26,93,161,76
20,Jabril,Cox,5,14,75,232,LB,88,36,45,64,44,39,20,20,62,78,48,85,62,83,67,76,91,0,0,0,0,23,87,34,80
21,Micah,Parsons,5,11,75,246,LB,93,50,69,51,46,7,20,20,71,83,30,87,74,88,61,84,89,0,1,0,0,22,90,263,51
22,Trevon,Diggs,5,7,73,195,DB,92,53,69,77,36,6,20,20,57,65,35,92,85,87,77,63,86,1,0,0,0,23,76,311,75
23,Anthony,Brown,5,30,71,196,DB,93,55,63,61,27,6,18,17,57,58,27,90,77,85,73,62,88,1,1,0,0,27,75,261,83
24,Jayron,Kearse,5,27,76,215,DB,84,57,72,61,31,12,21,18,57,75,27,88,79,80,74,77,91,0,1,1,1,27,94,321,83
25,Damontae,Kazee,5,18,71,174,DB,87,69,73,76,34,7,30,25,55,70,22,94,79,89,74,80,88,1,0,1,1,28,91,106,54
26,Jourdan,Lewis,5,26,70,195,DB,89,66,65,73,33,6,26,26,53,64,24,95,75,89,73,64,94,0,0,0,1,26,77,186,93
27,Maurice,Canady,1,31,73,193,DB,87,55,62,60,28,8,18,17,57,69,26,88,75,87,70,73,88,0,1,1,1,27,83,191,57
28,Greg,Zuerlein,1,2,72,191,K,73,9,39,19,13,25,97,82,13,23,28,85,65,64,12,12,95,0,0,0,0,33,81,313,61
29,Bryan,Anger,1,5,75,202,P,69,26,60,47,19,24,95,80,17,34,50,85,57,70,18,22,97,0,1,0,1,32,93,312,79
30,Will,Grier,5,15,74,220,QB,78,50,59,20,14,74,55,44,19,21,86,75,52,80,14,13,89,1,1,0,0,26,74,284,93
31,Cooper,Rush,1,10,75,225,QB,74,36,59,25,18,70,19,15,23,29,82,72,64,68,15,18,92,1,0,1,0,27,80,309,60
32,Corey,Clement,5,32,70,220,RB,86,78,85,58,38,24,18,14,27,28,37,80,69,88,21,26,85,0,1,0,1,26,94,111,89
33,Rico,Dowdle,5,34,71,213,RB,88,77,82,53,41,29,25,25,28,36,39,89,62,85,17,20,82,0,0,0,1,23,84,71,77
34,Malik,Turner,5,17,74,202,WR,88,74,70,78,36,19,18,15,44,44,31,81,73,86,22,41,84,0,0,0,0,25,82,8,56
35,Simi,Fehoko,5,81,76,222,WR,91,70,75,79,32,12,22,15,43,43,25,81,64,88,32,39,91,0,0,1,0,23,92,22,83
36,Blake,Jarwin,3,89,77,260,TE,83,55,77,80,60,19,21,19,35,38,30,83,80,74,17,35,88,1,0,0,0,27,88,244,90
37,Ty,Nsekhe,1,79,80,325,OL,71,10,25,23,75,7,25,25,15,38,24,77,81,62,13,15,85,0,0,0,0,35,85,263,85
38,Connor,McGovern,5,66,77,308,OL,68,5,40,21,71,10,25,25,20,40,30,81,72,64,13,20,89,1,0,0,0,23,79,96,57
39,Matt,Farniok,5,68,77,311,OL,66,14,23,19,63,6,24,18,23,26,27,83,65,71,11,31,90,1,0,1,1,23,88,223,84
40,Terence,Steele,5,78,78,312,OL,71,5,40,25,72,7,17,12,25,32,22,83,74,53,17,20,90,0,1,0,0,24,84,295,59
41,Tarell,Basham,1,93,76,266,DL,82,25,34,41,46,7,24,16,70,79,24,76,69,79,47,85,93,0,0,0,1,27,86,271,61
42,Neville,Gallimore,1,96,74,304,DL,79,12,38,27,48,6,20,15,73,81,29,79,71,74,20,78,92,1,0,0,1,24,77,206,73
43,Dorance,Armstrong,1,92,76,255,DL,77,15,28,25,45,7,16,12,72,82,20,74,63,84,34,76,87,0,0,0,0,24,83,271,60
44,Luke,Gifford,5,57,75,243,LB,84,48,63,42,46,31,17,18,67,77,44,88,56,83,53,80,81,1,0,1,1,26,81,165,88
45,Francis,Bernard,1,53,72,230,LB,81,41,65,55,45,7,22,18,67,80,25,84,63,77,57,83,93,0,0,1,1,26,99,264,53
46,Kelvin,Joseph,5,24,72,192,DB,94,51,53,63,34,7,19,12,50,63,22,88,54,90,71,65,91,1,0,0,0,21,84,307,80
47,Donovan,Wilson,5,6,72,204,DB,84,53,51,62,35,8,15,14,56,71,25,88,80,83,71,87,85,1,0,0,0,26,87,167,89
48,Malik,Hooker,5,28,73,212,DB,89,48,68,70,29,13,20,19,51,69,26,92,75,88,76,82,78,0,0,0,0,25,89,198,72
49,Trysten,Hill,3,72,74,310,DL,72,18,46,28,55,6,16,13,72,79,22,76,66,71,22,81,89,0,1,0,0,23,80,259,74
50,Bradlee,Anae,5,56,75,257,DL,76,19,36,25,45,8,15,18,64,73,27,87,71,73,33,79,92,1,0,0,1,23,76,69,51
51,C.J.,Goodwin,3,29,75,190,DB,92,54,69,69,29,10,20,22,48,48,35,88,59,84,65,46,91,1,0,1,0,31,84,213,85
52,Carlos,Watkins,1,91,75,305,DL,73,15,37,39,45,7,15,15,66,79,16,72,71,67,28,78,91,0,1,0,0,27,79,80,95
