INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Jared,Goff,1,16,76,223,QB,76,51,58,21,15,88,21,20,21,27,90,90,79,74,15,17,90,0,0,0,0,28,93,128,80
1,David,Montgomery,5,5,70,222,RB,88,88,93,61,40,29,17,12,24,30,38,90,89,85,12,27,88,0,0,0,0,26,95,35,98
2,Jason,Cabinda,5,45,73,235,RB,83,46,69,48,58,7,18,12,64,81,20,86,75,81,53,77,83,0,1,0,0,27,88,232,80
3,Amon-Ra,St. Brown,5,14,72,195,WR,89,75,73,93,33,15,20,14,33,34,32,92,95,90,15,23,90,1,0,1,0,23,75,59,69
4,Josh,Reynolds,5,8,75,196,WR,87,76,76,87,33,21,20,14,24,35,30,86,86,85,22,28,95,1,0,1,0,28,82,84,59
5,Donovan,Peoples-Jones,5,19,74,204,WR,90,75,74,89,33,17,18,16,37,32,33,86,74,85,21,33,87,0,1,0,0,24,78,11,75
6,Jameson,Williams,5,9,74,189,WR,98,74,66,78,27,13,18,17,25,26,31,80,57,94,18,22,91,1,0,1,0,22,94,239,98
7,Kalif,Raymond,5,11,68,182,WR,93,73,72,80,28,12,23,22,34,44,35,85,78,88,26,42,88,1,0,1,1,29,81,21,90
8,Sam,LaPorta,5,87,75,245,TE,86,72,74,81,57,21,17,12,57,59,31,87,78,85,33,61,89,1,0,1,1,22,80,250,68
9,Taylor,Decker,1,68,79,318,OL,64,6,28,23,83,7,18,19,26,34,22,88,92,59,12,70,89,0,0,0,0,29,87,171,82
10,Jonah,Jackson,1,73,76,305,OL,65,5,31,19,80,6,14,12,29,37,11,89,88,57,12,20,93,1,0,1,0,26,82,241,65
11,Frank,Ragnow,1,77,77,311,OL,72,16,29,18,89,7,19,16,27,29,17,90,96,58,10,30,87,0,0,0,0,27,90,263,55
12,Graham,Glasgow,5,60,78,310,OL,65,8,27,16,77,7,20,20,26,29,24,86,81,64,13,31,85,0,0,0,1,31,87,221,75
13,Penei,Sewell,5,58,78,325,OL,69,15,35,25,91,7,23,20,35,32,18,95,88,60,12,33,93,0,0,0,0,22,91,135,71
14,Romeo,Okwara,3,95,76,263,DL,76,10,40,21,45,6,21,20,69,76,10,74,81,75,35,79,85,0,1,0,0,28,71,19,52
15,Alim,McNeill,5,54,74,315,DL,72,33,46,37,50,6,23,19,77,80,21,80,83,65,23,79,92,1,0,0,0,23,84,209,75
16,Levi,Onwuzurike,5,91,75,293,DL,79,21,32,21,46,7,15,10,72,81,25,75,66,74,25,79,83,0,0,0,0,25,88,136,55
17,Aidan,Hutchinson,5,97,78,265,DL,81,33,59,60,48,9,14,12,78,85,24,87,91,81,48,85,91,1,0,1,1,23,73,26,54
18,Jalen,Reeves-Maybin,5,42,72,233,LB,82,17,54,47,43,8,20,11,63,74,13,87,75,75,66,83,90,0,1,0,0,28,85,260,76
19,Jack,Campbell,3,46,77,249,LB,84,52,58,66,47,8,16,18,76,85,25,88,74,88,61,84,92,1,0,1,1,23,88,60,96
20,Derrick,Barnes,5,55,73,245,LB,86,50,69,47,47,9,21,20,72,84,25,85,76,72,63,85,91,0,1,0,0,24,99,30,98
21,Alex,Anzalone,5,34,75,240,LB,85,12,47,43,47,8,28,18,72,81,25,93,83,83,69,83,84,1,0,0,1,28,74,84,67
22,Cameron,Sutton,5,1,71,188,DB,88,63,62,66,34,7,22,18,47,56,24,92,85,89,78,59,91,0,0,1,0,28,88,176,74
23,C.J.,Gardner-Johnson,5,2,71,208,DB,90,53,64,69,36,14,65,50,53,63,25,91,91,84,82,77,87,1,0,0,0,25,94,0,83
24,Brian,Branch,5,32,72,190,DB,88,65,64,66,35,18,18,17,59,80,27,91,76,85,76,86,92,1,0,0,0,21,76,132,100
25,Emmanuel,Moseley,5,4,71,184,DB,91,43,53,49,29,7,10,11,47,49,25,90,77,87,77,59,84,1,0,0,0,27,93,42,55
26,Jerry,Jacobs,5,23,71,198,DB,88,40,56,65,34,6,10,11,49,55,25,87,78,86,76,65,86,1,0,1,0,24,76,238,92
27,Will,Harris,5,25,73,207,DB,90,56,68,62,35,12,15,11,52,69,23,88,70,86,70,78,95,1,0,0,0,27,97,72,77
28,Riley,Patterson,1,36,72,190,K,77,16,41,21,14,22,92,84,14,32,31,83,59,63,15,22,91,0,0,0,0,23,74,27,75
29,Jack,Fox,1,3,74,224,P,81,5,39,17,16,25,93,74,29,29,53,83,61,65,15,12,90,0,0,1,1,27,89,294,86
30,Teddy,Bridgewater,5,10,74,215,QB,81,69,67,41,21,81,25,25,25,29,86,81,66,83,17,12,85,0,1,1,0,30,78,117,75
31,Hendon,Hooker,3,12,75,221,QB,86,76,53,26,18,78,18,14,21,21,89,82,48,86,11,19,81,1,1,1,0,25,87,22,79
32,Jahmyr,Gibbs,5,26,69,199,RB,94,82,89,66,30,16,14,10,30,30,26,84,77,92,13,28,88,1,0,0,0,21,83,290,57
33,Zonovan,Knight,5,28,70,209,RB,88,82,83,60,33,18,17,15,20,36,25,79,71,85,11,35,89,0,1,1,0,22,82,254,91
34,Antoine,Green,5,80,74,199,WR,90,75,73,81,30,13,20,14,24,29,24,84,53,84,14,13,85,0,1,1,0,23,91,231,79
35,Brock,Wright,1,89,76,255,TE,86,45,73,76,59,10,22,21,35,43,26,85,74,73,12,26,85,1,0,1,1,24,75,8,64
36,Shane,Zylstra,5,83,77,215,TE,82,72,76,79,43,6,24,21,31,34,25,82,65,79,15,35,88,1,0,0,0,26,90,0,53
37,Dan,Skipper,5,70,81,330,OL,57,14,24,26,67,7,19,19,35,36,22,81,69,54,13,31,89,1,1,1,0,28,90,204,58
38,Halapoulivaati,Vaitai,1,72,78,320,OL,62,8,21,19,74,7,18,13,40,37,26,86,80,61,11,65,84,1,0,0,0,30,88,188,94
39,Colby,Sorsdal,5,75,78,304,OL,67,5,41,21,69,6,11,11,25,31,10,83,71,59,11,35,91,0,0,1,0,23,85,184,55
40,John,Cominsky,5,79,77,285,DL,82,35,48,40,51,31,18,10,73,77,39,81,65,80,41,83,90,1,1,1,0,27,92,284,53
41,Josh,Paschal,5,93,75,278,DL,80,31,42,37,49,6,19,12,76,77,20,80,65,72,36,82,88,0,0,1,0,23,90,59,64
42,Isaiah,Buggs,5,96,75,295,DL,67,24,40,27,45,6,20,20,73,77,20,71,79,56,24,74,88,0,0,0,1,27,87,238,72
43,Benito,Jones,5,94,73,329,DL,64,17,25,30,48,6,20,20,68,79,23,77,70,52,24,78,85,1,0,0,0,25,88,208,100
44,Brodric,Martin,5,98,77,330,DL,61,35,51,47,50,8,13,12,71,81,16,67,62,48,18,83,91,0,1,1,0,24,96,7,61
45,Charles,Harris,1,53,75,250,DL,81,23,38,37,45,7,21,22,69,82,25,79,71,78,37,82,90,0,0,0,0,28,79,119,62
46,James,Houston IV,1,41,73,225,DL,84,29,35,30,45,16,17,15,66,77,21,76,72,70,30,84,91,0,1,1,1,24,81,328,52
