INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,C.J.,Stroud,1,7,75,218,QB,82,44,61,14,13,86,20,19,19,24,90,81,81,80,9,16,88,0,0,0,0,21,96,63,88
1,Dameon,Pierce,5,31,70,218,RB,89,91,89,57,40,14,16,12,39,41,26,89,77,82,14,40,96,0,1,0,0,23,97,291,50
2,Andrew,Beck,5,47,75,255,RB,88,64,67,68,62,11,22,15,47,47,30,80,65,79,34,36,84,0,0,0,0,27,86,151,87
3,Nico,Collins,5,12,76,215,WR,90,77,76,85,34,26,22,15,30,26,39,84,82,89,16,20,90,0,0,0,1,24,77,14,72
4,Tank,Dell,5,3,70,165,WR,91,69,70,81,26,14,19,13,18,21,27,93,79,90,10,13,84,1,0,1,1,23,96,212,52
5,Robert,Woods,5,2,72,195,WR,90,80,79,84,39,22,25,22,40,39,34,91,80,85,19,15,89,1,0,0,0,31,87,0,65
6,Noah,Brown,5,85,74,215,WR,88,71,72,86,42,23,22,20,45,45,33,81,82,83,20,44,86,0,1,0,0,27,76,42,91
7,John,Metchie III,5,8,71,187,WR,90,75,77,79,32,11,18,15,22,24,24,81,75,87,13,17,84,1,0,0,1,23,92,50,72
8,Dalton,Schultz,1,86,77,244,TE,81,63,72,85,62,10,16,14,31,29,24,93,88,80,13,27,93,0,0,0,0,27,85,264,87
9,Laremy,Tunsil,5,78,77,313,OL,64,12,31,22,89,7,20,17,27,35,22,87,94,68,12,26,89,1,0,1,0,29,64,103,58
10,Tytus,Howard,5,71,77,322,OL,71,37,24,19,76,35,20,16,24,23,53,87,82,61,13,28,86,0,0,0,1,27,95,299,86
