INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Carson,Wentz,1,2,77,237,QB,80,72,54,26,20,82,24,18,21,30,90,80,73,81,15,11,82,0,1,0,0,28,96,166,59
1,Jonathan,Taylor,5,28,70,226,RB,94,93,93,60,32,18,17,15,25,27,29,92,95,86,15,25,90,1,1,0,0,22,97,12,73
2,Marlon,Mack,5,25,72,210,RB,89,81,89,61,33,23,25,22,26,28,31,91,72,92,12,18,86,0,0,1,1,25,88,286,71
3,Michael,Pittman Jr,5,11,76,223,WR,88,77,76,91,40,33,22,15,41,55,48,85,85,85,17,42,86,1,0,0,0,23,74,185,80
4,T.Y.,Hilton,5,13,70,183,WR,91,80,70,85,29,12,15,14,35,20,22,86,84,94,17,15,89,1,0,0,1,31,89,314,59
5,Zach,Pascal,5,14,74,214,WR,87,73,75,83,37,24,23,18,28,31,46,85,84,85,18,28,86,0,0,1,0,26,81,9,95
6,Parris,Campbell,5,1,72,205,WR,94,72,73,80,36,11,14,12,41,38,26,82,72,91,20,23,79,1,1,0,0,24,88,93,99
7,Ashton,Dulin,1,16,73,215,WR,92,73,74,80,30,18,18,14,28,41,35,82,68,89,14,27,90,1,0,1,1,24,87,52,83
8,Jack,Doyle,5,84,78,262,TE,76,49,70,82,64,11,21,22,40,45,22,85,83,72,13,15,85,0,0,0,1,31,85,229,74
9,Eric,Fisher,1,79,79,315,OL,67,15,45,37,76,7,21,11,40,43,29,94,87,72,12,35,89,0,0,1,0,30,75,131,70
10,Quenton,Nelson,1,56,77,329,OL,65,11,35,13,92,7,21,15,27,34,27,91,99,70,9,28,97,0,1,1,1,25,81,267,61
11,Ryan,Kelly,1,78,76,309,OL,70,7,25,21,83,7,20,20,26,32,24,87,93,70,13,38,90,0,0,0,0,28,96,305,84
12,Mark,Glowinski,5,64,76,310,OL,66,5,40,15,78,6,18,16,15,35,12,85,88,65,14,20,92,0,0,1,1,29,80,204,95
13,Braden,Smith,1,72,78,315,OL,66,8,29,13,84,7,14,14,20,55,22,90,89,62,13,62,91,0,0,0,0,25,87,236,79
14,Tyquan,Lewis,5,94,75,277,DL,83,25,28,28,45,7,17,13,78,80,20,75,70,77,33,81,89,1,1,0,0,26,95,307,95
15,DeForest,Buckner,1,99,79,295,DL,72,13,44,26,49,8,20,19,88,89,22,85,94,84,37,87,91,1,1,1,1,27,76,199,50
16,Grover,Stewart,5,90,76,315,DL,67,12,26,23,49,6,15,15,81,88,19,73,84,60,28,75,93,0,1,0,0,27,77,288,62
17,Kwity,Paye,5,51,74,272,DL,85,38,57,31,47,6,20,18,76,83,25,76,67,88,30,82,87,0,0,0,1,22,91,210,66
18,Darius,Leonard,5,53,74,215,LB,86,36,58,59,47,7,21,15,80,93,19,91,93,83,61,84,93,1,1,0,1,26,92,94,86
19,Bobby,Okereke,5,58,73,239,LB,88,19,47,43,44,7,17,14,72,83,25,88,86,83,69,80,90,1,1,0,0,25,76,198,82
20,Matthew,Adams,5,49,72,229,LB,86,23,46,42,44,7,18,14,63,81,23,81,61,80,55,86,90,0,1,0,0,25,89,209,84
21,Zaire,Franklin,5,44,72,239,LB,85,21,52,50,45,7,20,20,66,77,22,81,58,82,55,77,91,1,1,0,0,25,84,283,97
22,Kenny,Moore II,5,23,69,190,DB,89,51,53,70,33,6,21,24,63,67,17,89,91,90,85,64,88,1,1,1,1,26,81,91,73
23,Rock,Ya-Sin,5,26,72,192,DB,90,55,59,63,34,6,20,18,50,68,27,88,78,86,77,55,90,0,0,0,1,25,91,115,59
24,Khari,Willis,5,37,71,213,DB,86,56,71,60,37,8,19,13,57,77,22,88,81,83,71,80,89,1,1,1,0,25,84,304,80
25,Julian,Blackmon,5,32,72,187,DB,90,51,52,63,31,8,22,15,52,69,21,87,82,89,75,73,82,0,0,1,0,23,80,87,88
26,Xavier,Rhodes,5,27,73,218,DB,89,55,65,69,36,7,19,22,60,56,35,92,85,86,83,77,88,1,0,0,0,31,79,209,98
27,T.J.,Carrie,5,38,72,204,DB,88,55,67,60,34,6,10,11,49,64,24,89,75,85,76,55,79,0,0,0,1,31,77,258,99
28,Rodrigo,Blankenship,1,3,73,184,K,74,13,31,16,12,24,91,81,19,31,30,86,65,67,12,14,84,0,1,0,0,24,82,225,63
29,Rigoberto,Sanchez,1,8,72,195,P,73,14,47,23,18,27,92,83,28,27,39,86,60,67,22,33,91,0,0,0,1,26,80,222,64
30,Sam,Ehlinger,5,4,73,230,QB,79,72,65,53,19,73,18,14,23,27,83,86,59,82,11,17,86,1,0,0,1,22,85,285,70
31,Nyheim,Hines,5,21,69,198,RB,93,74,85,69,28,15,19,13,20,27,25,86,75,90,14,15,88,0,0,0,0,24,79,45,54
32,Deon,Jackson,5,35,71,218,RB,91,77,75,61,35,34,17,13,27,25,43,83,54,79,16,31,92,1,0,1,0,22,81,297,54
33,Dezmon,Patmon,5,10,76,225,WR,89,70,75,80,29,12,17,15,37,43,25,82,65,79,25,34,89,1,0,0,0,23,79,0,92
34,Mike,Strachan,1,17,77,226,WR,88,70,74,79,28,14,14,17,32,28,25,81,60,85,14,22,90,1,0,0,0,24,88,9,70
35,Mo,Alie-Cox,5,81,77,267,TE,81,62,75,83,62,11,19,14,19,28,25,78,80,75,11,12,85,1,1,0,0,27,89,227,61
36,Kylen,Granson,1,83,74,235,TE,85,65,76,75,57,10,20,17,37,38,27,84,60,82,15,29,88,1,0,1,0,23,70,90,81
37,Julie'n,Davenport,5,73,79,315,OL,57,9,23,26,70,6,25,25,25,28,30,82,78,67,17,22,91,0,0,1,1,26,73,111,100
38,Chris,Reed,1,62,76,300,OL,69,25,32,29,71,6,27,15,32,35,31,82,81,53,11,40,84,1,0,0,1,29,84,31,100
39,Joey,Hunt,5,68,74,299,OL,62,8,31,18,67,7,20,20,26,33,24,84,72,66,13,37,88,1,1,0,0,27,78,25,70
40,Will,Fries,5,75,78,309,OL,60,5,29,15,65,5,21,22,29,38,25,85,67,60,11,41,93,0,0,1,0,23,82,24,91
41,Matt,Pryor,5,69,79,332,OL,52,18,21,17,71,7,17,13,22,27,19,78,76,59,11,30,83,1,0,1,0,26,91,323,70
42,Al-Quadin,Muhammad,5,97,76,250,DL,81,18,37,31,45,6,20,19,72,75,34,74,73,75,36,76,91,1,0,0,1,26,83,6,96
43,Ben,Banogu,5,52,75,250,DL,86,15,34,21,45,6,14,10,67,71,22,75,66,83,25,78,89,0,0,1,0,25,69,263,85
44,Antwaun,Woods,5,96,73,310,DL,73,10,31,36,46,6,25,25,72,80,19,75,69,65,33,80,86,0,1,0,1,28,96,317,92
45,Taylor,Stallworth,1,95,74,305,DL,63,10,40,17,47,8,17,13,71,79,29,75,74,62,17,74,87,0,0,1,0,26,83,154,51
46,Kemoko,Turay,5,57,77,248,DL,84,31,48,42,46,8,12,12,65,75,20,78,75,83,50,79,85,0,0,1,0,26,90,273,71
47,Isaac,Rochell,1,91,76,280,DL,75,18,28,23,46,11,22,21,71,81,24,78,62,69,28,82,94,0,1,1,0,26,91,78,94
48,Malik,Jefferson,5,43,74,241,LB,87,17,43,32,47,7,16,12,71,78,19,83,52,79,53,82,86,0,0,1,1,24,70,274,90
49,E.J.,Speed,3,45,76,224,LB,85,52,66,65,45,7,18,16,64,75,24,82,59,84,54,79,85,1,1,1,1,26,91,184,92
50,Jordan,Glasgow,5,59,72,226,LB,82,42,57,47,36,7,29,21,62,78,21,88,58,80,51,80,81,0,0,0,0,25,87,39,75
51,Isaiah,Rodgers,1,34,70,171,DB,94,49,56,63,31,13,44,34,55,57,26,90,72,90,71,54,86,1,1,1,0,23,89,83,57
52,Jahleel,Addae,5,41,70,195,DB,82,44,62,59,36,13,15,30,59,71,25,89,72,81,73,84,92,1,1,0,0,31,83,168,75
