INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Trevor,Lawrence,1,16,78,215,QB,84,74,66,34,18,84,27,23,24,27,92,88,81,86,15,19,92,0,1,1,1,22,85,282,99
1,Travis,Etienne Jr,5,1,70,215,RB,92,81,85,60,33,37,19,17,29,34,49,87,81,89,17,26,87,1,0,1,1,23,82,120,99
2,JaMycal,Hasty,5,22,68,205,RB,89,74,84,58,26,14,20,18,24,28,23,84,69,84,17,20,84,0,0,0,1,25,76,327,99
3,Calvin,Ridley,5,18,73,190,WR,93,73,75,84,31,23,19,16,24,29,32,84,78,94,21,20,86,1,1,1,0,27,85,171,54
4,Christian,Kirk,5,13,71,200,WR,91,72,72,87,33,32,18,14,23,30,47,88,89,89,17,24,89,0,0,1,0,25,86,185,97
5,Zay,Jones,5,7,74,200,WR,91,76,73,86,32,28,22,17,27,34,39,85,85,87,19,37,94,0,0,0,0,27,91,300,85
6,Marvin,Jones Jr,5,11,74,198,WR,88,80,81,86,37,19,25,24,35,32,35,91,82,87,17,12,90,1,0,0,1,32,80,67,87
7,Jamal,Agnew,5,39,70,190,WR,93,73,73,79,36,32,19,17,56,63,49,89,71,90,63,70,85,1,0,1,0,27,81,254,68
8,Evan,Engram,1,17,75,240,TE,88,76,78,84,59,18,22,16,32,42,28,90,81,87,27,28,87,1,0,1,1,27,81,136,85
9,Cam,Robinson,5,74,78,320,OL,66,8,27,26,78,7,19,28,38,29,15,88,88,59,14,42,89,0,0,0,0,26,80,298,73
10,Tyler,Shatley,1,69,75,310,OL,63,5,40,14,72,7,22,20,39,41,22,83,83,52,10,35,94,0,0,1,0,31,84,289,69
11,Luke,Fortner,1,79,76,300,OL,65,9,25,16,73,7,17,14,25,30,17,84,76,60,10,26,91,0,0,0,0,24,89,10,78
12,Brandon,Scherff,5,68,77,315,OL,71,9,40,21,87,7,25,25,26,32,30,88,89,71,12,25,84,0,1,1,0,30,78,70,55
13,Jawaan,Taylor,5,75,77,312,OL,65,6,30,19,76,6,22,20,36,38,19,90,83,64,12,43,94,0,1,0,0,24,80,244,70
14,Folorunso,Fatukasi,5,94,76,315,DL,62,10,26,17,48,6,10,15,75,79,20,78,86,69,23,81,88,1,0,0,1,27,75,8,71
15,DaVon,Hamilton,4,52,76,320,DL,68,14,36,21,48,7,18,19,80,82,22,76,80,66,19,79,90,0,0,0,0,25,74,14,62
16,Corey,Peters,5,98,75,335,DL,67,10,40,36,48,7,8,6,72,85,10,75,73,68,28,72,88,1,0,0,1,34,81,212,73
17,Roy,Robertson-Harris,5,95,77,298,DL,76,16,21,21,44,7,30,30,73,79,34,79,83,72,37,76,86,1,1,0,1,29,84,145,94
18,Josh,Allen,5,41,77,262,LB,86,37,67,65,45,6,15,17,78,86,24,85,84,83,56,82,92,0,0,0,1,25,97,300,84
19,Foyesade,Oluokun,1,23,74,229,LB,89,26,62,55,37,10,20,14,71,91,28,86,85,86,65,87,89,0,0,1,0,27,90,159,89
20,Devin,Lloyd,1,33,75,237,LB,84,49,65,66,46,12,41,38,73,78,28,82,76,79,62,81,92,0,0,1,0,23,91,0,90
21,Travon,Walker,5,44,77,272,LB,88,29,54,51,47,7,14,15,79,78,18,78,81,83,48,87,91,0,0,0,0,21,72,220,69
22,Shaquill,Griffin,1,26,72,198,DB,93,53,67,70,35,6,14,12,55,59,14,91,83,87,81,67,88,1,1,0,0,27,75,69,56
23,Andre,Cisco,5,5,73,209,DB,92,42,59,68,38,12,15,19,57,65,28,88,75,88,73,73,90,1,0,1,0,22,76,292,96
24,Rayshawn,Jenkins,5,2,73,220,DB,88,46,65,68,35,15,20,15,67,75,30,91,77,82,69,90,87,1,0,0,0,28,74,287,73
25,Tyson,Campbell,5,32,73,193,DB,92,29,44,56,28,10,20,17,46,66,31,91,79,86,81,55,90,0,0,1,1,22,77,62,76
26,Darious,Williams,5,31,69,184,DB,90,60,60,67,34,7,14,13,51,49,35,92,82,87,77,60,88,0,1,0,0,29,74,96,60
27,Tre,Herndon,5,37,71,185,DB,88,44,53,52,29,7,10,11,56,53,25,88,74,91,71,53,83,0,0,0,1,26,80,234,57
