INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Patrick,Mahomes,1,15,75,230,QB,81,76,63,33,15,95,20,10,24,26,97,96,97,88,18,18,95,0,0,0,1,25,97,331,82
1,Clyde,Edwards-Helaire,5,25,67,209,RB,86,83,94,60,30,28,21,17,24,26,37,88,83,89,13,23,89,1,0,1,0,22,96,234,99
2,Jerick,McKinnon,5,1,69,208,RB,90,77,83,59,45,41,28,22,35,32,54,86,71,94,47,12,85,0,0,0,1,29,87,240,99
3,Tyreek,Hill,1,10,69,185,WR,99,85,79,91,27,26,13,15,21,27,41,91,97,98,15,25,88,1,0,0,0,27,99,326,56
4,Mecole,Hardman,5,17,70,187,WR,97,75,72,80,21,39,44,32,41,45,58,85,80,92,43,31,85,1,1,1,1,23,80,140,58
5,Demarcus,Robinson,5,11,73,203,WR,89,73,75,82,32,18,23,22,22,23,24,85,80,91,20,15,89,1,1,0,0,26,82,214,68
6,Josh,Gordon,1,19,75,225,WR,90,81,76,85,34,12,32,31,42,44,49,83,65,88,19,15,85,0,0,0,1,30,76,324,94
7,Byron,Pringle,5,13,73,203,WR,91,76,71,79,31,12,21,16,24,41,35,79,73,87,17,35,85,1,0,1,0,27,95,41,86
8,Travis,Kelce,1,87,77,260,TE,86,77,72,94,66,48,35,32,40,45,64,97,98,86,13,15,89,0,0,1,0,31,95,85,89
9,Orlando,Brown,5,57,80,345,OL,50,14,28,15,82,7,19,13,32,33,25,94,81,60,13,36,93,0,0,0,0,25,92,3,51
10,Joe,Thuney,1,62,77,305,OL,73,8,33,18,83,8,11,11,33,29,25,84,91,70,12,48,92,0,0,1,0,28,81,81,77
11,Austin,Blythe,1,66,75,300,OL,60,7,24,18,79,7,20,20,26,32,24,93,78,69,13,28,93,0,1,0,1,29,94,295,58
12,Laurent,Duvernay-Tardif,1,76,77,321,OL,70,5,65,31,79,7,20,21,25,45,17,85,83,68,12,15,93,0,0,0,0,30,84,179,95
13,Lucas,Niang,3,67,78,315,OL,63,9,23,26,74,6,25,25,25,28,30,82,76,67,17,22,87,0,1,0,1,23,84,16,74
14,Frank,Clark,5,55,75,260,DL,82,16,56,31,47,8,22,19,67,75,27,80,86,79,40,82,86,1,0,0,0,28,87,112,65
15,Jarran,Reed,4,90,75,306,DL,64,10,33,20,48,7,17,17,75,89,23,74,86,68,22,78,91,0,0,1,0,27,95,233,87
16,Derrick,Nnadi,5,91,73,312,DL,63,16,27,18,48,8,17,12,81,78,24,81,81,60,23,79,89,0,1,0,1,25,92,186,92
17,Chris,Jones,5,95,78,300,DL,70,10,29,19,47,8,17,17,84,84,23,80,96,73,26,81,90,0,1,0,1,27,95,325,66
18,Dorian,O'Daniel,5,44,73,220,LB,85,35,61,54,46,6,18,12,60,81,23,80,69,91,64,85,88,1,0,0,0,26,87,176,71
19,Anthony,Hitchens,5,53,72,235,LB,80,15,65,51,46,6,20,20,76,85,25,88,80,79,55,87,94,1,1,0,0,29,83,255,59
20,Nick,Bolton,1,54,71,232,LB,84,21,54,41,45,8,20,11,65,85,13,85,70,71,60,87,92,1,0,1,1,21,84,102,53
21,Willie,Gay,5,50,73,243,LB,88,55,56,56,46,8,28,18,65,81,25,86,70,81,61,86,84,1,1,0,0,23,95,298,86
22,L'Jarius,Sneed,5,38,72,193,DB,94,60,68,67,32,7,22,24,60,64,27,89,80,87,77,75,89,0,1,0,1,24,86,115,91
23,Charvarius,Ward,5,35,73,196,DB,91,63,61,57,33,14,15,12,46,62,21,91,82,83,77,53,87,0,0,1,0,25,92,45,94
24,Tyrann,Mathieu,5,32,69,190,DB,90,77,68,73,35,23,25,22,59,76,35,92,99,92,91,85,84,1,0,0,0,29,77,127,70
25,Juan,Thornhill,5,22,72,205,DB,90,58,65,66,36,35,20,17,55,69,52,89,83,85,73,76,88,1,1,1,0,25,77,190,76
26,Mike,Hughes,5,21,70,189,DB,89,63,72,73,35,8,22,24,48,54,23,94,74,94,76,66,84,0,0,0,0,24,93,85,89
27,Rashad,Fenton,5,27,71,188,DB,88,54,52,58,28,7,18,17,54,61,22,91,77,84,78,57,88,1,0,0,1,24,82,198,67
28,Harrison,Butker,1,7,76,205,K,74,14,26,17,16,25,97,90,12,15,27,82,74,57,15,12,87,0,0,1,1,26,84,175,66
29,Tommy,Townsend,1,8,73,191,P,81,12,40,16,12,31,92,76,32,35,57,87,57,67,20,12,81,0,1,0,0,24,84,187,94
30,Chad,Henne,1,4,75,222,QB,68,24,69,17,21,73,25,24,25,29,81,77,73,61,17,12,88,0,1,0,0,36,93,55,86
31,Darrel,Williams,1,31,72,224,RB,87,77,92,59,44,17,17,12,34,36,25,85,82,78,15,38,88,0,1,0,0,26,87,218,81
32,Daurice,Fountain,1,82,74,210,WR,89,70,75,80,32,14,18,13,26,30,28,81,61,84,17,18,87,1,1,0,1,25,84,81,87
33,Marcus,Kemp,5,85,76,210,WR,87,71,67,77,36,12,15,19,39,42,23,80,65,84,17,41,83,1,0,0,0,26,92,4,50
34,Blake,Bell,1,81,78,252,TE,77,56,79,74,58,55,17,18,41,35,66,78,73,80,20,12,84,0,0,1,0,30,93,41,68
35,Mike,Remmers,5,75,77,310,OL,64,6,45,26,73,7,25,25,20,35,30,84,85,63,13,20,89,1,0,0,0,32,86,97,82
36,Nick,Allegretti,1,73,76,320,OL,62,6,40,19,69,7,22,17,31,41,23,81,75,66,12,35,88,0,1,1,1,25,95,44,94
37,Creed,Humphrey,1,52,77,312,OL,69,8,34,20,75,7,14,11,26,39,24,85,81,67,9,25,92,0,0,0,0,23,64,117,87
38,Kyle,Long,5,69,78,313,OL,72,5,45,20,78,7,14,14,47,52,38,90,82,65,17,62,84,0,1,0,1,32,81,43,84
39,Alex,Okafor,3,97,76,261,DL,72,20,54,33,44,8,16,11,74,82,14,80,80,72,44,83,87,1,1,1,0,30,76,289,55
40,Tershawn,Wharton,5,98,73,270,DL,80,17,27,18,46,6,20,20,73,80,25,81,69,73,24,80,86,0,0,1,1,23,75,44,77
41,Mike,Danna,3,51,74,261,DL,80,27,31,21,46,6,17,13,70,76,26,82,63,75,20,77,90,1,0,0,0,23,85,53,94
42,Darius,Harris,5,47,74,238,LB,82,16,45,37,46,6,12,10,66,78,14,88,61,78,55,79,82,1,0,0,1,25,91,77,96
43,Ben,Niemann,5,56,74,235,LB,82,22,42,31,44,6,16,12,67,82,26,84,73,82,57,79,88,0,1,1,0,26,77,7,50
44,DeAndre,Baker,1,30,71,180,DB,89,52,58,56,33,7,18,17,52,63,22,89,69,85,71,52,87,1,1,0,0,24,78,122,76
45,Armani,Watts,5,23,71,205,DB,85,46,64,60,36,7,19,14,49,69,25,88,57,81,72,68,81,0,1,1,0,25,99,64,65
46,Daniel,Sorensen,3,49,74,208,DB,82,29,60,60,36,11,25,25,45,65,30,88,79,92,69,78,88,1,0,0,0,31,94,285,88
47,Trey,Smith,5,65,78,331,OL,67,5,32,15,77,7,24,22,25,32,25,75,68,64,10,31,76,1,0,1,1,22,77,190,55
48,Khalen,Saunders,3,99,72,324,DL,73,21,49,41,49,7,18,12,75,77,25,69,73,71,22,77,90,0,0,1,0,25,87,11,81
49,Andrew,Wylie,1,77,78,309,OL,67,20,27,31,74,6,19,15,32,35,25,79,80,68,11,40,84,0,0,0,1,27,89,167,82
50,Michael,Burton,5,45,72,240,FB,80,29,74,53,60,10,14,14,28,45,30,77,80,77,12,67,91,1,0,1,1,29,95,95,56
51,Noah,Gray,5,83,76,240,TE,84,59,77,78,53,35,23,18,36,35,51,84,61,86,16,30,91,0,0,1,1,22,98,257,89
52,Jody,Fortson,1,88,78,230,TE,83,62,72,76,47,17,22,21,22,33,24,79,56,75,21,34,88,0,0,1,1,25,67,108,67
