,INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,0,Derek,Carr,1,4,75,210,QB,80,63,58,21,12,87,22,21,18,18,91,85,81,80,13,12,92,0,1,0,0,30,94,185,52
1,1,Josh,Jacobs,5,28,70,220,RB,87,93,94,58,40,27,15,10,28,34,36,96,83,87,26,25,89,0,1,0,0,23,97,325,92
2,2,Alec,Ingold,5,45,73,240,RB,77,49,80,62,60,46,56,37,35,50,60,86,84,72,17,41,88,1,0,1,0,25,90,76,99
3,3,Hunter,Renfrow,5,13,70,185,WR,86,73,76,86,28,33,42,34,46,48,44,89,87,87,36,49,86,1,0,0,0,25,94,22,51
4,4,Bryan,Edwards,5,89,75,212,WR,89,79,75,86,37,17,19,13,41,41,32,87,81,86,48,32,88,1,0,0,0,22,84,315,95
5,5,DeSean,Jackson,5,1,70,175,WR,95,76,70,81,28,28,30,30,35,22,38,84,69,92,25,12,75,1,1,0,1,34,79,189,75
6,6,Zay,Jones,5,7,74,200,WR,90,76,75,82,32,28,22,17,27,34,39,83,73,88,19,37,94,1,0,0,0,26,72,101,81
7,7,Dillon,Stoner,5,17,72,194,WR,87,67,69,77,28,12,51,46,23,33,32,86,51,85,28,34,90,0,0,0,0,23,80,292,66
8,8,Darren,Waller,5,83,78,255,TE,90,73,74,88,56,10,22,14,35,32,35,91,95,84,15,15,91,0,0,0,0,28,78,302,94
9,9,Kolton,Miller,5,74,80,325,OL,75,13,30,17,82,7,10,12,31,31,12,84,88,72,14,30,87,1,0,0,1,25,80,269,85
10,10,Richie,Incognito,5,64,75,325,OL,69,9,40,20,87,7,8,9,25,25,14,87,92,59,14,25,85,0,1,1,1,38,81,242,80
11,11,Nick,Martin,5,66,76,295,OL,64,8,36,18,75,6,25,25,20,33,27,89,80,64,13,47,85,0,1,1,0,28,94,70,92
12,12,Denzelle,Good,5,71,77,340,OL,59,5,40,20,74,8,28,15,25,40,25,72,88,50,12,25,82,0,0,1,0,30,90,232,51
