INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Zachary,Hinski,1,15,76,205,QB,90,60,74,25,21,92,26,15,85,23,94,88,88,90,13,15,87,0,0,0,0,22,94,200,59
1,David,Brown,5,20,67,224,RB,92,94,88,76,53,33,19,15,35,40,35,87,84,84,20,20,82,0,1,0,0,27,79,291,60
2,Joshua,Moore,5,44,74,222,RB,86,79,87,74,45,30,25,25,11,29,30,79,77,79,18,20,84,0,0,0,0,25,83,151,94
3,James,White,5,85,70,207,WR,91,76,79,93,42,30,20,20,45,42,35,94,90,91,34,35,93,0,0,0,1,35,77,14,93
4,Matthew,Martinez,5,81,70,202,WR,86,66,68,88,39,36,30,30,35,35,42,87,87,91,19,12,92,1,0,1,1,27,96,212,93
5,Andrew,Adams,5,84,74,211,WR,84,79,68,86,53,28,22,20,35,32,35,87,56,89,20,15,88,1,0,0,0,27,87,0,91
6,Daniel,Phillips,5,87,72,215,WR,88,74,72,77,45,35,30,30,44,52,35,92,59,83,26,45,87,0,1,0,0,26,76,42,83
7,Michael,Roberts,5,80,72,186,WR,96,58,65,79,17,28,29,11,40,38,18,76,58,95,16,16,95,1,0,0,1,26,92,50,94
8,Chris,Hill,1,89,77,265,TE,81,62,75,70,81,30,20,20,54,33,35,96,59,73,20,12,90,0,0,0,0,30,85,264,55
9,Jose,Lopez,1,78,76,303,OL,65,31,35,66,84,26,25,25,30,50,26,93,91,65,18,30,89,1,0,1,0,30,64,103,77
10,Nick,Perez,5,73,78,313,OL,70,12,40,27,80,6,15,12,25,32,11,85,86,68,13,20,74,0,0,0,1,25,95,299,51
11,Jonathan,Edwards,1,74,76,306,OL,65,12,40,45,84,30,25,25,15,33,30,85,68,66,12,12,79,0,0,0,0,30,78,151,53
12,Robert,Collins,1,66,77,305,OL,58,12,35,25,80,14,17,18,23,33,23,88,81,55,21,12,72,1,1,1,1,38,69,262,81
13,Dean,Steinkuhler,1,70,76,299,OL,65,35,12,32,87,27,23,18,29,23,28,88,60,56,12,26,57,1,0,0,1,28,75,328,66
14,Ray,Childress,5,79,74,325,DL,88,21,54,60,45,44,11,10,91,94,56,89,94,60,26,68,74,0,0,1,0,29,78,71,50
15,Sean,Jones,5,96,77,289,DL,88,44,67,34,45,19,10,10,84,85,20,88,88,70,40,82,80,0,1,0,0,29,83,179,87
16,William,Fuller,5,95,75,310,DL,92,13,40,30,45,25,25,21,79,79,20,80,82,63,23,82,69,1,0,1,1,29,94,12,85
17,Doug,Smith,5,99,77,305,DL,96,15,40,26,45,14,8,12,82,80,21,84,64,68,20,65,67,0,0,0,0,31,91,110,82
18,Al,Smith,5,54,75,249,LB,80,59,60,67,45,40,25,25,77,81,28,94,86,86,69,89,96,0,1,1,1,27,82,132,67
19,Scott,Kozak,1,56,73,239,LB,85,31,54,54,45,25,20,20,78,87,25,86,85,73,70,79,92,1,0,1,0,24,96,138,78
20,Eugene,Seale,5,53,76,246,LB,84,34,54,49,45,25,20,20,81,89,25,94,73,80,69,88,84,1,0,0,0,26,94,206,96
21,Johnny,Meads,5,91,76,258,LB,81,37,49,39,45,30,25,15,90,87,20,95,84,74,64,85,78,1,1,1,1,30,80,149,52
22,John,Sanchez,5,28,71,188,DB,89,50,60,62,45,40,10,11,42,88,27,86,93,90,94,85,96,0,1,0,1,26,76,264,67
23,Ryan,Myers,3,26,71,208,DB,88,57,70,60,45,25,25,25,43,88,25,90,99,83,78,70,91,0,0,0,0,25,91,105,60
24,Brandon,Jenkins,5,25,70,188,DB,92,58,65,70,45,30,18,19,38,70,30,94,95,86,82,45,89,1,1,0,1,25,76,70,66
25,Mike,Dumas,5,38,73,210,DB,81,50,65,55,45,18,17,12,67,88,30,83,85,83,76,71,92,0,0,0,0,37,75,125,61
26,Richard,Johnson,5,23,70,188,DB,89,48,50,63,41,35,5,6,47,88,22,90,84,82,77,70,85,0,0,1,0,28,81,16,81
