INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Justin,Herbert,1,10,78,236,QB,84,59,68,23,17,88,20,16,26,36,96,87,82,80,14,33,88,0,1,0,0,23,95,185,52
1,Austin,Ekeler,5,30,70,200,RB,92,85,88,70,37,19,22,15,11,32,28,89,85,92,17,20,88,0,1,0,0,26,99,325,92
2,Gabe,Nabers,5,40,75,235,RB,75,50,69,54,55,10,21,19,38,42,30,83,68,74,21,39,89,1,0,1,0,23,91,76,99
3,Keenan,Allen,5,13,74,211,WR,88,85,80,94,41,27,22,20,35,34,42,95,98,92,20,15,83,1,0,0,0,29,94,22,51
4,Mike,Williams,5,81,76,220,WR,89,83,77,92,40,12,24,26,38,37,26,89,88,84,16,26,84,1,0,0,0,26,84,315,95
5,Jalen,Guyton,5,15,73,212,WR,93,69,73,81,31,17,20,20,29,28,28,80,75,87,20,22,88,1,1,0,1,24,79,189,75
6,Joshua,Palmer,5,5,73,210,WR,88,73,75,82,28,14,18,13,26,26,28,85,72,84,17,18,92,1,0,0,0,21,72,101,81
7,Andre,Roberts,5,7,71,195,WR,87,79,64,79,26,12,22,15,39,29,38,80,78,89,16,15,88,1,0,0,0,33,97,291,87
8,Jared,Cook,5,87,77,254,TE,84,74,72,85,56,11,15,19,43,44,25,93,90,80,17,12,84,0,0,0,0,34,78,302,94
9,Rashawn,Slater,5,70,76,304,OL,75,12,24,18,82,7,11,15,25,35,10,88,85,68,10,21,94,1,0,0,1,22,80,269,85
10,Matt,Feiler,5,71,78,330,OL,58,14,49,46,79,6,24,18,52,57,27,83,85,50,11,61,85,0,1,1,1,29,81,242,80
11,Corey,Linsley,5,63,75,301,OL,69,6,39,19,86,8,22,22,10,29,26,82,97,65,12,12,87,0,1,1,0,30,94,70,92
12,Oday,Aboushi,5,76,77,315,OL,54,6,45,18,72,6,15,28,25,35,17,85,78,51,10,25,94,0,0,1,0,30,90,232,51
13,Bryan,Bulaga,5,75,77,314,OL,60,20,39,15,83,7,11,11,25,25,10,90,92,67,11,33,81,0,0,1,0,32,82,93,74
14,Justin,Jones,5,93,75,309,DL,69,18,27,21,47,8,17,12,78,78,23,71,81,62,24,78,89,0,1,0,0,25,79,269,84
15,Linval,Joseph,5,98,76,329,DL,74,10,40,18,50,7,15,16,81,87,20,82,85,62,23,68,87,1,0,1,0,32,76,207,97
16,Christian,Covington,5,95,74,305,DL,74,10,39,21,46,7,15,14,74,83,10,74,75,68,20,72,81,0,1,0,1,27,83,145,63
17,Jerry,Tillery,5,99,78,295,DL,75,19,35,23,54,6,27,24,71,76,19,76,73,75,25,83,85,1,1,1,0,24,89,262,65
18,Joey,Bosa,5,97,77,280,LB,81,22,43,34,47,7,26,19,84,86,28,90,98,87,31,82,89,1,0,0,1,26,75,18,67
