INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Matthew,Stafford,1,9,75,220,QB,75,52,62,18,21,84,28,25,26,28,93,93,73,72,16,12,89,0,0,0,1,34,95,331,82
1,Cam,Akers,5,3,70,217,RB,90,80,87,58,39,45,20,20,26,28,56,90,68,93,14,27,86,1,0,1,0,23,99,234,99
2,Darrell,Henderson Jr,5,27,68,208,RB,89,76,93,57,36,23,16,13,25,36,55,88,76,88,13,19,87,0,0,0,1,25,79,240,99
3,Cooper,Kupp,1,10,74,208,WR,91,86,76,92,41,35,22,20,28,31,59,99,99,95,20,26,91,1,0,0,0,29,74,326,56
4,Allen,Robinson II,5,1,74,220,WR,89,78,82,89,36,12,25,30,40,42,30,90,83,87,21,15,90,1,1,1,1,29,80,140,58
5,Van,Jefferson,5,12,74,200,WR,90,68,77,82,30,26,18,14,34,34,36,86,78,85,19,23,89,1,1,0,0,26,82,214,68
6,Ben,Skowronek,1,18,75,224,WR,86,73,73,82,36,14,15,19,41,45,30,82,74,80,26,51,86,0,0,0,1,25,76,324,94
7,Brandon,Powell,5,19,68,181,WR,86,68,71,79,28,12,17,12,39,31,35,80,68,86,20,15,87,1,0,1,0,26,95,41,86
8,Tyler,Higbee,1,89,78,257,TE,79,66,78,85,58,18,21,19,32,34,26,92,88,83,17,27,91,0,0,1,0,29,95,85,89
9,Joseph,Noteboom,5,70,77,322,OL,73,11,25,16,75,7,15,12,30,31,17,84,79,62,12,33,86,0,0,0,0,27,92,3,51
10,David,Edwards,1,73,78,308,OL,63,36,45,36,76,31,21,11,37,39,40,90,87,63,12,35,92,0,0,1,0,25,81,81,77
11,Brian,Allen,1,55,74,303,OL,61,27,27,20,76,8,11,15,19,31,12,87,83,56,13,20,87,0,0,0,0,26,84,179,95
12,Oday,Aboushi,1,63,77,315,OL,53,6,45,18,72,6,15,28,25,35,17,85,79,57,10,25,84,0,1,0,1,31,94,295,58
13,Rob,Havenstein,1,79,80,330,OL,55,5,40,19,85,7,15,12,25,35,11,87,96,55,12,20,90,0,1,1,1,30,95,44,94
14,A'Shawn,Robinson,5,94,76,330,DL,64,13,39,37,49,8,17,17,81,84,23,79,84,59,22,82,91,1,0,0,0,27,87,112,65
15,Greg,Gaines,5,91,73,312,DL,71,20,45,37,49,6,19,12,80,78,31,83,81,61,20,83,91,0,0,1,0,26,95,233,87
16,Bobby,Brown III,5,95,76,325,DL,72,14,25,17,47,7,18,19,75,78,22,70,64,64,19,77,89,0,1,0,1,22,92,186,92
17,Aaron,Donald,5,99,73,280,DL,82,17,48,37,48,7,25,21,97,93,20,88,99,86,27,89,98,0,1,0,1,31,95,325,66
18,Leonard,Floyd,5,54,77,240,LB,85,21,41,36,44,7,21,19,75,79,22,85,83,84,54,77,94,1,0,0,0,29,87,176,71
19,Bobby,Wagner,5,45,72,242,LB,83,23,61,45,48,6,20,20,86,96,25,97,87,82,67,93,98,1,1,0,0,32,83,255,59
20,Ernest,Jones,1,53,74,230,LB,82,35,62,54,50,7,16,13,70,86,22,86,74,72,60,84,89,1,0,1,1,22,84,102,53
21,Justin,Hollins,5,58,77,248,LB,86,34,58,50,44,6,15,17,68,79,24,74,72,81,57,79,85,1,1,0,0,26,95,298,86
22,Jalen,Ramsey,5,5,73,208,DB,92,68,71,68,34,24,18,17,50,75,27,94,96,91,96,82,88,0,1,0,1,27,86,115,91
23,Nick,Scott,5,33,71,200,DB,90,60,69,60,36,8,18,14,54,68,28,89,73,83,70,87,91,0,0,1,0,27,92,45,94
24,Jordan,Fuller,5,4,74,203,DB,87,49,57,60,35,18,18,17,59,72,32,92,79,80,75,74,86,1,0,0,0,24,77,127,70
25,Troy,Hill,5,2,71,180,DB,87,49,67,62,25,6,15,11,50,51,25,91,85,90,77,45,88,1,1,1,0,31,77,190,76
