INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Bernie,Kosar,3,19,77,222,QB,86,65,65,67,41,97,19,22,17,35,88,85,97,70,29,22,94,1,0,0,0,23,95,332,59
1,Ernest,Byner,5,44,69,210,RB,90,80,82,82,55,35,22,25,35,36,40,86,88,88,13,20,86,0,0,1,0,24,92,189,99
2,Kevin,Mack,5,34,73,231,RB,83,93,74,79,59,22,25,24,45,48,25,91,82,78,14,45,84,0,1,1,1,24,79,266,61
3,Webster,Slaughter,3,84,71,180,WR,90,73,66,83,33,35,28,24,35,24,40,88,79,98,21,15,85,1,1,1,1,22,74,229,76
4,Reggie,Langhorne,5,88,74,167,WR,92,67,59,78,47,34,22,24,35,25,35,87,76,94,21,15,88,1,0,0,0,23,80,193,61
5,Brian,Brennan,1,86,71,194,WR,96,65,67,94,24,10,21,31,40,37,18,85,56,92,16,16,78,1,1,0,1,25,79,246,57
6,Clarence,Weathers,5,85,76,233,WR,89,80,72,72,32,68,35,32,35,42,91,90,53,90,20,54,93,0,0,0,0,25,77,248,76
7,Gerald,McNeil,5,89,67,215,WR,95,42,65,70,33,16,35,24,40,27,14,83,53,90,16,16,82,1,0,0,0,24,86,219,95
8,Ozzie,Newsome,5,82,74,250,TE,81,55,66,95,56,30,30,30,40,45,30,85,90,78,14,20,90,1,0,1,0,30,73,35,99
9,Mike,Baab,3,61,77,313,OL,67,16,45,45,90,30,25,25,50,56,30,93,85,72,14,44,85,1,0,0,0,27,85,316,68
10,Larry,Williams,5,70,76,305,OL,73,14,40,28,89,12,24,21,10,21,16,88,81,74,16,25,88,1,0,1,0,23,74,166,61
11,Cody,Risen,1,63,75,320,OL,73,15,45,35,84,33,16,16,27,39,35,92,89,67,12,20,78,0,0,0,0,29,91,164,82
12,Paul,Farren,1,74,78,312,OL,70,13,50,40,85,25,21,23,40,45,16,88,80,74,12,35,90,0,0,0,1,26,94,243,66
13,Dan,Fike,1,69,76,318,OL,62,15,45,45,89,30,25,25,20,30,30,94,81,60,14,20,78,0,0,1,1,25,97,236,61
14,Carl,Hairston,5,78,78,310,DL,71,11,35,36,45,19,27,24,79,85,19,85,81,63,33,83,77,1,0,0,1,34,91,47,64
15,Reggie,Camp,5,96,74,320,DL,60,19,40,25,45,25,20,20,81,86,25,91,74,64,23,66,75,0,0,1,0,25,90,130,84
16,Bob,Golic,1,79,74,339,DL,51,24,40,25,51,16,35,25,85,87,27,90,72,55,18,80,74,0,0,1,1,29,76,214,73
17,Dave,Puzzuoli,1,72,75,295,DL,65,18,40,35,44,19,17,16,78,67,28,91,69,74,34,74,87,1,0,1,0,22,86,218,74
18,Mike,Johnson,5,59,74,239,LB,87,32,62,56,45,25,26,20,68,86,25,91,79,85,67,87,85,1,0,0,0,24,81,184,93
19,Eddie,Johnson,5,51,74,235,LB,86,35,57,70,45,30,20,20,67,84,30,92,78,86,78,69,88,0,0,0,1,27,93,76,66
20,Chip,Banks,5,56,76,240,LB,85,55,55,53,45,22,19,14,77,82,25,90,71,84,65,82,95,1,0,1,0,27,80,241,88
21,Clay,Matthews,1,57,76,270,LB,74,57,45,64,45,20,24,15,76,85,32,94,90,74,63,85,87,1,0,0,0,30,90,216,50
22,Hanford,Dixon,5,29,71,195,DB,88,65,60,74,45,32,10,11,49,60,35,95,82,97,86,72,98,0,0,0,0,28,84,169,55
23,Frank,Minnifield,5,31,72,192,DB,85,59,75,72,45,25,20,20,46,47,25,93,87,90,80,44,96,0,0,1,0,26,76,204,76
24,Al,Gross,5,27,69,183,DB,87,56,60,65,45,36,26,26,37,57,36,91,77,92,80,35,92,0,0,1,0,25,95,105,88
25,Ray,Ellis,5,27,73,195,DB,84,57,67,75,45,26,14,15,44,68,24,95,72,89,74,81,90,0,1,1,1,27,78,165,100
26,Mark,Harper,5,23,72,202,DB,93,63,65,75,45,24,21,17,42,53,26,95,65,91,80,45,94,1,0,0,0,23,74,175,83
27,Chris,Rockins,5,37,71,205,DB,91,54,60,56,45,14,25,15,62,68,20,91,61,90,72,85,88,1,1,0,0,24,93,216,99
28,Matt,Bahr,1,9,73,194,K,73,26,40,34,20,22,87,86,15,33,29,95,78,64,12,12,88,0,1,0,0,30,80,182,58
29,Jeff,Gossett,1,7,73,185,P,64,12,40,17,12,45,94,88,35,35,44,85,82,50,20,12,71,0,0,0,0,29,85,57,71
30,Brad,Van Pelt,1,50,74,235,LB,84,30,55,67,45,19,14,17,64,83,20,84,66,80,61,77,95,1,0,1,0,34,69,61,99
31,Scott,Nicholas,1,58,73,244,LB,81,37,32,58,23,34,15,6,73,80,20,84,50,78,58,79,97,0,1,0,0,27,89,332,54
32,Anthony,Griggs,5,53,76,265,LB,76,34,45,45,45,19,16,23,78,76,23,95,66,80,50,87,75,0,0,1,0,23,95,74,80
33,Curtis,Weathers,5,55,76,255,LB,79,33,63,65,45,32,25,24,77,65,36,92,72,75,48,74,89,0,0,0,0,27,74,215,93
34,Herman,Fontenot,5,28,71,225,RB,86,79,78,87,44,25,20,22,42,40,32,93,74,92,14,12,85,1,1,0,0,24,91,144,61
35,Mike,Pagel,1,10,76,218,QB,77,46,50,60,14,82,19,25,20,20,83,75,81,72,21,12,90,0,0,0,1,26,82,315,66
36,Gary,Danielson,1,18,73,224,QB,73,43,72,23,12,87,12,17,23,25,83,70,58,81,13,13,76,0,0,0,0,32,92,178,70
37,D.D.,Hoggard,5,48,70,200,DB,91,59,55,55,45,30,22,25,34,61,35,85,68,89,70,74,95,0,0,0,0,28,89,213,90
38,Sam,Clancy,5,91,79,277,DL,78,18,29,26,20,34,34,29,78,67,22,79,56,75,30,75,92,0,0,1,0,27,88,40,75
39,Ralph,Malone,5,90,76,273,DL,78,34,14,25,29,22,17,12,78,70,30,87,55,77,29,74,86,0,1,0,1,25,91,225,100
40,Curtis,Dickey,5,33,71,190,RB,93,73,73,74,45,30,25,25,11,35,30,87,56,87,18,20,89,0,1,0,0,30,74,116,61
41,Felix,Wright,3,22,72,191,DB,86,46,65,72,45,30,25,25,47,52,30,92,63,85,77,50,93,0,1,0,1,34,78,170,74
42,Major,Everett,5,39,71,208,DB,88,56,55,52,45,25,26,19,70,75,24,82,55,87,69,79,87,0,1,0,0,28,74,27,98
43,Danny,Taylor,5,32,70,207,DB,84,23,47,54,18,37,23,21,59,77,15,78,54,85,69,73,92,1,0,0,1,24,96,12,99
44,Ricky,Bolden,5,77,77,307,OL,57,18,28,27,86,23,12,13,28,12,22,78,55,62,13,25,78,0,0,0,0,33,70,168,89
45,Bill,Contz,1,75,79,308,OL,55,10,44,35,75,25,20,20,15,39,25,95,76,55,14,35,76,1,0,0,0,34,68,77,52
46,Terry,Greer,5,80,74,215,WR,88,42,65,75,33,16,35,24,40,27,14,83,53,82,16,16,89,1,0,0,0,25,86,10,66
47,Johnny,Davis,5,30,74,220,RB,81,76,82,69,50,30,25,25,11,29,30,85,40,84,18,20,82,0,0,0,0,28,68,284,80
48,Tony,Baker,5,43,74,220,RB,81,76,82,69,50,30,25,25,11,29,30,85,40,84,18,20,82,0,0,0,0,37,68,317,52
49,George,Lilja,1,62,73,310,OL,58,11,40,33,75,30,25,25,15,42,30,81,66,59,18,33,84,1,0,0,0,28,83,49,76
50,Jeff,Wiska,1,60,76,248,OL,71,31,65,57,66,49,13,13,45,54,44,90,65,77,25,58,74,0,0,0,1,23,85,111,61
51,Harry,Holt,5,88,74,258,TE,76,65,66,81,57,30,25,15,40,44,35,79,42,83,22,15,83,0,0,0,1,38,77,332,51
52,Travis,Tucker,5,87,76,250,TE,78,67,67,66,66,32,18,16,45,40,33,75,41,81,14,25,83,0,1,0,1,26,83,171,82
