INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Tua,Tagovailoa,1,1,72,217,QB,82,71,69,23,18,82,21,14,23,28,88,82,76,79,14,25,84,0,1,0,0,23,92,185,52
1,Myles,Gaskin,5,37,70,194,RB,88,80,90,58,32,14,17,12,26,30,24,83,78,82,21,26,90,0,1,0,0,24,95,325,92
2,Malcolm,Brown,5,34,71,222,RB,88,80,91,53,45,18,19,15,27,39,25,77,75,84,12,17,87,1,0,1,0,28,90,76,99
3,Will,Fuller V,5,3,72,184,WR,95,77,78,85,32,12,23,22,21,28,35,82,89,87,20,15,82,1,0,0,0,27,94,22,51
4,DeVante,Parker,5,11,75,211,WR,89,78,75,90,32,24,19,12,35,36,28,87,88,87,15,12,83,1,0,0,0,28,84,315,95
5,Jaylen,Waddle,5,17,70,180,WR,97,75,75,81,29,25,19,16,27,29,34,83,68,97,16,19,88,1,1,0,1,22,79,189,75
6,Albert,Wilson,5,2,69,195,WR,90,79,78,82,26,26,21,18,35,25,43,82,76,88,14,15,91,1,0,0,0,29,72,101,81
7,Jakeem,Grant Sr,5,19,67,171,WR,94,79,74,77,27,23,23,22,19,20,35,79,77,90,20,15,83,1,0,0,0,28,97,291,87
8,Mike,Gesicki,5,88,78,250,TE,83,70,78,88,58,11,18,14,32,30,23,85,88,88,12,38,88,0,0,0,0,25,78,302,94
9,Jesse,Davis,5,77,78,310,OL,61,6,32,22,71,7,20,17,27,31,22,84,79,67,12,42,88,1,0,0,1,29,80,269,85
10,Solomon,Kindley,5,66,75,339,OL,56,12,22,21,72,6,25,25,37,37,24,80,84,49,12,40,85,0,1,1,1,24,81,242,80
11,Matt,Skura,5,62,75,313,OL,61,9,28,17,76,7,20,20,36,33,21,85,83,64,13,42,89,0,1,1,0,28,94,70,92
12,Robert,Hunt,5,68,77,323,OL,62,9,22,16,75,7,20,20,30,39,25,87,85,61,13,39,86,0,0,1,0,25,90,232,51
13,D.J.,Fluker,5,76,77,342,OL,60,7,25,15,78,7,25,25,25,39,30,85,72,58,17,12,92,0,0,1,0,30,82,93,74
14,Emmanuel,Ogbah,5,91,76,275,DL,82,16,33,24,45,7,20,19,75,83,22,74,87,78,45,83,90,0,1,0,0,27,79,269,84
15,Adam,Butler,5,70,77,300,DL,64,10,31,32,48,6,15,16,71,83,20,76,84,66,27,80,89,1,0,1,0,27,76,207,97
16,Raekwon,Davis,5,98,78,330,DL,68,13,47,35,54,8,16,19,78,81,29,71,76,61,20,78,89,0,1,0,1,24,83,145,63
17,Christian,Wilkins,5,94,76,315,DL,72,26,43,41,48,6,15,11,79,88,24,75,80,76,28,79,94,1,1,1,0,25,89,262,65
18,Jaelan,Phillips,5,15,77,260,LB,86,16,39,27,45,7,19,14,72,76,18,72,69,85,44,76,80,1,0,0,1,22,75,18,67
19,Benardrick,McKinney,5,50,76,257,LB,82,10,54,37,47,6,20,20,84,86,25,86,83,79,58,89,93,1,1,1,1,28,92,304,99
