INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Mac,Jones,1,10,75,214,QB,83,36,68,19,21,83,41,29,20,18,85,86,73,81,12,13,90,0,0,0,0,24,75,306,64
1,Rhamondre,Stevenson,1,38,72,230,RB,89,86,91,57,46,18,20,18,33,41,32,85,80,83,13,32,89,0,0,1,0,25,98,306,64
2,Ezekiel,Elliott,5,15,72,220,RB,88,81,92,64,47,24,21,20,32,59,35,95,79,88,16,42,95,0,0,0,1,28,92,196,57
3,Kendrick,Bourne,1,84,73,190,WR,88,79,73,86,31,31,23,22,22,27,44,84,83,92,20,15,90,0,0,1,0,28,77,305,73
4,DeVante,Parker,1,1,75,219,WR,88,78,75,89,32,24,19,12,35,36,28,87,85,85,15,12,83,0,1,0,1,30,80,302,51
5,JuJu,Smith-Schuster,5,7,73,215,WR,87,82,70,87,43,21,24,17,28,43,34,90,78,86,41,41,86,1,1,0,1,26,83,294,100
6,Tyquan,Thornton,5,11,74,182,WR,96,69,76,79,28,30,18,14,21,19,44,88,69,82,15,18,85,0,0,1,1,23,88,285,86
7,Demario,Douglas,5,81,68,170,WR,91,71,74,80,28,14,21,18,32,41,25,83,56,83,36,32,89,1,0,1,0,22,97,143,85
8,Hunter,Henry,1,85,77,250,TE,82,56,75,87,62,10,21,19,46,42,28,89,79,78,17,27,88,1,0,0,0,28,91,303,51
9,Trent,Brown,1,77,80,370,OL,62,5,32,19,84,7,20,20,31,40,25,87,94,54,13,20,83,0,0,1,0,30,77,176,78
10,Cole,Strange,1,69,77,305,OL,71,32,47,41,78,7,20,20,34,42,21,84,76,68,10,45,91,1,1,0,0,25,93,137,79
11,David,Andrews,1,60,75,300,OL,65,9,22,15,81,7,20,20,40,38,22,90,91,53,14,37,87,0,0,0,0,31,84,274,60
12,Mike,Onwenu,1,71,75,350,OL,55,20,29,22,83,7,15,16,22,25,21,86,84,56,19,30,91,0,0,0,0,25,83,224,75
13,Riley,Reiff,1,74,78,313,OL,62,8,40,21,78,8,25,25,20,32,30,85,71,57,13,24,85,0,0,1,0,34,83,247,63
14,Christian,Barmore,5,90,77,310,DL,73,20,41,28,48,8,11,12,75,85,24,78,83,64,21,82,91,1,1,0,0,24,94,322,84
15,Davon,Godchaux,5,92,75,311,DL,62,12,27,26,48,7,12,11,75,86,15,82,79,58,26,76,88,0,0,0,0,28,86,21,75
16,Daniel,Ekuale,5,95,75,305,DL,63,15,37,21,45,6,21,20,72,76,10,72,67,66,20,80,84,1,0,0,1,29,86,54,69
17,Deatrich,Wise Jr,5,91,78,285,DL,74,18,32,34,46,8,14,22,79,86,11,82,92,69,28,81,92,1,0,1,1,29,88,253,91
18,Matthew,Judon,1,9,75,261,LB,85,11,43,27,43,7,21,19,75,86,22,87,93,79,60,80,89,1,0,0,1,31,79,52,94
19,Ja'Whaun,Bentley,1,8,74,244,LB,83,28,45,39,46,6,19,14,77,94,25,91,84,79,58,86,87,0,0,0,0,27,83,129,96
20,Mack,Wilson Sr,5,3,73,233,LB,85,33,57,63,47,34,15,14,70,78,52,86,75,81,60,85,87,1,0,0,0,25,93,40,54
21,Jahlani,Tavai,5,48,74,246,LB,83,51,54,53,45,6,15,19,73,88,25,84,80,80,70,84,86,1,0,1,0,26,76,55,95
22,Jonathan,Jones,5,31,70,190,DB,92,55,60,69,32,7,18,17,57,63,27,92,85,86,79,67,83,0,0,0,0,29,93,9,66
23,Adrian,Phillips,5,21,71,210,DB,86,40,62,59,36,13,25,15,50,73,20,86,84,81,74,73,92,0,0,1,1,31,81,201,62
24,Jabrill,Peppers,3,5,71,215,DB,89,77,67,68,36,28,22,18,60,83,33,87,84,88,77,91,84,1,0,0,1,27,89,152,94
25,Christian,Gonzalez,5,6,74,201,DB,93,67,60,69,29,10,46,42,51,60,35,90,72,92,77,49,90,1,1,1,1,21,88,139,66
26,JC,Jackson,5,29,71,198,DB,91,48,61,69,34,6,16,14,44,40,36,90,80,86,78,49,89,1,0,0,0,27,79,289,57
27,Marcus,Jones,5,25,68,175,DB,93,74,65,63,29,13,14,13,42,60,24,93,73,92,70,60,87,1,1,0,0,24,93,22,70
28,Chad,Ryland,1,37,72,183,K,73,9,32,19,11,25,94,70,13,24,34,84,57,60,12,15,92,0,1,1,1,23,69,20,99
29,Bryce,Baringer,1,17,75,215,P,73,15,40,21,13,25,94,72,26,32,38,84,54,67,10,33,92,0,0,0,0,24,81,164,78
30,Bailey,Zappe,5,4,73,220,QB,76,42,67,16,16,77,38,32,19,24,85,90,67,76,11,15,91,0,1,1,0,24,66,153,68
31,Malik,Cunningham,3,16,72,188,QB,88,76,63,71,15,73,17,11,19,29,87,82,35,89,11,22,91,1,0,0,1,24,74,289,89
32,Ty,Montgomery II,5,14,72,216,RB,87,75,82,70,46,27,24,21,40,45,42,83,76,85,28,15,80,0,0,1,1,30,73,232,71
33,Kayshon,Boutte,5,80,72,195,WR,88,76,73,78,30,16,16,11,27,26,28,83,51,83,13,23,85,1,1,0,0,21,89,303,96
34,Matthew,Slater,1,18,72,205,WR,87,75,67,75,26,12,31,30,64,56,35,81,78,76,54,50,90,1,1,1,0,37,80,307,95
35,Mike,Gesicki,1,88,78,250,TE,83,71,79,88,57,11,18,14,32,30,50,89,76,88,12,38,91,1,0,1,0,27,82,169,50
36,Pharaoh,Brown,5,86,77,246,TE,77,66,74,78,62,10,24,19,26,35,25,86,73,75,14,39,86,0,0,0,0,29,93,153,84
37,Calvin,Anderson,1,76,77,300,OL,62,8,33,17,70,6,24,22,15,30,25,83,77,71,13,44,85,1,1,1,1,27,92,297,90
38,Sidy,Sow,5,62,77,326,OL,70,33,53,48,71,6,21,18,45,51,24,86,65,63,19,57,92,1,0,0,0,25,80,203,82
39,Jake,Andrews,5,67,75,305,OL,67,30,35,35,71,15,21,13,47,42,26,88,69,56,16,50,93,0,1,1,0,23,70,245,81
40,Vederian,Lowe,5,59,78,320,OL,65,13,24,19,69,6,12,11,33,29,19,81,71,57,8,37,92,1,0,0,1,24,74,255,70
41,Lawrence,Guy Sr,5,93,76,315,DL,69,19,40,18,45,7,15,15,73,87,19,80,84,70,22,79,92,0,1,0,1,33,78,237,59
42,Sam,Roberts,1,96,77,295,DL,69,16,25,16,52,6,13,12,68,76,14,72,69,57,12,79,90,1,1,1,0,25,82,97,85
43,Trey,Flowers,1,98,74,265,DL,74,15,42,19,47,7,30,30,75,84,35,75,75,74,37,76,81,1,0,1,1,30,85,187,78
44,Keion,White,1,99,77,285,DL,80,51,65,61,52,8,15,15,74,78,20,73,67,69,34,85,85,0,0,1,1,24,83,87,57
45,Josh,Uche,5,55,75,245,LB,86,27,44,34,45,7,18,12,67,82,21,81,75,84,53,79,84,1,0,0,1,24,88,53,52
46,Anfernee,Jennings,5,33,75,259,LB,81,28,63,59,47,7,22,11,73,78,26,83,66,74,55,77,84,1,0,0,0,26,89,191,82
47,Raekwon,McMillan,5,50,74,243,LB,85,27,56,45,47,7,20,20,73,80,25,79,63,80,56,82,82,1,0,1,0,27,82,17,56
48,Chris,Board,5,45,74,239,LB,87,40,55,47,38,7,18,16,60,80,20,83,66,87,59,76,91,0,1,1,0,28,74,230,73
49,Jack,Jones,1,13,71,175,DB,88,55,60,65,25,12,37,33,42,47,26,88,75,88,75,51,86,1,1,1,1,25,88,304,99
50,Myles,Bryant,1,27,69,185,DB,87,50,61,62,34,9,16,12,54,66,42,89,74,90,71,73,90,1,0,0,0,25,92,276,71
51,Shaun,Wade,1,26,73,191,DB,90,54,58,61,36,7,19,12,55,63,22,86,66,83,65,61,84,1,1,0,0,24,76,97,78
52,Isaiah,Bolden,3,39,74,205,DB,95,74,66,57,33,12,19,13,44,52,26,85,53,80,63,69,91,0,1,0,1,23,79,313,70
