"INDEX	","	FIRST	","	LAST	","	SKIN   	","	PORTRAIT	","	AGE	","	EXPERIENCE	","	OFFENSE	","	DEFENSE	","	EVALUATION	","	MOTIVATION	","	DEVELOPMENT	","	DISCIPLINE	","	BADGE 1	","	BADGE 2	","	BADGE 3	","	POTENTIAL"
"Head Coach	",SEAN,PAYTON,"	1	","	17	","	41	","	13	","	94	","	90	","	73	","	77	","	91	","	87	","	-1	","	-1	","	-1	","	76"
"OC	","	TONY	","	PAUL	","	3	","	8	","	40	","	9	","	93	","	52	","	66	","	82	","	78	","	90	","	13	","	-1	","	-1	","	98"
"DC	","	JON	","	WEBER	","	6	","	25	","	58	","	28	","	62	","	70	","	86	","	81	","	92	","	82	","	-1	","	-1	","	-1	","	92"
"ST Coordinator	","	SAM	","	HART	","	1	","	60	","	34	","	3	","	74	","	67	","	71	","	77	","	94	","	88	","	-1	","	-1	","	-1	","	71"
"QB Coach	","	JAYLEN	","	SNYDERWINE	","	6	","	9	","	35	","	7	","	70	","	60	","	76	","	61	","	97	","	94	","	-1	","	-1	","	-1	","	82"
"RB Coach	","	TYRONE	","	KELLEY	","	5	","	120	","	61	","	30	","	88	","	58	","	79	","	67	","	88	","	74	","	1	","	-1	","	-1	","	72"
"Receivers Coach	","	CADE	","	WADE	","	6	","	264	","	36	","	6	","	70	","	70	","	67	","	73	","	87	","	87	","	-1	","	-1	","	-1	","	86"
"OL Coach	","	TYRELL	","	MULLINS	","	5	","	120	","	45	","	17	","	79	","	65	","	82	","	78	","	92	","	80	","	-1	","	-1	","	-1	","	96"
"DL Coach	","	DARREN	","	CHARLES	","	6	","	100	","	45	","	13	","	64	","	76	","	70	","	86	","	72	","	82	","	-1	","	-1	","	-1	","	89"
"LB Coach	","	WALKER	","	MCCORMICK	","	3	","	208	","	31	","	1	","	64	","	84	","	89	","	62	","	97	","	85	","	5	","	-1	","	-1	","	77"
"DB Coach	","	WYATT	","	PETERS	","	1	","	95	","	60	","	30	","	68	","	80	","	86	","	67	","	98	","	78	","	6	","	-1	","	-1	","	71"
"West Scout	","	JAY	","	SHAW	","	5	","	250	","	50	","	16	","	59	","	68	","	78	","	80	","	79	","	85	","	-1	","	-1	","	-1	","	80"
"Central Scout	","	BRYAN	","	MASON	","	5	","	304	","	31	","	1	","	57	","	61	","	99	","	82	","	98	","	84	","	-1	","	-1	","	-1	","	73"
"East Scout	","	IVAN	","	RAY	","	4	","	142	","	52	","	23	","	52	","	52	","	81	","	74	","	70	","	84	","	-1	","	-1	","	-1	","	73"
"Minor League Scout	","	DONTE	","	RODRIQUEZ	","	3	","	13	","	50	","	20	","	57	","	68	","	83	","	72	","	84	","	72	","	-1	","	-1	","	-1	","	92"
