INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Jameis,Winston,1,2,76,231,QB,79,72,59,28,23,83,30,26,45,45,90,89,72,79,12,28,96,0,0,0,1,27,96,332,82
1,Alvin,Kamara,1,41,70,215,RB,89,93,92,75,35,27,21,16,29,29,41,93,95,93,21,33,96,1,0,1,0,26,99,329,99
2,Dwayne,Washington,5,24,73,223,RB,88,76,84,48,27,20,20,22,44,44,29,84,67,86,21,43,81,0,0,0,1,27,94,240,99
3,Michael,Thomas,5,13,75,212,WR,87,82,78,97,32,12,23,22,22,27,24,99,96,92,17,15,92,1,0,0,0,28,74,93,56
4,Tre'Quan,Smith,1,10,74,210,WR,89,75,76,83,35,13,18,14,30,34,35,85,79,85,14,25,85,1,1,1,1,25,80,314,58
5,Deonte,Harris,5,11,66,170,WR,91,75,72,79,25,23,19,15,26,17,25,83,78,90,18,12,80,1,1,0,0,23,82,214,68
6,Chris,Hogan,5,80,73,210,WR,87,68,77,83,35,30,15,19,57,40,42,83,70,88,16,15,88,0,0,0,1,33,76,326,94
7,Marquez,Callaway,1,1,73,204,WR,87,72,76,84,26,15,19,13,28,27,20,79,74,82,17,29,90,1,1,0,0,23,78,323,76
8,Adam,Trautman,1,82,77,255,TE,80,63,76,80,62,53,27,20,31,33,65,79,64,88,16,31,92,0,0,1,0,24,95,85,89
9,Terron,Armstead,5,72,77,304,OL,80,15,62,61,90,8,25,25,25,37,30,92,94,68,17,20,82,0,0,0,0,30,92,3,51
10,Andrus,Peat,1,75,79,316,OL,65,9,40,17,77,7,24,22,15,34,25,80,82,63,13,20,78,0,0,1,0,27,81,81,77
11,Erik,McCoy,1,78,76,303,OL,73,9,30,17,83,7,22,21,23,35,22,93,93,62,12,22,91,0,0,0,0,24,84,179,95
12,Cesar,Ruiz,1,51,75,316,OL,70,9,26,17,75,7,11,11,17,27,25,85,83,55,12,25,92,0,1,0,1,22,94,295,58
13,Ryan,Ramczyk,3,71,78,314,OL,62,11,43,31,89,7,21,23,37,38,16,92,93,73,12,40,89,0,1,0,1,27,84,16,74
14,Cameron,Jordan,1,94,76,287,DL,77,14,40,22,48,7,33,29,87,90,30,91,94,80,35,85,97,1,0,0,0,32,87,322,65
15,David,Onyemata,5,93,76,300,DL,69,10,30,27,46,8,29,12,79,81,13,75,90,71,27,81,89,0,0,1,0,28,95,233,87
16,Malcolm,Roach,5,97,74,290,DL,74,25,40,41,46,7,25,25,68,77,26,72,70,67,29,78,82,0,1,0,1,23,92,186,92
17,Marcus,Davenport,1,92,78,265,DL,85,30,31,19,45,8,18,16,77,83,23,79,80,76,37,78,85,1,1,0,1,24,84,81,87
18,Kaden,Elliss,5,55,74,238,LB,82,33,65,50,45,43,19,15,65,77,66,89,57,87,55,84,86,1,0,0,0,26,87,176,71
19,Demario,Davis,5,56,74,248,LB,85,25,62,30,47,8,26,20,81,92,25,94,93,80,76,88,91,1,1,0,0,32,83,255,59
20,Chase,Hansen,1,42,75,222,LB,83,19,47,48,44,38,17,14,64,77,50,85,65,75,58,76,83,1,0,1,1,28,84,102,53
21,Kwon,Alexander,5,5,73,227,LB,86,20,50,49,47,7,20,20,73,81,27,83,75,83,68,86,75,1,1,0,0,27,95,298,86
22,Marshon,Lattimore,5,23,72,192,DB,93,67,61,68,35,6,30,25,52,71,22,89,86,91,83,69,84,0,1,0,1,25,86,115,91
23,Bradley,Roby,5,21,71,194,DB,91,65,55,61,34,6,11,12,54,53,15,92,87,90,84,72,87,0,0,1,0,29,92,45,94
24,C.J.,Gardner-Johnson,5,22,71,210,DB,90,53,64,66,36,14,65,50,58,65,25,85,88,85,83,77,88,1,0,0,0,23,77,127,70
25,Marcus,Williams,5,43,73,195,DB,89,49,75,69,34,8,20,20,62,73,25,93,87,87,78,79,90,1,1,1,0,24,77,190,76
26,Brian,Poole,5,33,70,213,DB,90,45,62,58,36,8,17,22,62,65,18,90,82,86,83,78,84,0,0,0,0,28,93,85,89
27,Desmond,Trufant,5,31,72,190,DB,90,63,54,63,35,6,25,25,55,69,22,93,77,94,77,42,95,1,0,0,1,30,82,198,67
28,Wil,Lutz,1,3,71,184,K,70,5,40,16,16,18,97,88,24,26,40,79,64,61,14,13,81,0,0,1,1,27,84,175,66
29,Blake,Gillikin,1,4,74,196,P,74,10,30,21,9,20,95,73,23,28,38,81,53,67,17,12,85,0,1,0,0,23,84,187,94
30,Taysom,Hill,1,7,74,221,QB,90,82,66,77,55,76,69,54,54,57,84,86,74,85,56,68,81,0,1,0,0,31,93,55,86
31,Ian,Book,1,16,72,210,QB,84,57,63,20,17,75,58,52,21,23,82,80,64,83,13,14,91,0,1,0,0,23,87,218,81
32,Tony,Jones Jr,5,34,71,220,RB,86,79,91,50,37,15,19,15,31,35,25,82,64,79,12,17,88,0,1,0,1,23,95,325,66
33,Devine,Ozigbo,1,28,71,225,RB,85,80,86,60,39,31,11,19,46,41,34,77,64,85,12,45,87,0,0,0,0,24,89,8,50
34,Ty,Montgomery II,5,88,72,216,WR,87,76,82,78,47,27,24,21,43,45,42,83,76,87,27,15,82,1,0,0,0,28,86,97,82
35,Lil'Jordan,Humphrey,5,84,76,225,WR,82,77,73,81,27,29,17,12,27,31,40,79,63,81,15,28,89,1,0,0,0,23,92,4,50
36,Juwan,Johnson,1,83,76,230,TE,86,74,76,81,38,24,29,25,36,34,36,82,69,84,23,37,87,0,0,0,0,24,64,117,87
37,James,Hurst,5,74,77,310,OL,51,8,64,27,73,6,22,21,39,41,30,76,83,65,14,20,87,0,1,0,1,29,81,43,84
38,Calvin,Throckmorton,3,76,77,311,OL,53,31,30,34,68,6,22,21,44,49,30,82,69,51,17,65,90,1,1,1,0,25,76,289,55
39,Will,Clapp,5,64,77,311,OL,59,14,29,18,69,7,19,14,19,26,14,84,71,55,10,20,86,0,0,1,1,24,75,44,77
40,Landon,Young,1,67,78,321,OL,65,8,22,26,65,8,20,22,36,32,35,84,63,61,12,35,85,0,0,1,1,24,67,108,67
41,Tanoh,Kpassagnon,3,90,79,289,DL,78,23,44,42,46,6,15,29,72,77,15,74,68,77,46,84,88,1,0,0,0,27,85,53,94
42,Shy,Tuttle,5,99,75,300,DL,75,10,30,35,47,6,15,12,72,78,16,71,62,71,24,79,84,1,0,0,1,25,91,77,96
43,Payton,Turner,5,98,77,270,DL,75,16,39,25,46,7,15,15,67,82,28,77,67,84,28,86,86,0,1,1,0,22,77,7,50
44,Andrew,Dowell,5,50,73,225,LB,84,52,66,60,45,18,13,12,62,73,24,84,64,82,63,83,89,0,1,1,0,24,99,64,65
45,Pete,Werner,3,20,75,235,LB,85,15,55,49,43,7,20,20,64,82,30,86,73,82,64,82,88,1,0,0,0,23,94,285,88
46,Ken,Crawley,3,25,73,180,DB,90,59,56,57,32,6,26,26,49,58,29,92,68,87,70,62,88,0,0,1,0,28,87,11,81
47,Malcolm,Jenkins,5,27,72,204,DB,85,35,58,66,35,7,22,19,65,73,21,97,84,90,76,81,97,1,0,1,1,33,77,190,55
48,Jeff,Heath,1,38,73,212,DB,87,20,65,61,37,7,66,53,58,66,20,89,79,83,74,83,91,0,0,0,1,30,89,167,82
49,Cody,Parkey,5,6,72,190,K,61,16,45,22,14,22,94,74,15,19,39,85,59,64,17,10,87,1,0,1,1,29,95,95,56
50,P.J.,Williams,1,26,72,196,DB,88,52,61,60,34,8,20,20,59,69,39,88,71,82,72,74,90,0,1,1,1,28,95,44,94
51,Alex,Armah Jr,5,40,74,253,FB,82,47,76,58,53,13,25,25,69,70,28,85,61,81,35,75,95,0,0,1,1,27,98,257,89
52,Jalyn,Holmes,5,57,77,283,DL,78,27,59,41,48,7,10,10,69,80,23,76,66,64,26,82,90,1,0,1,0,25,95,41,86
