INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Daniel,Jones,1,8,77,221,QB,88,62,51,35,17,81,60,50,22,24,87,82,68,83,15,14,85,0,1,1,1,24,87,203,98
1,Saquon,Barkley,5,26,71,233,RB,92,86,93,69,37,31,19,14,24,28,41,97,83,96,14,17,81,0,0,1,0,24,98,317,87
2,Elijhaa,Penny,5,39,74,234,RB,79,58,82,57,53,18,17,15,24,33,25,84,77,75,12,37,83,0,0,0,0,28,88,319,58
3,Sterling,Shepard,5,3,70,201,WR,89,81,75,88,33,21,23,22,24,33,27,86,87,92,20,15,85,0,0,0,0,28,90,226,66
4,Kenny,Golladay,5,19,76,213,WR,90,78,75,90,33,25,24,21,33,30,36,84,83,88,24,46,82,1,0,1,1,27,91,107,92
5,Darius,Slayton,5,86,73,190,WR,93,73,74,82,22,11,17,13,28,30,24,85,80,85,24,21,87,1,1,0,1,24,78,224,75
6,Kadarius,Toney,5,89,71,193,WR,93,78,74,80,28,41,25,22,26,27,54,83,76,93,16,20,86,1,0,1,0,22,86,153,57
7,John,Ross III,3,12,71,190,WR,96,78,67,76,29,12,20,23,27,26,35,84,70,93,24,18,77,1,1,0,0,25,87,54,90
8,Evan,Engram,5,88,75,240,TE,89,76,78,82,58,18,22,16,32,42,28,93,79,87,27,28,88,0,1,1,0,26,83,1,86
9,Andrew,Thomas,1,78,77,315,OL,65,8,33,36,78,7,24,22,27,31,23,90,82,65,13,30,86,0,0,1,0,22,76,126,74
10,Shane,Lemieux,1,66,76,310,OL,69,28,40,30,72,24,18,12,37,36,40,90,80,49,9,43,85,0,0,1,0,24,77,94,54
11,Billy,Price,5,69,76,310,OL,66,5,26,16,74,6,17,13,10,33,23,87,77,65,12,20,87,0,1,0,1,26,89,14,79
12,Will,Hernandez,1,71,74,323,OL,65,17,25,13,74,7,17,12,24,27,22,88,71,63,10,35,94,1,0,0,0,25,76,261,80
13,Nate,Solder,5,76,80,325,OL,71,15,61,55,75,7,21,23,25,35,16,90,73,72,12,25,87,0,0,0,1,33,85,219,70
14,Dexter,Lawrence II,5,97,76,342,DL,73,17,42,27,50,6,15,15,80,87,19,79,85,69,18,82,89,1,0,1,0,23,88,304,85
15,Austin,Johnson,5,98,76,314,DL,60,10,32,19,46,7,17,17,74,81,23,75,77,58,25,80,89,1,1,0,1,27,87,237,92
16,Danny,Shelton,5,75,74,345,DL,50,10,40,15,52,8,35,25,70,82,27,68,76,55,17,81,89,1,1,0,0,28,80,226,63
17,Leonard,Williams,5,99,77,302,DL,72,15,55,30,47,7,18,17,86,88,35,77,88,72,26,81,85,1,1,1,0,27,96,95,70
18,Lorenzo,Carter,5,59,77,255,LB,88,18,43,41,45,8,17,17,68,80,20,79,67,84,61,79,89,1,0,0,1,25,84,276,72
19,Blake,Martinez,5,54,74,237,LB,81,12,45,38,45,6,19,19,73,87,25,87,85,80,56,80,92,1,0,0,1,27,91,148,58
20,Benardrick,McKinney,5,49,76,257,LB,82,10,54,37,47,6,20,20,83,85,25,86,70,79,58,88,93,1,0,0,0,28,79,133,65
21,Azeez,Ojulari,5,51,74,249,LB,86,33,53,47,47,7,14,12,71,77,23,74,71,80,47,80,89,1,0,1,0,21,78,185,71
22,James,Bradberry IV,5,24,73,210,DB,90,60,62,66,28,7,29,21,53,58,21,88,91,86,88,76,89,1,0,0,0,28,85,126,55
23,Darnay,Holmes,5,30,70,195,DB,91,48,62,69,35,6,16,14,53,57,29,90,72,90,72,57,84,1,0,1,0,23,77,208,59
24,Jabrill,Peppers,5,21,71,213,DB,90,77,67,68,36,28,22,18,56,74,33,95,81,89,77,87,85,1,0,0,0,25,77,16,76
25,Logan,Ryan,5,23,71,195,DB,86,50,66,62,35,6,26,22,61,69,36,93,86,89,82,67,94,1,0,0,1,30,67,327,70
26,Adoree',Jackson,3,22,71,185,DB,93,72,67,72,34,7,29,32,51,67,10,93,76,96,82,52,88,1,1,1,0,25,79,245,67
27,Keion,Crossen,5,31,70,185,DB,95,47,55,53,34,30,17,12,53,57,52,88,64,93,70,65,89,1,1,0,0,25,85,296,85
28,Graham,Gano,1,5,74,202,K,75,5,35,19,13,25,99,91,13,34,27,80,68,64,12,12,89,0,0,0,1,34,90,249,98
29,Riley,Dixon,1,9,76,221,P,70,34,50,24,15,25,89,63,24,34,39,89,58,74,17,58,88,0,0,0,1,28,87,296,94
30,Mike,Glennon,1,2,78,225,QB,67,24,61,15,15,74,22,21,23,29,85,66,61,53,13,15,86,1,0,0,0,31,93,138,64
31,Devontae,Booker,5,28,71,219,RB,87,79,86,58,32,18,21,20,26,35,27,85,77,88,16,21,90,1,0,0,1,29,79,250,89
32,Gary,Brightwell,5,37,71,215,RB,86,76,84,50,35,23,19,14,33,37,36,84,63,82,22,34,90,1,1,0,0,23,83,100,66
33,Cullen,Gillaspia,5,36,73,235,RB,88,44,71,59,54,13,18,15,49,55,26,84,58,85,31,52,91,0,1,0,1,26,87,92,68
34,Dante,Pettis,5,13,73,195,WR,91,75,75,81,30,30,20,14,20,30,44,83,68,94,19,17,88,1,0,0,0,25,76,163,50
35,Collin,Johnson,5,15,78,222,WR,86,71,73,83,40,11,19,15,29,31,25,88,73,84,16,32,86,0,0,1,0,23,69,104,70
36,C.J.,Board,5,18,73,181,WR,92,66,66,77,29,12,24,24,41,43,24,82,64,93,17,44,86,1,1,1,0,27,88,148,74
37,Kyle,Rudolph,5,80,78,265,TE,76,51,80,90,57,11,32,32,41,45,30,95,84,79,13,20,87,1,0,1,1,31,92,318,83
38,Kaden,Smith,5,82,77,249,TE,77,58,71,79,60,11,12,10,28,27,25,81,67,81,13,25,85,1,1,0,0,24,88,256,75
39,Matt,Peart,5,74,79,318,OL,70,6,40,19,73,6,15,12,29,37,11,88,75,58,12,20,92,1,0,1,0,24,79,92,94
40,Wes,Martin,1,63,75,311,OL,59,5,30,18,69,6,17,14,20,39,25,80,61,66,13,26,88,1,0,0,0,25,86,315,85
41,Matt,Skura,1,67,75,313,OL,61,9,28,17,74,7,20,20,36,33,21,85,69,64,13,42,89,1,0,0,0,28,79,122,97
42,Ben,Bredeson,3,68,77,315,OL,63,14,20,12,70,7,19,16,15,20,17,82,73,53,10,12,88,1,0,1,0,23,74,322,85
43,Korey,Cunningham,5,79,78,311,OL,76,6,26,17,65,7,14,10,20,24,30,81,59,69,13,20,89,1,0,1,1,26,86,28,80
44,Raymond,Johnson III,3,91,75,270,DL,80,27,38,32,45,6,15,16,68,75,25,77,60,68,21,77,90,1,0,0,1,22,81,227,74
45,Quincy,Roche,5,95,75,243,LB,83,22,42,36,46,7,21,22,66,76,20,80,67,77,43,75,92,0,0,1,0,23,87,131,87
46,Trent,Harris,1,93,74,255,LB,72,20,46,34,44,6,25,22,66,76,28,80,66,78,47,74,84,0,0,0,1,25,77,57,92
47,Cam,Brown,5,47,77,233,LB,83,45,54,53,45,7,19,14,68,75,25,91,61,78,55,84,89,1,0,0,0,23,84,67,63
48,Reggie,Ragland,1,55,74,252,LB,79,16,36,37,45,6,19,19,77,76,25,83,64,77,51,88,87,1,0,0,0,27,94,264,74
49,Tae,Crowder,5,48,74,235,LB,83,49,58,54,46,8,20,18,65,78,25,86,63,80,55,81,88,1,0,0,1,24,91,151,64
