INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Zach,Wilson,1,2,74,214,QB,83,63,66,38,15,80,57,45,22,23,94,81,65,84,13,14,84,0,0,0,0,23,89,276,99
1,Breece,Hall,5,20,71,220,RB,91,79,89,61,40,18,18,15,29,29,32,93,66,90,15,24,93,1,0,0,1,21,96,8,57
2,Nick,Bawden,5,48,74,245,RB,81,32,72,50,59,39,18,13,43,37,54,79,60,78,13,36,88,1,0,0,0,26,91,157,91
3,Corey,Davis,5,84,75,209,WR,90,80,70,84,43,23,18,18,37,31,33,89,78,90,24,27,84,1,0,0,1,27,99,183,69
4,Elijah,Moore,1,8,70,185,WR,92,74,76,85,28,13,16,13,25,24,36,87,76,92,14,15,86,1,0,1,1,22,93,297,78
5,Garrett,Wilson,5,17,72,192,WR,92,73,76,80,28,16,17,13,20,22,26,81,68,93,17,19,86,1,0,0,0,22,82,171,53
6,Braxton,Berrios,5,10,69,186,WR,92,71,72,80,24,12,18,13,29,25,19,86,75,91,21,15,89,1,1,1,0,26,78,316,79
7,Denzel,Mims,5,11,75,207,WR,92,73,73,83,34,34,17,15,40,40,50,85,69,92,26,34,86,1,0,1,0,24,79,149,92
8,C.J.,Uzomah,1,87,78,271,TE,83,67,77,84,59,36,22,15,49,54,49,89,86,77,15,12,88,1,0,0,0,29,87,88,64
9,Duane,Brown,1,71,76,315,OL,67,20,35,49,81,8,25,25,30,50,26,89,87,61,17,30,88,0,0,0,1,37,90,19,74
10,Laken,Tomlinson,1,78,75,323,OL,64,5,25,14,81,7,20,20,20,35,20,91,93,59,13,20,95,0,1,1,1,30,77,128,87
11,Connor,McGovern,1,60,76,306,OL,67,10,33,19,79,7,20,21,27,30,21,87,86,66,13,25,90,1,0,1,0,29,94,133,92
12,Alijah,Vera-Tucker,1,75,77,308,OL,68,5,35,15,78,8,20,20,25,36,25,89,77,61,12,24,92,0,1,1,1,23,87,284,72
13,Mekhi,Becton,1,77,79,364,OL,69,25,40,19,81,7,20,20,31,42,25,76,76,58,13,20,77,0,0,0,1,23,77,225,52
14,John,Franklin-Myers,5,91,76,292,DL,79,24,26,23,46,10,16,12,80,86,20,80,86,72,29,83,91,1,0,0,0,25,77,279,86
15,Quinnen,Williams,5,95,75,303,DL,78,16,39,25,49,7,17,17,83,88,23,79,89,79,24,84,91,1,0,0,1,24,80,71,90
16,Sheldon,Rankins,5,98,74,305,DL,69,13,40,32,48,7,17,17,73,77,23,79,84,72,33,80,89,1,0,0,0,28,79,153,95
17,Carl,Lawson,1,58,74,261,DL,82,31,27,24,45,7,14,12,71,82,12,76,85,80,41,76,76,1,0,0,0,27,84,64,89
18,Quincy,Williams,5,56,71,225,LB,87,18,44,46,40,7,19,19,66,82,25,91,70,78,62,87,88,1,0,1,0,26,75,174,93
19,C.J.,Mosley,5,57,74,231,LB,83,32,66,63,48,6,20,20,75,91,25,94,81,87,70,89,87,0,0,0,1,30,81,242,60
20,Jamien,Sherwood,5,44,74,216,LB,82,54,64,60,37,32,25,20,62,78,43,81,66,79,64,85,84,0,0,1,0,22,91,238,86
21,Kwon,Alexander,5,9,73,227,LB,86,20,50,49,47,7,20,20,73,75,27,88,76,82,69,87,75,1,0,0,0,28,96,60,76
22,D.J.,Reed Jr,5,4,69,193,DB,90,61,57,68,33,9,14,10,55,64,22,93,78,89,79,51,88,0,0,0,0,25,95,305,96
