INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Jalen,Hurts,1,1,73,223,QB,89,79,63,56,23,88,23,23,28,37,86,87,86,90,19,30,91,0,0,1,1,24,96,315,71
1,Miles,Sanders,1,26,71,211,RB,91,85,94,58,35,23,16,12,26,33,29,88,87,89,15,22,85,1,0,0,0,25,97,311,77
2,Kenneth,Gainwell,1,14,68,200,RB,90,79,89,59,32,34,47,45,25,30,47,84,75,86,14,23,90,0,0,0,1,23,88,310,92
3,A.J.,Brown,5,11,72,226,WR,91,89,76,93,36,31,17,16,26,23,41,89,97,87,22,17,86,1,0,0,1,25,97,238,98
4,DeVonta,Smith,5,6,72,172,WR,91,73,72,88,28,18,18,15,38,36,31,90,90,91,32,31,89,1,0,0,1,23,78,249,56
5,Quez,Watkins,5,16,72,193,WR,97,75,72,81,26,13,16,12,20,29,24,87,76,86,14,21,88,1,0,1,0,24,94,127,73
6,Zach,Pascal,5,3,74,214,WR,87,73,75,82,38,24,23,18,28,31,46,88,77,85,18,28,93,0,1,0,0,27,91,76,96
7,Britain,Covey,5,18,68,169,WR,89,74,73,71,22,46,16,15,16,22,48,82,49,91,14,15,84,0,0,0,0,25,91,65,71
8,Dallas,Goedert,1,88,76,256,TE,83,76,76,87,63,11,19,15,30,37,27,90,91,84,13,28,88,0,0,1,0,27,75,262,64
9,Jordan,Mailata,5,68,80,365,OL,68,44,64,53,85,7,18,13,36,52,39,89,87,69,14,60,88,0,0,0,1,25,78,159,71
10,Landon,Dickerson,1,69,78,332,OL,58,7,28,20,79,7,12,12,39,36,24,86,82,67,8,40,80,0,1,0,0,23,77,108,71
11,Jason,Kelce,1,62,75,295,OL,75,14,40,23,91,7,18,22,55,57,22,87,99,73,28,55,94,1,1,1,1,34,76,139,76
12,Isaac,Seumalo,5,56,76,303,OL,64,8,29,14,80,6,22,21,35,33,24,85,88,69,17,48,79,0,0,0,0,28,93,99,53
13,Lane,Johnson,5,65,78,325,OL,78,30,67,59,93,51,25,22,56,60,65,87,98,75,16,60,84,1,1,1,1,32,65,147,69
14,Brandon,Graham,5,55,74,265,DL,76,26,22,20,48,7,14,12,82,84,12,81,86,78,25,88,87,0,0,0,0,34,79,212,79
15,Javon,Hargrave,5,97,74,305,DL,73,10,30,19,47,7,17,17,75,88,23,84,87,68,22,80,91,1,0,0,0,29,83,110,55
16,Fletcher,Cox,5,91,76,310,DL,76,10,38,20,50,7,25,21,75,86,19,85,85,78,31,80,93,1,0,0,0,31,92,37,98
17,Josh,Sweat,5,94,77,265,DL,85,25,47,36,46,8,19,12,78,83,20,81,88,83,32,77,88,0,0,0,0,25,83,24,77
18,Haason,Reddick,5,7,73,235,LB,87,43,77,63,43,7,19,19,74,79,25,88,92,85,60,83,93,1,0,0,0,27,89,306,93
19,T.J.,Edwards,5,57,73,242,LB,83,31,65,55,46,36,20,20,75,94,42,90,83,82,68,81,90,1,1,0,1,26,93,161,76
