INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Ben,Roethlisberger,2,7,77,240,QB,71,64,60,27,12,83,63,59,45,47,87,83,85,67,12,12,86,0,0,0,0,39,90,301,50
1,Najee,Harris,4,22,74,230,RB,88,82,92,63,44,33,18,15,36,44,43,95,72,85,23,40,92,0,0,0,0,23,99,298,50
2,Benny,Snell,2,24,70,224,RB,85,82,90,55,39,25,20,22,34,37,32,90,80,83,17,32,95,0,1,0,0,23,81,218,50
3,JuJu,Smith-Schuster,5,19,73,215,WR,88,82,73,91,43,21,24,17,28,43,34,91,89,87,41,41,90,0,1,1,1,24,67,132,50
4,Diontae,Johnson,5,18,70,181,WR,91,78,73,82,24,42,52,52,26,29,53,84,86,92,18,14,89,1,0,0,0,25,95,117,50
5,Chase,Claypool,4,11,76,238,WR,92,79,72,87,49,31,21,15,50,43,47,86,85,78,45,45,87,0,1,0,0,23,82,255,50
6,James,Washington,4,13,71,213,WR,91,77,77,84,36,14,20,13,18,32,29,86,73,85,19,26,93,0,0,0,0,25,65,230,50
7,Ray-Ray,McCloud III,6,14,69,190,WR,90,75,66,80,32,11,19,13,26,34,22,80,59,87,18,26,91,0,0,1,1,24,74,69,50
8,Eric,Ebron,2,85,76,253,TE,86,75,77,83,59,26,24,19,57,54,43,86,86,84,19,57,88,0,0,0,0,28,75,295,50
9,Chukwuma,Okorafor,1,76,78,320,OL,62,12,27,17,71,7,18,13,24,28,18,88,68,61,12,29,91,0,0,0,0,24,95,222,50
13,Kevin,Dotson,2,69,76,321,OL,66,9,28,20,73,7,11,11,30,34,25,90,78,60,12,25,94,1,0,1,0,24,91,24,50
11,Kendrick,Green,2,53,74,315,OL,76,9,29,18,72,7,11,11,48,48,25,83,73,58,12,33,94,0,0,1,0,22,74,128,50
12,Trai,Turner,1,51,75,320,OL,73,6,40,22,80,7,24,33,34,34,15,80,83,61,12,20,92,0,1,1,0,28,80,322,50
13,Zach,Banner,5,72,80,335,OL,52,10,26,17,69,6,20,20,36,34,25,80,67,52,13,38,83,1,0,1,0,27,91,24,50
