INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Jimmy,Garoppolo,3,10,74,225,QB,72,52,62,25,15,83,20,10,16,16,87,87,78,76,18,12,86,0,0,0,1,29,96,74,90
1,Raheem,Mostert,5,31,70,205,RB,96,82,86,56,35,22,25,25,27,41,30,89,75,89,17,20,79,1,1,0,1,29,95,332,95
2,Kyle,Juszczyk,5,44,73,235,RB,80,64,76,73,64,16,19,19,33,45,35,89,85,83,17,45,93,0,0,0,1,30,86,104,56
3,Deebo,Samuel,5,19,71,215,WR,92,91,71,89,30,27,15,12,43,46,44,94,98,90,25,39,88,0,1,0,0,25,85,38,95
4,Brandon,Aiyuk,5,11,72,200,WR,91,80,72,85,31,21,19,13,50,49,33,84,80,91,50,50,92,1,0,1,1,23,89,4,82
5,Mohamed,Sanu Sr,5,6,74,210,WR,86,76,79,83,42,56,64,49,60,47,80,86,75,85,45,15,92,1,1,0,0,32,92,44,70
6,Jauan,Jennings,5,15,75,215,WR,84,80,71,82,35,50,18,17,30,30,66,80,73,78,14,31,85,0,0,0,0,24,87,324,63
7,Travis,Benjamin,5,17,70,175,WR,91,74,74,79,28,12,20,15,35,20,30,80,66,89,17,12,81,0,0,1,1,31,79,128,80
8,George,Kittle,1,85,76,250,TE,88,81,76,89,68,13,19,22,31,34,30,92,96,84,19,38,86,1,0,0,1,27,92,198,80
9,Trent,Williams,1,71,77,320,OL,76,7,40,28,96,7,11,10,32,39,12,85,98,74,12,60,84,0,0,1,1,33,92,310,79
10,Laken,Tomlinson,1,75,75,312,OL,65,5,25,14,82,7,20,20,20,35,20,85,90,60,13,20,92,0,0,0,0,29,81,311,63
11,Alex,Mack,1,50,76,311,OL,62,28,55,19,85,6,19,16,26,26,17,90,91,68,9,20,98,0,0,1,1,35,95,302,79
12,Aaron,Banks,1,65,77,325,OL,61,5,31,17,72,7,19,22,15,25,25,84,74,60,13,29,85,0,1,1,1,23,94,311,67
13,Mike,McGlinchey,5,69,80,310,OL,70,11,33,20,82,7,15,12,32,32,11,86,75,74,12,38,94,0,0,0,1,26,81,43,63
14,Arik,Armstead,5,91,79,292,DL,73,16,44,21,46,8,30,30,87,87,35,80,95,70,36,80,82,1,0,1,1,27,83,153,98
15,D.J.,Jones,5,93,72,305,DL,70,19,31,27,49,6,23,19,78,81,24,76,79,77,23,78,90,1,1,0,1,26,94,126,85
16,Javon,Kinlaw,5,99,77,319,DL,72,16,34,21,48,8,19,12,74,82,24,80,75,76,21,80,83,1,0,1,0,23,96,166,68
17,Nick,Bosa,5,97,76,266,DL,79,21,38,31,46,7,17,17,83,89,25,86,95,87,36,84,86,1,0,1,1,23,80,204,80
