INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Geno,Smith,5,7,75,221,QB,80,64,59,50,21,80,20,15,25,38,86,76,73,79,21,12,83,0,1,0,0,31,96,217,97
1,Rashaad,Penny,5,20,71,220,RB,90,82,90,51,33,21,17,13,31,34,38,88,80,87,14,31,82,0,0,1,0,26,96,115,91
2,Kenneth,Walker III,5,9,69,209,RB,93,80,89,51,33,15,15,12,33,36,27,88,63,92,15,32,89,1,0,0,0,21,89,98,56
3,Tyler,Lockett,5,16,70,182,WR,93,82,73,91,30,12,30,25,25,25,30,89,88,96,17,12,96,0,1,1,0,29,83,29,68
4,D.K.,Metcalf,5,14,75,235,WR,95,88,74,93,34,14,18,13,38,33,34,88,90,84,22,30,94,1,1,0,1,24,97,68,72
5,Marquise,Goodwin,5,11,69,179,WR,96,74,76,80,30,11,21,20,37,25,34,82,68,89,21,15,84,1,0,1,0,31,77,19,97
6,D'Wayne,Eskridge,5,1,69,188,WR,92,71,71,78,29,11,19,13,43,40,22,81,72,87,25,34,84,1,0,0,1,25,76,268,89
7,Cody,Thompson,5,15,74,205,WR,87,72,71,76,34,35,47,42,33,37,40,82,59,87,20,34,85,1,0,0,1,26,90,229,75
8,Noah,Fant,3,87,76,249,TE,89,67,76,84,56,13,17,12,38,41,28,89,73,89,19,26,90,1,1,0,0,24,82,245,55
9,Charles,Cross,5,67,77,311,OL,74,18,25,16,76,6,19,14,22,25,23,87,76,55,10,30,90,0,1,0,1,21,89,176,82
10,Damien,Lewis,1,68,74,327,OL,64,5,30,18,74,7,25,25,38,42,26,88,82,56,13,47,91,0,0,1,0,25,81,304,87
11,Austin,Blythe,5,63,75,300,OL,59,7,24,18,76,7,20,20,26,32,24,83,76,68,13,28,92,0,0,0,0,30,92,115,81
12,Gabe,Jackson,5,66,75,335,OL,52,5,30,22,79,8,22,20,35,35,19,88,86,60,12,25,92,1,1,0,0,31,77,224,65
13,Abraham,Lucas,5,72,78,322,OL,75,27,44,35,74,6,16,14,30,32,11,84,75,75,10,26,92,1,0,1,0,23,80,113,69
14,Shelby,Harris,5,93,74,290,DL,73,10,46,21,46,7,19,21,80,85,24,77,83,67,22,77,90,0,1,1,0,31,75,19,55
15,Al,Woods,5,99,76,330,DL,67,10,25,22,48,7,19,22,79,85,20,78,80,64,20,67,89,0,1,0,1,35,80,116,56
16,Bryan,Mone,5,90,75,345,DL,55,20,29,22,46,7,15,16,69,78,21,75,72,53,26,78,85,0,0,0,1,26,83,332,69
