INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Tom,Brady,1,12,76,225,QB,71,31,69,28,20,90,43,28,33,32,92,99,95,70,15,12,99,0,1,0,0,45,98,308,85
1,Leonard,Fournette,1,7,72,235,RB,89,84,98,62,43,27,18,20,40,41,45,92,93,84,15,50,83,0,1,0,0,27,97,90,79
2,Giovani,Bernard,5,25,69,205,RB,88,75,85,65,41,22,23,15,32,35,30,84,77,88,24,20,82,0,0,1,0,30,96,197,95
3,Mike,Evans,5,13,77,231,WR,90,77,79,95,39,19,25,24,35,39,35,96,92,84,33,15,95,0,1,1,0,29,74,200,70
4,Chris,Godwin,1,14,73,205,WR,90,79,71,91,32,16,25,21,28,27,33,94,88,90,20,33,90,1,0,1,0,26,89,316,77
5,Julio,Jones,1,6,75,220,WR,91,81,75,88,44,12,25,15,45,45,45,90,80,92,23,63,83,1,1,1,1,33,94,259,64
6,Russell,Gage Jr,5,17,72,186,WR,90,76,71,85,34,39,16,12,58,58,58,86,81,85,12,48,92,0,1,1,0,26,87,22,93
7,Scotty,Miller,5,10,69,174,WR,94,66,72,82,21,27,17,13,24,27,35,84,67,86,22,18,86,1,0,1,0,25,79,49,62
8,Cameron,Brate,1,84,77,245,TE,78,59,77,83,55,11,24,22,51,40,20,87,84,75,12,20,95,0,1,0,0,31,73,239,91
9,Donovan,Smith,1,76,78,338,OL,69,5,25,15,77,7,25,25,25,43,30,90,87,62,17,30,93,0,0,0,0,29,80,188,64
10,Aaron,Stinnie,5,64,75,312,OL,64,5,20,19,71,6,16,12,20,29,21,81,79,63,12,12,85,0,0,1,0,28,76,66,95
11,Ryan,Jensen,5,66,76,319,OL,62,9,26,21,89,7,13,10,36,48,10,92,98,62,12,31,94,0,0,0,0,31,81,247,52
12,Shaq,Mason,5,69,73,310,OL,71,5,45,23,85,7,25,25,20,44,30,87,88,64,13,24,90,0,0,1,0,29,90,106,77
13,Tristan,Wirfs,5,78,77,345,OL,77,20,36,22,89,6,15,12,25,38,11,93,94,64,12,38,92,1,0,1,1,23,90,42,61
14,William,Gholston,5,92,78,281,DL,72,14,46,21,46,7,30,30,73,85,35,79,84,73,39,84,94,0,1,1,0,31,86,325,80
15,Vita,Vea,5,50,76,347,DL,68,46,68,27,52,14,15,16,83,90,24,82,90,72,31,89,92,0,1,1,0,27,88,324,82
16,Rakeem,Nunez-Roches,5,56,74,307,DL,69,10,40,20,45,6,15,25,70,82,16,78,72,60,24,77,90,1,1,0,1,29,88,188,83
17,Akiem,Hicks,5,96,76,347,DL,62,13,35,20,47,7,25,25,84,85,26,79,83,65,26,82,85,1,0,0,0,32,89,332,54
18,Shaquil,Barrett,5,58,74,250,LB,83,25,47,44,47,7,27,24,84,85,15,86,83,82,55,81,88,1,1,1,0,29,79,80,83
19,Lavonte,David,5,54,73,233,LB,85,10,60,47,47,7,14,12,85,94,15,93,95,86,74,85,92,0,0,1,0,32,97,171,59
20,Devin,White,5,45,72,237,LB,92,34,62,50,46,6,18,14,70,80,23,95,87,82,65,84,94,1,0,1,1,24,77,259,83
21,Joe,Tryon-Shoyinka,5,9,77,259,LB,83,39,56,50,47,11,18,17,70,78,29,77,72,82,49,83,90,1,0,0,1,23,88,188,92
22,Jamel,Dean,3,35,73,208,DB,94,53,59,65,35,7,33,28,48,68,14,91,86,86,85,65,85,1,1,0,1,25,76,57,60
23,Antoine,Winfield Jr,1,31,69,203,DB,89,72,67,73,36,7,20,20,62,70,35,92,89,88,82,86,88,1,0,0,1,24,84,89,65
24,Mike,Edwards,5,32,70,205,DB,88,50,60,63,35,7,25,25,57,66,22,91,80,86,73,79,89,1,0,1,0,26,77,40,52
25,Carlton,Davis III,5,24,73,203,DB,88,48,65,64,35,7,19,15,51,61,26,92,88,83,83,68,86,1,1,0,0,25,76,90,92
26,Sean,Murphy-Bunting,5,23,72,195,DB,92,62,63,70,32,6,26,26,61,58,29,90,75,90,71,62,88,1,0,1,1,25,75,322,100
27,Zyon,McCollum,5,27,74,199,DB,93,48,63,63,30,13,20,20,51,54,26,87,52,97,63,64,90,0,1,0,0,23,83,149,78
28,Ryan,Succop,3,3,74,218,K,62,5,39,17,16,19,94,75,29,29,38,81,61,64,15,12,94,0,0,1,0,35,86,256,100
29,Jake,Camarda,1,5,73,195,P,86,14,35,17,12,23,94,79,10,30,30,84,59,65,11,18,90,0,0,1,1,23,88,179,67
30,Kyle,Trask,1,2,77,236,QB,70,44,62,20,15,76,48,38,21,26,84,79,65,78,13,14,87,1,0,0,1,24,79,203,57
31,Blaine,Gabbert,1,11,76,235,QB,79,53,50,19,16,74,22,22,25,26,83,68,64,77,20,15,90,1,1,0,1,32,96,162,55
32,Rachaad,White,5,29,73,215,RB,90,75,87,63,35,15,21,18,26,30,26,82,72,85,14,23,90,1,0,0,1,23,82,179,89
33,Ke'Shawn,Vaughn,5,21,70,214,RB,89,78,87,59,37,19,16,10,24,38,31,84,71,86,14,28,92,0,0,1,1,25,68,1,54
34,Breshad,Perriman,1,16,74,215,WR,92,70,68,80,29,17,24,21,40,29,36,77,71,81,17,15,76,1,0,1,0,28,84,100,64
35,Jaelon,Darden,5,1,68,174,WR,91,72,76,77,25,31,21,18,26,25,48,83,61,91,15,16,88,1,0,0,0,23,71,158,56
36,Cade,Otton,5,88,77,245,TE,81,58,71,77,62,16,21,19,42,39,30,84,74,70,17,42,89,1,0,1,0,23,78,289,97
37,Kyle,Rudolph,5,8,78,265,TE,76,51,80,88,57,11,32,32,41,45,30,88,63,75,13,20,88,0,0,0,0,32,74,303,73
38,Josh,Wells,5,72,78,306,OL,60,5,55,22,70,6,11,11,25,34,10,82,75,64,11,30,88,0,0,0,1,31,87,227,73
39,Luke,Goedeke,5,67,77,313,OL,63,34,48,42,71,6,23,25,29,35,30,82,61,64,11,30,87,0,0,0,0,23,77,232,80
40,Robert,Hainsey,5,70,77,302,OL,64,12,34,19,73,7,13,11,33,25,21,81,77,64,12,23,89,1,1,1,1,24,88,192,95
41,Brandon,Walton,1,73,77,300,OL,62,10,28,15,68,7,14,14,28,25,20,77,71,56,11,27,88,0,0,1,0,24,84,86,86
42,Logan,Hall,1,90,78,283,DL,76,23,35,31,47,7,15,15,68,82,28,79,73,75,24,77,90,0,0,1,0,22,91,262,78
43,Deadrin,Senat,1,95,73,305,DL,66,24,26,18,47,8,16,11,75,79,23,80,70,58,23,83,89,0,0,0,1,28,79,256,63
44,Pat,O'Connor,5,79,76,270,DL,76,10,24,25,45,6,17,25,71,77,25,73,50,71,25,78,88,0,0,0,0,28,84,127,86
45,Carl,Nassib,5,94,79,275,LB,76,28,33,42,45,8,20,19,73,77,22,73,81,74,37,77,89,0,1,1,0,29,78,207,95
46,Anthony,Nelson,5,98,79,271,LB,78,28,33,42,45,8,20,19,75,78,22,79,69,82,39,80,92,0,0,0,0,25,89,214,54
47,K.J.,Britt,5,52,73,239,LB,80,21,55,34,47,7,20,20,66,81,30,84,56,71,56,86,88,1,0,0,0,23,88,182,94
48,J.J.,Russell,1,51,73,225,LB,82,55,63,56,47,7,15,14,62,78,24,83,55,75,56,85,91,0,0,1,0,23,80,46,56
49,Olakunle,Fatukasi,3,53,73,234,LB,79,34,53,44,39,6,21,19,62,75,15,80,53,87,51,79,90,0,1,1,0,23,80,277,63
50,Genard,Avery,1,59,72,250,LB,84,24,54,35,46,7,12,10,65,77,22,76,65,84,52,81,86,1,0,1,0,27,89,67,91
51,Cam,Gill,5,49,74,240,LB,85,17,44,40,45,7,20,20,61,76,25,84,56,77,43,78,83,0,1,1,1,24,98,327,53
52,Logan,Ryan,5,26,71,195,DB,86,50,66,62,35,6,26,22,59,72,36,93,82,87,77,67,92,1,0,1,0,31,74,11,68
