INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Ryan,Tannehill,3,17,76,217,QB,84,73,59,74,32,89,62,51,25,41,89,90,90,83,20,45,86,1,1,0,0,33,94,79,61
1,Derrick,Henry,5,22,75,247,RB,92,95,94,52,43,30,21,20,36,44,41,97,98,86,16,33,93,0,1,1,1,27,97,5,57
2,Brian,Hill,5,25,73,219,RB,90,77,86,52,42,21,12,13,37,51,36,87,75,83,40,49,95,1,0,0,0,25,92,166,59
3,Julio,Jones,5,2,75,220,WR,92,89,75,96,44,12,25,15,45,45,45,98,99,93,23,63,86,1,0,1,0,32,96,34,58
4,A.J.,Brown,5,11,72,226,WR,91,87,74,88,36,12,17,16,26,23,34,86,95,87,22,17,88,1,0,0,1,24,80,212,54
5,Josh,Reynolds,5,18,75,192,WR,88,76,76,85,33,21,20,14,24,35,30,85,82,86,22,28,95,1,1,0,0,26,83,94,53
6,Marcus,Johnson,5,88,73,204,WR,91,73,72,79,26,12,19,12,31,32,27,81,71,81,13,28,86,1,1,0,0,27,87,95,100
7,Chester,Rogers,5,80,72,184,WR,87,73,73,78,29,12,20,18,40,25,35,82,67,89,19,12,88,0,1,1,0,27,79,227,66
8,Anthony,Firkser,5,86,74,246,TE,80,62,73,82,57,6,13,13,35,38,22,86,79,83,24,23,90,1,0,1,0,26,80,247,80
9,Taylor,Lewan,1,77,79,309,OL,74,10,46,41,86,8,21,23,25,39,16,90,95,72,12,25,86,0,0,1,0,30,81,16,98
10,Rodger,Saffold III,1,76,77,325,OL,61,10,25,23,85,7,25,25,15,32,24,92,93,68,13,15,84,1,1,0,1,33,91,57,70
11,Ben,Jones,5,60,75,308,OL,58,5,39,18,82,6,11,15,33,40,12,90,90,61,11,12,92,1,0,1,1,32,88,269,51
12,Nate,Davis,1,64,75,316,OL,65,7,40,15,78,7,24,21,37,45,30,80,88,70,13,35,87,0,1,0,0,24,93,255,98
13,Dillon,Radunz,1,75,78,299,OL,67,8,29,22,73,7,18,18,32,31,19,85,67,74,14,35,86,0,0,0,1,23,84,110,63
14,Jeffery,Simmons,5,98,76,301,DL,73,16,29,22,46,6,15,16,84,85,20,77,84,73,34,88,84,1,1,1,0,24,87,131,64
15,Abry,Jones,5,95,76,318,DL,64,10,42,25,49,7,20,20,69,79,36,70,81,58,24,75,87,0,0,0,0,29,73,179,100
16,Teair,Tart,3,93,74,304,DL,71,10,40,17,47,8,17,13,68,76,29,73,63,65,17,80,85,0,0,1,1,24,94,164,78
17,Denico,Autry,5,96,77,285,DL,69,10,45,21,45,8,17,11,73,82,14,76,88,69,26,73,88,0,1,1,1,31,84,187,90
18,Bud,Dupree,5,48,76,269,LB,86,15,50,41,46,7,25,20,78,80,33,86,82,77,52,88,87,1,0,0,1,28,73,63,92
19,Rashaan,Evans,5,54,74,232,LB,84,22,51,51,48,6,22,24,81,90,25,88,82,85,59,96,88,1,0,1,1,25,84,325,70
20,Jayon,Brown,5,55,72,226,LB,86,36,58,53,44,7,20,20,72,84,25,87,89,81,72,77,90,0,0,0,1,26,86,142,83
21,Harold,Landry III,5,58,74,252,LB,84,36,47,50,46,7,18,14,76,80,23,88,82,86,51,82,88,1,1,0,1,25,84,264,56
22,Janoris,Jenkins,5,20,70,190,DB,88,72,54,70,30,7,12,10,52,60,12,94,79,91,79,50,89,1,0,0,0,32,90,128,76
23,Caleb,Farley,5,23,74,207,DB,95,68,66,68,33,36,43,33,49,48,51,90,69,93,72,54,80,1,0,1,1,22,95,117,80
24,Amani,Hooker,5,37,71,210,DB,88,55,65,66,36,26,55,44,55,70,42,89,75,90,71,76,86,1,0,0,1,23,68,196,85
25,Kevin,Byard,5,31,71,212,DB,89,55,78,64,29,27,20,19,66,78,44,90,86,90,82,79,90,1,0,0,0,28,82,239,94
26,Breon,Borders,5,39,72,189,DB,89,63,65,67,31,7,18,17,55,62,27,91,74,84,67,63,90,0,0,0,0,26,82,287,57
27,Kristian,Fulton,5,26,72,197,DB,90,49,56,56,32,6,10,11,51,52,24,90,68,87,71,52,88,0,0,0,0,22,98,104,89
28,Tucker,McCann,1,7,72,218,K,70,15,37,19,11,24,97,69,24,33,29,85,50,65,12,11,90,0,0,0,0,23,80,203,66
29,Brett,Kern,1,6,74,214,P,65,5,45,22,16,20,92,95,10,20,47,75,73,72,17,12,87,0,1,1,1,35,82,209,62
30,DeShone,Kizer,5,14,76,235,QB,77,67,55,28,16,72,26,19,28,33,88,75,54,77,12,37,93,1,1,1,0,25,93,182,67
31,Logan,Woodside,5,5,73,213,QB,78,40,63,17,16,70,18,13,21,30,77,74,61,80,14,26,89,1,0,0,0,26,76,91,75
32,Darrynton,Evans,5,32,70,203,RB,92,72,89,55,31,31,17,14,36,38,40,81,60,91,33,34,89,0,0,0,0,23,81,154,97
33,Jeremy,McNichols,1,28,69,205,RB,89,70,76,57,35,24,11,21,25,25,30,78,65,84,12,20,89,0,0,0,0,25,85,292,66
34,Cameron,Batson,5,13,68,175,WR,93,67,68,75,23,12,17,18,30,35,31,80,67,91,18,15,87,1,0,1,1,25,93,96,98
35,Dez,Fitzpatrick,5,10,74,208,WR,89,72,70,79,28,14,46,40,29,29,28,85,68,84,17,20,91,0,0,0,0,23,95,43,66
36,Geoff,Swaim,1,87,76,260,TE,81,47,73,76,59,10,22,22,51,35,35,77,71,74,19,12,80,1,0,0,1,27,95,188,80
37,Kendall,Lamm,1,71,77,310,OL,61,7,36,30,72,6,16,11,35,42,13,84,82,70,12,38,93,0,0,1,0,29,70,155,62
38,Daniel,Munyer,1,52,73,305,OL,62,6,33,16,67,7,12,11,30,35,15,84,52,55,12,21,91,0,0,0,1,29,86,13,55
39,Aaron,Brewer,5,62,73,274,OL,69,12,22,22,67,7,14,12,18,31,12,83,68,67,16,15,86,1,1,0,0,23,83,181,74
40,Christian,DiLauro,5,69,78,300,OL,71,6,20,17,64,6,12,11,20,30,22,81,48,64,13,25,86,1,1,0,1,26,76,93,65
41,Ty,Sambrailo,5,70,77,315,OL,60,5,44,28,72,7,39,34,15,39,25,72,79,70,13,35,89,0,0,1,0,29,80,267,69
42,Trevon,Coley,5,97,73,300,DL,72,10,27,25,52,6,20,20,69,79,33,79,60,80,27,77,88,0,0,0,0,27,90,293,52
43,Larrell,Murchison,5,91,74,297,DL,71,34,58,23,51,6,17,17,69,75,23,75,61,58,19,78,87,0,1,0,1,24,75,307,78
44,Derick,Roberson,5,50,75,250,LB,81,15,49,40,44,6,37,16,66,78,30,78,65,81,44,79,86,1,0,1,1,25,85,181,98
45,David,Long Jr,5,51,71,227,LB,84,22,65,50,47,6,20,20,72,77,25,91,74,86,57,87,82,1,1,0,1,24,87,259,77
46,Olasunkanmi,Adeniyi,5,92,73,248,LB,78,21,49,30,45,8,14,12,62,74,25,77,57,80,45,80,83,0,0,0,1,23,85,15,55
47,Elijah,Molden,5,24,70,192,DB,88,57,63,57,34,7,17,13,42,63,25,89,70,84,66,67,92,0,0,0,0,22,82,15,96
48,Matthias,Farley,5,21,71,204,DB,88,29,58,58,34,7,23,19,62,71,26,88,70,82,71,72,90,0,0,0,0,29,77,186,79
49,Brady,Breeze,3,33,72,197,DB,87,51,60,56,36,6,15,12,52,67,25,92,63,83,59,68,90,0,0,1,0,23,84,121,94
50,Khari,Blasingame,5,41,72,233,FB,87,41,71,60,55,6,20,20,44,44,25,86,70,83,22,43,88,1,0,0,0,25,88,37,62
