INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Ryan,Fitzpatrick,1,14,74,228,QB,76,66,63,20,24,83,12,19,12,20,86,82,80,71,12,12,87,0,0,0,1,38,96,321,82
1,Antonio,Gibson,1,24,73,228,RB,91,84,83,69,33,34,18,14,38,43,43,83,84,89,28,43,90,1,0,1,0,23,98,320,99
2,J.D.,McKissic,5,41,70,195,RB,88,78,84,70,32,12,25,25,45,27,27,88,78,91,13,15,87,0,0,0,1,28,89,240,99
3,Terry,McLaurin,1,17,72,210,WR,94,81,78,92,27,11,16,14,41,41,32,87,93,87,20,34,93,1,0,0,0,24,74,318,56
4,Curtis,Samuel,5,10,71,196,WR,95,82,74,85,30,12,25,15,24,26,27,84,76,92,24,24,86,1,1,1,1,25,80,140,58
5,Adam,Humphries,5,13,71,195,WR,86,75,73,83,29,12,25,30,33,28,33,84,78,86,13,15,85,1,1,0,0,28,82,214,68
6,DeAndre,Carter,5,1,68,190,WR,90,64,69,77,27,13,13,15,35,35,31,77,74,93,19,25,88,0,0,0,1,28,76,326,94
7,Cam,Sims,5,11,77,214,WR,87,75,72,83,29,12,15,19,35,32,23,77,75,82,20,22,86,1,0,1,0,25,95,41,86
8,Logan,Thomas,1,82,78,250,TE,83,70,76,84,58,63,25,20,26,39,86,82,82,81,22,12,87,0,0,1,0,30,95,85,89
9,Charles,Leno Jr,1,72,75,307,OL,62,14,24,40,83,7,11,15,25,35,10,84,82,63,10,20,98,0,0,1,0,29,81,81,77
10,Ereck,Flowers,5,79,78,329,OL,61,5,40,17,77,7,24,22,15,28,25,85,83,65,13,20,84,0,0,0,0,27,92,3,51
11,Chase,Roullier,1,73,76,312,OL,59,12,22,19,80,7,21,22,24,31,15,81,89,67,20,38,93,0,1,0,1,28,94,295,58
12,Brandon,Scherff,3,75,77,315,OL,72,9,40,21,87,7,25,25,26,32,30,88,88,72,12,25,85,0,1,0,1,29,84,16,74
13,Sam,Cosmi,1,76,78,314,OL,77,9,52,53,76,7,18,19,21,35,22,85,72,72,12,33,91,0,0,0,0,22,84,179,95
14,Chase,Young,5,99,77,264,DL,87,23,43,27,46,25,14,22,83,89,32,80,86,86,40,84,88,1,0,0,0,22,87,112,65
15,Jonathan,Allen,5,93,75,300,DL,72,10,40,30,47,8,9,8,84,95,21,75,95,72,26,80,85,0,0,1,0,26,95,233,87
16,Da'Ron,Payne,5,94,75,319,DL,76,32,46,29,48,8,17,14,83,87,26,74,89,65,26,77,97,0,1,0,1,24,92,186,92
17,Montez,Sweat,5,90,78,260,DL,91,31,56,48,45,6,14,16,82,82,22,77,79,82,38,80,84,0,1,0,1,24,95,325,66
18,Cole,Holcomb,5,55,73,240,LB,87,41,60,51,45,7,18,35,72,84,27,90,77,89,65,77,91,1,1,0,0,25,95,298,86
19,Jamin,Davis,5,52,76,234,LB,90,21,52,53,40,7,20,20,65,85,24,87,65,84,64,76,91,1,0,0,0,22,87,176,71
20,Khaleke,Hudson,5,47,71,224,LB,87,46,60,55,43,6,19,19,63,77,25,90,66,84,64,84,89,1,1,0,0,23,83,255,59
21,Jon,Bostic,1,53,73,245,LB,83,16,64,54,46,8,20,22,76,86,30,90,70,79,48,82,85,1,0,1,1,30,84,102,53
22,Kendall,Fuller,5,29,71,198,DB,90,57,63,66,27,7,18,17,61,68,27,88,92,89,89,58,84,0,0,1,0,26,92,45,94
23,Darryl,Roberts,5,34,72,182,DB,91,60,52,56,34,7,15,12,46,55,10,88,70,93,73,62,84,1,0,0,0,30,77,127,70
24,Kamren,Curl,5,31,73,198,DB,86,51,55,60,34,10,22,17,56,75,20,88,83,83,75,77,90,0,1,0,1,22,86,115,91
25,Bobby,McCain,5,20,71,192,DB,87,65,65,72,34,7,15,11,55,56,27,94,78,90,75,53,84,1,1,1,0,28,77,190,76
26,William,Jackson III,5,23,72,196,DB,93,72,68,62,27,8,18,17,56,51,31,91,85,87,83,73,88,0,0,0,0,28,93,85,89
27,Benjamin,St-Juste,5,25,75,202,DB,89,45,56,59,34,7,18,13,51,62,21,88,67,92,67,56,89,1,0,0,1,23,82,198,67
28,Joey,Slye,1,3,70,213,K,68,15,40,19,11,22,98,75,24,31,29,85,53,67,12,11,87,0,0,1,1,25,84,175,66
29,Tress,Way,1,5,73,220,P,73,10,51,22,12,42,96,90,10,29,54,82,70,64,20,12,92,0,1,0,0,31,84,187,94
30,Taylor,Heinicke,1,4,73,210,QB,84,58,64,24,17,81,23,18,25,25,85,68,74,82,7,10,89,0,1,0,0,28,87,218,81
31,Kyle,Allen,1,8,75,210,QB,82,33,56,21,14,77,18,15,21,28,85,71,65,75,15,11,89,0,1,0,0,25,93,55,86
32,Jaret,Patterson,1,32,67,195,RB,86,75,78,63,33,18,19,12,26,37,24,88,59,83,30,41,89,1,1,0,1,21,84,81,87
33,Dyami,Brown,5,2,73,189,WR,91,75,75,80,28,34,17,13,39,37,51,87,66,88,25,30,89,1,0,0,0,21,92,4,50
34,Antonio,Gandy-Golden,1,18,76,223,WR,86,78,77,81,30,10,17,12,35,32,30,85,68,80,15,36,91,1,1,0,0,23,78,319,76
35,Dax,Milne,1,15,73,193,WR,87,68,72,79,32,11,20,22,35,35,21,81,56,86,22,22,90,0,0,1,0,22,93,41,68
