INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Matt,Ryan,1,2,20,217,QB,85,37,62,38,26,95,21,35,26,26,94,88,93,67,19,12,81,0,0,0,1,30,95,331,82
1,Todd,Gurley,5,21,69,215,RB,94,96,76,80,59,30,25,25,11,25,35,94,93,94,18,30,97,1,0,1,0,25,97,234,99
2,Ito,Smith,5,25,71,200,RB,94,88,82,93,41,40,25,22,35,35,35,88,84,94,12,16,84,0,0,0,1,24,97,240,99
3,Julio,Jones,1,11,75,215,WR,87,74,65,89,35,32,21,20,37,25,34,92,82,89,22,15,93,1,0,0,0,26,74,326,56
4,Calvin,Ridley,5,18,71,195,WR,87,66,76,85,45,27,15,14,35,30,25,90,78,86,16,15,91,1,1,1,1,27,80,140,58
5,Laquon,Treadwell,5,80,78,225,WR,86,70,69,83,50,33,14,22,35,32,40,88,66,82,17,15,86,1,1,0,0,27,82,214,68
6,Brandon,Powell,1,15,75,212,WR,94,53,77,80,29,16,14,12,40,23,13,82,58,93,16,16,95,0,0,0,1,27,76,324,94
7,Russell,Gage,5,83,72,200,WR,90,53,34,82,33,26,14,11,40,23,17,79,35,83,16,16,83,1,0,1,0,25,95,41,86
8,Hayden,Hurst,1,81,78,251,TE,82,71,74,90,71,24,26,20,45,42,25,85,89,87,14,20,90,0,0,1,0,29,95,85,89
9,Jake,Matthews,5,70,77,304,OL,63,31,50,65,90,30,25,25,25,26,30,92,93,61,18,20,85,0,0,0,0,25,92,3,51
10,James,Carpenter,1,77,77,305,OL,66,11,40,29,83,30,19,16,26,34,17,89,90,58,11,20,85,0,0,1,0,31,81,81,77
11,Alex,Mack,1,51,76,315,OL,70,13,30,40,84,22,22,21,40,45,30,96,82,55,18,55,82,0,1,0,1,24,94,295,58
12,Jamon,Brown,1,68,79,320,OL,64,13,40,20,83,15,16,16,35,47,14,91,87,50,12,12,85,0,0,0,0,30,84,179,95
13,Kaleb,McGary,3,76,75,300,OL,57,13,40,26,86,16,13,13,64,25,14,84,70,66,12,65,79,0,1,0,1,26,84,16,74
14,Vic,Beasley,5,44,76,287,DL,74,23,40,35,45,22,33,29,89,80,30,95,82,75,33,82,91,1,0,0,0,28,87,112,65
