INDEX,FIRST,LAST,SKIN,NUMBER,Height,Weight,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Lamar,Jackson,4,8,74,212,QB,96,81,71,31,18,91,25,25,25,30,92,92,95,95,18,12,92,1,0,0,0,23,84,281,98
1,Mark,Ingram,5,21,69,215,RB,88,87,91,72,57,30,25,25,97,31,30,86,92,86,18,20,89,1,0,1,1,30,79,191,92
2,Gus,Edwards,1,35,75,311,RB,71,56,68,62,70,33,35,33,68,40,39,84,81,68,38,12,86,1,0,1,0,26,91,35,98
3,Dez,Bryant,3,88,71,205,WR,89,78,78,85,45,18,19,19,35,34,17,90,85,86,22,15,85,1,0,0,0,27,86,113,97
4,Marquise,Brown,5,15,69,180,WR,97,72,74,85,29,24,16,17,40,32,28,86,78,96,16,12,80,1,0,1,1,23,84,299,77
5,Devin,Duvernay,5,13,76,220,WR,91,71,73,83,46,30,22,19,44,37,35,87,72,89,18,15,80,0,0,0,0,23,84,114,93
6,Myles,Boykin,3,80,73,200,WR,90,72,73,80,48,30,25,24,35,33,35,89,77,89,21,12,80,0,1,0,1,27,78,255,84
7,James,Proche,5,11,71,210,WR,93,79,78,84,39,32,24,21,40,29,36,92,67,87,18,15,88,0,0,0,0,23,98,63,90
8,Mark,Andrews,1,89,77,256,TE,86,64,73,86,58,40,22,22,49,42,7,88,96,80,24,12,94,0,0,0,0,25,77,231,95
9,Ronnie,Stanley,5,79,78,315,OL,66,11,40,12,93,12,13,10,20,32,12,91,96,75,11,20,88,0,0,1,1,26,90,24,99
10,Bradley,Bozeman,2,77,77,325,OL,66,13,40,32,93,25,20,20,25,45,20,91,96,75,12,15,88,0,0,0,1,25,73,84,82
11,Matt,Skura,1,68,75,313,OL,62,23,22,18,75,21,11,31,28,38,33,89,86,64,13,26,85,1,1,0,0,27,80,144,97
12,Tyre,Phillips,5,74,77,344,OL,60,15,10,40,66,30,25,25,20,30,30,86,72,48,14,20,77,1,0,0,1,23,74,242,81
13,Orlando,Brown Jr,5,78,80,345,OL,50,24,19,15,85,24,29,18,28,44,22,93,86,60,18,7,84,0,0,1,0,24,77,330,94
14,Calais,Campbell,5,93,80,300,DL,72,13,24,40,33,13,17,11,89,93,14,97,97,80,28,85,85,1,0,0,0,34,85,216,83
15,Brandon,Williams,5,98,73,336,DL,57,17,35,35,32,22,19,19,87,86,12,87,87,57,25,77,74,1,1,0,0,31,74,15,89
16,Derek,Wolfe,2,95,77,285,DL,73,18,40,35,31,20,15,15,83,84,19,87,84,72,27,72,83,0,1,0,0,30,79,185,86
17,Pernell,McPhee,4,90,75,265,DL,76,35,32,42,45,19,17,25,75,83,25,83,77,75,59,84,72,0,0,0,1,31,92,80,97
18,L.J,Fort,5,58,72,232,LB,80,13,49,64,5,25,20,20,69,85,25,92,82,75,67,77,83,0,0,0,0,30,91,15,96
19,Patrick,Queen,5,48,72,232,LB,89,33,25,64,31,18,26,17,69,83,19,90,77,87,64,84,88,0,0,0,0,22,81,26,85
20,Matthew,Judon,5,99,75,261,LB,81,33,39,46,20,29,12,24,64,82,17,84,84,79,59,80,85,0,1,0,1,28,95,190,83
21,Malik,Harrison,5,40,75,247,LB,84,11,56,52,45,33,10,16,70,83,36,84,71,85,58,83,89,1,1,0,1,22,89,111,82
22,Marlon,Humphrey,4,44,72,197,DB,92,35,48,70,39,21,14,16,47,69,14,89,90,88,88,78,94,0,0,1,0,24,89,92,76
23,Chuck,Clark,4,36,72,205,DB,88,26,39,64,16,30,20,20,53,72,25,93,80,87,75,83,89,0,0,0,0,25,80,287,79
24,DeShon,Elliott,4,32,73,210,DB,86,36,55,74,36,20,22,17,57,70,20,88,74,79,72,82,90,1,0,1,0,23,90,324,78
25,Marcus,Peters,4,24,72,195,DB,91,11,45,82,38,21,18,22,54,57,17,93,92,91,88,63,87,1,1,1,1,27,95,193,82
26,Jimmy,Smith,4,22,74,210,DB,88,29,59,76,14,16,12,12,48,70,18,74,84,88,80,77,91,0,0,0,0,32,90,265,84
27,Tavon,Young,4,25,69,185,DB,90,17,64,70,7,22,15,11,58,59,21,71,76,89,76,73,90,1,0,0,0,25,81,178,92
28,Justin,Tucker,1,9,73,183,K,75,11,35,35,15,19,98,98,13,39,26,95,71,64,12,12,85,0,0,0,0,30,79,312,89
29,Sam,Koch,1,4,73,222,P,70,13,40,25,18,45,91,96,33,33,40,85,71,60,12,12,85,0,1,1,0,38,84,227,91
30,Robert,Griffin III,5,3,74,213,QB,85,72,56,67,21,75,14,14,32,32,87,78,72,84,13,15,84,1,0,0,0,30,81,122,77
31,Gus,Edwards,4,35,73,238,RB,88,83,95,62,45,25,20,22,97,45,32,88,80,82,14,12,87,0,0,1,1,25,91,51,92
