INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Teddy,Bridgewater,1,5,76,217,QB,72,41,63,23,12,77,12,12,18,18,84,82,79,70,20,12,92,0,0,1,0,35,93,41,68
1,Christian,McCaffrey,5,22,70,235,RB,97,96,86,90,44,30,25,25,11,20,30,98,94,96,18,20,95,1,0,0,1,27,98,292,56
2,Mike,Davis,5,28,69,250,RB,81,85,80,69,59,28,22,22,35,51,28,88,87,78,18,45,86,0,0,1,1,26,89,259,91
3,Robby,Anderson,5,11,77,245,WR,85,76,77,91,45,32,20,20,45,41,35,90,78,87,23,12,87,1,1,0,1,22,90,236,62
4,DJ,Moore,5,12,71,185,WR,92,74,80,77,35,45,13,15,39,35,40,90,86,95,15,25,95,1,0,0,1,22,81,325,89
5,Curtis,Samuel,5,10,71,185,WR,88,68,75,83,42,24,22,22,39,29,25,93,83,92,19,12,88,0,1,0,0,27,94,253,92
6,Pharoh,Cooper,5,14,76,225,WR,89,73,80,78,53,25,18,15,48,35,35,88,65,87,20,15,84,0,0,1,0,30,81,278,89
7,Brandon,Zylstra,5,16,74,197,WR,86,71,70,80,47,35,20,20,38,35,39,93,57,86,23,12,91,0,0,0,1,29,75,216,80
8,Ian,Thomas,1,80,77,253,TE,83,68,73,96,71,32,26,22,53,40,20,93,95,84,14,20,98,1,0,0,0,27,79,114,68
9,Daryl,Williams,5,60,75,320,OL,74,12,40,45,92,15,24,33,34,34,15,92,82,62,12,20,76,0,0,0,0,24,91,189,65
10,Greg,Van Roten,1,73,74,300,OL,68,13,40,25,87,25,20,24,40,40,22,92,86,68,14,20,88,0,1,1,0,27,80,103,92
11,Matt,Paradis,5,61,76,315,OL,63,20,40,25,89,40,28,10,39,39,25,97,82,64,12,12,89,0,0,0,1,28,93,131,60
12,Trai,Turner,1,70,77,305,OL,66,15,45,45,88,30,25,25,20,35,30,89,79,62,14,20,84,0,1,1,1,23,87,264,98
13,Taylor,Moton,1,72,78,325,OL,61,12,40,40,89,28,18,22,54,45,22,92,81,49,20,55,82,0,1,0,0,26,92,48,51
14,Gerald,McCoy,5,93,74,320,DL,57,31,55,45,45,25,28,27,82,93,29,88,80,72,20,88,84,1,1,0,1,24,83,143,100
15,Dontari,Poe,5,95,75,315,DL,68,21,40,44,45,15,15,15,93,85,16,95,85,69,37,69,80,0,0,0,0,26,83,125,61
16,Kawann,Short,5,99,74,282,DL,75,15,40,21,45,12,16,11,86,77,14,92,86,75,49,75,79,0,0,0,0,25,82,71,66
17,Vernon,Butler,5,92,76,275,DL,74,30,45,38,45,14,15,15,73,75,15,92,71,84,51,85,83,1,1,1,1,23,80,58,86
18,Mario,Addison,1,97,75,238,LB,84,43,64,79,54,25,22,24,93,98,25,97,98,85,82,84,99,1,0,0,0,27,90,314,100
19,Shaq,Thompson,5,54,73,235,LB,82,38,65,71,45,19,21,20,66,91,17,83,88,87,83,94,94,1,0,0,1,27,76,98,60
20,Luke,Kuechly,5,59,72,230,LB,84,76,72,72,48,25,20,20,72,85,25,93,69,86,79,73,92,1,0,0,1,26,85,78,52
21,Bruce,Irvin,1,55,73,240,LB,82,51,70,71,45,19,14,15,82,86,20,91,72,74,68,73,94,0,0,1,0,26,94,88,52
22,Donte,Jackson,3,26,71,200,DB,84,49,64,82,45,13,24,10,66,69,11,88,85,81,80,67,95,0,0,1,1,27,78,259,94
23,Javien,Elliott,5,23,72,195,DB,87,53,65,73,45,35,20,20,46,56,35,93,82,89,82,45,92,1,0,1,1,22,90,160,64
24,Eric,Reid,5,25,73,210,DB,86,58,69,75,45,19,14,13,73,74,15,92,68,88,77,86,89,1,0,1,0,25,94,323,65
25,Tre,Boston,5,33,69,195,DB,87,59,55,57,45,30,20,20,38,58,30,90,69,88,77,54,91,1,1,0,0,23,92,248,77
26,James,Bradberry,1,24,72,205,DB,90,53,55,57,45,25,20,20,53,68,25,88,57,84,74,70,85,1,0,0,0,26,80,245,87
27,Ross,Cockrell,5,47,72,212,DB,84,33,51,56,21,24,22,31,62,86,24,79,60,85,66,76,87,1,0,0,0,26,75,229,50
28,Joey,Slye,1,4,74,205,K,75,15,35,35,15,19,97,93,13,13,26,90,88,64,12,12,80,0,0,0,0,38,73,307,90
29,Michael,Palardy,1,5,71,181,P,95,24,40,34,24,16,90,84,20,26,20,85,50,96,13,19,82,0,0,0,0,26,81,33,91
30,Ben,Jacobs,1,53,76,240,LB,74,40,60,53,45,22,15,19,66,78,25,95,68,75,61,74,83,1,1,0,0,26,78,82,59
31,Paul,Soliai,1,90,76,345,DL,64,13,40,25,45,24,20,24,80,79,21,87,85,55,14,70,75,0,0,0,1,27,80,144,56
32,David,Mayo,1,55,74,240,LB,81,39,55,61,45,29,22,29,79,85,25,78,52,74,53,73,84,1,0,0,0,33,88,185,59
33,Mario,Addison,5,97,75,260,DL,79,44,55,50,45,19,37,16,78,69,36,90,76,74,49,69,80,1,0,1,1,37,65,83,85
34,Derek,Anderson,1,3,78,230,QB,65,18,49,15,20,75,22,14,23,23,92,90,74,56,13,12,90,0,0,1,1,26,90,308,64
35,Fozzy,Whittaker,5,43,70,205,RB,87,72,79,74,51,20,10,10,26,39,25,83,70,88,15,20,88,0,1,0,1,25,84,18,68
36,Wes,Horton,5,96,77,270,DL,78,31,49,41,45,20,14,22,74,72,11,88,68,75,51,75,72,1,1,0,0,22,88,156,91
37,Stephen,Hill,5,87,76,215,WR,92,71,69,64,44,35,14,22,39,33,45,85,61,87,20,15,86,0,0,1,0,26,84,322,77
38,Joe,Webb,5,14,76,235,QB,88,68,77,71,29,66,25,24,25,33,89,88,66,93,18,12,85,0,0,0,1,26,89,144,62
39,Ed,Dickson,5,84,76,255,TE,83,68,71,74,63,22,12,15,49,40,25,88,79,76,15,25,85,0,1,1,0,37,78,228,68
40,Vernon,Butler,5,92,76,323,DL,63,32,26,27,23,11,16,22,79,82,10,75,57,67,18,72,75,1,0,1,0,25,96,274,69
41,Trent,Robinson,5,39,69,193,DB,88,55,52,63,45,30,20,15,56,71,30,84,62,84,70,65,88,0,0,0,0,26,77,314,87
