INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Mitchell,Trubisky,1,10,75,220,QB,88,74,56,35,23,90,25,20,30,30,94,89,89,73,12,12,88,0,1,0,0,37,95,162,63
1,David,Montgomery,5,32,66,196,RB,93,96,84,79,65,21,10,10,26,25,25,90,91,94,15,20,96,0,0,1,0,22,95,214,82
2,Ryan,Nall,5,35,72,208,RB,97,98,82,87,53,25,14,14,45,46,26,89,85,96,48,44,90,1,0,0,1,35,93,188,57
3,Allen,Robinson,5,12,75,216,WR,88,78,73,96,54,25,18,18,54,35,29,91,92,87,21,15,83,0,0,0,0,25,84,214,91
4,Anthony,Miller,5,17,70,185,WR,88,72,73,85,45,35,30,30,35,25,35,90,81,95,23,12,91,1,0,0,0,32,71,92,65
5,Cordarrelle,Patterson,5,84,76,184,WR,87,66,72,82,50,35,19,19,37,29,38,92,75,86,17,15,88,1,1,1,0,31,71,115,95
6,Riley,Ridley,1,88,73,187,WR,86,70,78,81,36,22,17,26,35,32,33,87,79,91,16,15,93,1,0,0,1,27,92,43,90
7,Javon,Wims,5,83,75,215,WR,94,74,69,88,47,30,20,20,35,42,35,92,53,88,28,33,89,0,1,0,1,27,91,97,84
8,Jimmy,Graham,1,80,77,236,TE,84,70,74,84,69,58,20,20,40,25,70,82,75,81,18,15,78,0,1,0,0,26,89,206,91
9,Charles,Leno Jr.,1,72,78,311,OL,73,26,45,40,89,44,14,14,65,55,67,89,76,69,18,62,90,0,1,1,1,27,75,70,65
10,Cody,Whitehair,5,65,78,316,OL,64,20,40,40,89,8,8,7,17,30,10,90,73,66,14,22,82,0,0,1,0,26,77,241,83
11,James,Daniels,5,68,75,302,OL,63,15,24,25,90,12,11,15,25,35,10,90,74,64,11,20,84,0,1,1,1,23,84,308,52
12,Kyle,Long,1,75,75,320,OL,59,16,40,25,88,24,20,24,30,35,21,90,78,53,14,20,77,0,1,0,0,28,91,139,59
13,Bobby,Massie,1,70,76,301,OL,61,22,33,37,89,18,14,17,29,20,34,89,58,64,12,26,78,0,0,0,1,32,83,185,93
14,Akiem,Hicks,5,96,76,251,DL,75,26,25,29,45,22,21,20,88,74,17,90,86,71,59,84,84,1,0,0,0,33,83,46,50
15,Eddie,Goldman,5,91,77,324,DL,63,17,35,36,45,26,25,25,84,85,26,93,79,67,26,88,83,1,0,0,1,27,90,132,61
16,Nicholas,Williams,5,97,76,336,DL,63,13,40,25,45,24,24,18,81,85,21,85,74,56,23,85,82,1,0,0,1,27,74,89,91
17,Bilal,Nichols,1,98,76,306,DL,73,11,40,25,45,21,13,12,76,80,23,88,71,63,24,66,77,0,1,1,1,25,87,15,61
18,Khalil,Mack,5,52,72,240,LB,80,35,45,69,45,30,20,20,90,91,30,92,91,79,74,78,94,1,0,0,1,27,93,3,81
19,Danny,Trevathan,5,59,73,240,LB,79,29,45,55,45,25,37,30,78,94,20,94,86,78,80,76,92,0,0,0,0,27,75,253,69
20,Roquan,Smith,5,58,75,280,LB,76,15,40,34,45,12,10,18,94,83,12,87,91,79,59,87,88,1,0,1,0,32,75,270,79
21,Leonard,Floyd,5,94,75,240,LB,80,34,59,61,45,17,14,12,67,80,15,94,77,84,75,83,86,0,0,0,0,24,90,45,87
22,Kyle,Fuller,5,23,72,194,DB,92,55,66,75,45,36,19,19,56,67,36,88,81,90,78,73,94,1,0,0,0,35,72,177,68
23,Buster,Skrine,5,24,72,218,DB,93,52,65,60,45,30,25,25,63,54,30,92,71,84,77,55,88,1,1,0,0,28,81,305,57
24,Ha Ha,Clinton-Dix,5,21,71,188,DB,89,61,72,68,45,40,25,25,49,45,40,76,79,89,71,40,94,0,0,1,0,25,82,221,82
25,Eddie,Jackson,5,39,73,193,DB,86,51,65,55,45,20,22,19,44,59,21,76,75,85,70,67,94,0,1,1,1,26,85,268,65
26,Prince,Amukamara,5,20,70,195,DB,87,63,65,65,45,35,25,25,50,64,35,74,65,91,75,51,88,1,0,0,0,25,94,127,93
27,Kevin,Toliver,5,22,71,215,DB,86,55,53,55,45,25,15,15,55,65,25,94,64,88,66,75,90,1,0,1,0,22,92,149,90
28,Eddy,Pineiro,1,15,72,185,K,55,13,40,15,18,20,94,86,23,23,29,90,82,52,13,12,75,0,1,1,0,23,95,257,94
29,Pat,O'Donnell,1,16,76,220,P,84,33,44,34,15,45,91,86,24,24,49,85,84,75,18,55,87,0,1,0,1,25,77,186,59
