INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Joe,Burrow,1,9,74,216,QB,86,43,67,62,14,85,12,19,12,15,87,87,85,79,12,12,91,1,1,1,1,28,91,112,74
1,Joe,Mixon,5,28,69,205,RB,97,97,84,86,55,25,23,15,32,35,30,97,96,95,24,20,97,0,1,1,0,24,98,46,84
2,Giovani,Bernard,5,25,73,235,RB,84,85,81,81,60,25,20,22,42,45,32,90,84,87,14,12,82,0,1,1,0,22,79,282,80
3,A.J.,Green,5,18,76,207,WR,90,81,78,95,36,35,19,15,40,35,40,92,93,94,27,15,96,0,0,0,0,31,80,310,90
4,Tee,Higgins,5,85,75,210,WR,84,74,73,80,56,22,17,12,45,36,25,94,82,85,17,12,88,1,0,0,0,23,98,142,56
5,Tyler,Boyd,5,83,73,195,WR,88,79,69,74,51,31,33,15,42,32,25,79,79,87,21,15,87,0,0,1,1,24,89,271,98
6,Mike,Thomas,5,12,73,201,WR,90,67,70,77,45,26,31,30,45,60,24,92,64,90,20,50,87,0,1,0,0,23,92,157,52
7,Alex,Erickson,5,12,73,197,WR,96,42,61,82,30,11,20,16,40,10,38,89,54,94,16,16,82,1,0,1,0,23,89,12,51
8,Drew,Sample,1,89,78,250,TE,82,70,79,89,65,35,22,21,50,35,40,88,85,85,19,25,95,1,1,1,0,25,93,248,73
9,Cordy,Glenn,1,77,79,330,OL,61,17,40,24,96,40,20,28,37,37,35,90,92,54,14,12,78,0,0,0,0,26,87,178,62
10,Michael,Jordan,1,60,77,310,OL,60,13,40,22,89,9,9,14,27,33,29,97,85,53,10,20,81,0,1,0,0,26,92,166,69
11,Trey,Hopkins,1,66,76,315,OL,60,12,40,15,90,14,18,16,15,25,12,79,84,60,14,20,88,0,0,0,0,25,90,196,98
12,John,Miller,1,67,75,306,OL,66,12,32,30,88,21,21,22,18,29,15,93,78,52,20,15,83,0,1,0,0,24,80,39,86
13,Bobby,Hart,1,68,79,302,OL,68,13,55,59,82,40,21,23,25,25,16,89,77,65,12,25,90,0,0,0,1,25,81,66,65
14,Carlos,Dunlap,5,96,73,303,DL,77,20,40,25,45,25,20,20,93,78,25,85,93,71,20,65,87,0,0,0,0,23,97,187,97
15,Andrew,Billings,5,99,78,280,DL,80,17,40,39,45,14,8,10,85,82,9,86,84,82,50,72,83,1,0,0,1,24,78,44,77
16,Geno,Atkins,5,97,79,280,DL,81,38,40,45,45,30,25,15,88,80,20,88,80,80,60,70,84,1,0,0,0,24,86,313,80
17,Sam,Hubbard,5,94,74,340,DL,66,17,40,28,45,25,20,20,78,81,25,87,74,61,18,82,75,1,0,0,0,28,86,280,73
18,Nick,Virgil,5,59,75,251,LB,79,49,65,73,45,16,14,9,72,91,12,89,88,75,79,85,88,0,1,1,0,38,79,65,93
19,Preston,Brown,5,52,74,255,LB,82,29,60,55,45,10,25,21,79,89,10,89,87,76,73,93,93,1,0,1,0,23,85,13,59
20,Germaine,Pratt,5,57,73,248,LB,76,32,59,61,45,22,12,10,89,91,22,96,87,75,75,95,93,1,0,0,0,26,88,289,62
21,Jordan,Evans,5,50,72,255,LB,83,20,62,59,45,15,22,25,78,90,22,93,76,77,63,63,90,0,0,0,0,37,80,122,58
22,Dre,Kirkpatrick,5,27,70,180,DB,86,68,65,76,45,20,14,18,44,58,24,88,93,92,86,50,89,1,0,0,1,28,80,113,72
23,Tony,McRae,5,29,76,225,DB,84,54,66,66,45,30,20,15,68,65,30,95,81,87,77,84,88,1,0,0,0,25,87,3,98
24,Shawn,Williams,5,36,71,197,DB,91,53,63,72,45,21,15,16,57,71,25,87,69,87,77,65,95,0,1,1,0,37,80,154,58
25,Jessie,Bates III,5,30,74,190,DB,87,62,58,60,50,15,14,12,36,56,14,85,85,85,70,73,95,0,1,1,1,22,85,185,91
26,William,Jackson III,5,22,72,210,DB,89,61,65,61,45,25,26,19,78,82,35,94,60,83,74,85,87,1,1,1,1,23,95,32,57
27,BW,Webb,5,23,72,201,DB,91,61,65,62,45,35,25,25,60,69,35,78,59,83,78,50,89,1,0,0,1,23,79,16,74
28,Randy,Bullock,1,4,70,190,K,75,12,40,16,17,20,91,87,25,25,28,90,84,52,17,12,92,0,0,1,0,25,92,4,88
29,Kevin,Huber,1,10,73,214,P,69,12,35,31,21,40,88,86,14,22,42,95,80,64,22,12,90,0,0,1,0,23,86,157,53
30,Paul,Dawson,5,47,72,240,LB,80,48,40,73,45,30,20,20,72,75,27,92,64,87,71,86,86,0,0,0,0,22,89,172,94
31,Marquis,Flowers,5,53,75,250,LB,88,38,65,70,45,27,14,12,62,69,25,91,62,85,72,69,85,0,0,0,1,25,88,192,86
32,Nick,Vigil,1,59,74,239,LB,81,24,29,60,26,24,19,10,72,83,33,79,67,82,61,80,71,0,0,0,1,26,89,31,83
33,Rex,Burkhead,1,33,70,210,RB,80,75,77,82,59,33,28,26,20,44,34,87,68,88,16,20,96,1,0,0,0,28,73,298,88
34,Margus,Hunt,1,99,80,290,DL,84,52,55,60,45,60,45,40,73,75,70,85,60,77,52,83,79,1,0,0,0,26,95,42,80
35,Will,Clarke,5,93,78,291,DL,79,30,35,38,45,17,21,20,78,76,17,87,61,72,50,73,78,1,0,0,0,23,82,222,66
36,Ryan,Hewitt,1,89,76,254,RB,76,61,77,80,71,18,19,19,29,39,19,93,76,78,18,25,85,1,0,0,0,23,84,248,72
37,A.J.,McCarron,1,5,75,210,QB,74,44,69,35,12,78,15,12,21,20,84,94,71,64,13,12,92,0,1,0,0,27,91,177,57
38,Cedric,Peerman,5,30,70,212,RB,90,72,75,74,38,21,14,14,32,32,20,84,74,89,24,20,88,0,0,0,1,25,93,242,57
39,Brandon,Thompson,5,98,74,305,DL,64,13,40,25,45,35,26,18,76,78,29,90,64,58,18,88,66,0,0,1,0,24,79,84,79
40,Domata,Peko,3,94,75,325,DL,57,14,40,25,59,16,33,30,73,71,27,92,80,57,18,71,73,0,0,1,0,29,82,77,96
41,William,Jackson III,5,22,72,189,DB,89,34,41,63,33,32,13,23,43,78,25,75,55,93,76,54,86,0,0,1,1,38,65,259,100
42,Mario,Alford,5,15,69,180,WR,93,66,53,76,33,42,21,18,30,35,47,91,52,95,19,15,88,0,1,0,0,36,72,256,69
43,Jake,Fisher,1,74,78,306,OL,72,24,56,54,81,15,19,19,26,24,22,83,65,68,13,25,87,0,0,0,0,25,94,32,60
44,Taylor,Mays,5,20,75,225,DB,88,50,64,49,45,25,20,20,61,64,25,88,58,91,69,86,86,1,1,0,0,24,94,9,71
45,Cedric,Ogbuehi,5,70,77,306,OL,73,11,25,25,80,30,25,25,15,25,30,74,67,70,18,12,88,0,0,0,1,22,79,201,54
46,Christian,Westerman,1,63,75,298,OL,57,38,27,29,86,29,24,23,30,24,24,91,56,58,13,27,80,0,1,0,0,24,95,99,84
47,Derron,Smith,5,40,70,200,DB,85,66,64,76,45,42,20,20,50,54,50,81,55,85,76,75,89,0,0,0,0,27,84,214,66
48,Tyler,Kroft,1,81,77,246,TE,81,65,65,80,68,35,22,21,42,35,40,85,53,80,18,25,84,0,0,0,1,27,92,10,75
49,Andrew,Billings,5,75,73,311,DL,64,26,27,20,20,27,27,27,79,75,10,89,51,61,18,72,78,0,1,0,0,27,83,216,80
50,T.J.,Johnson,1,60,76,300,OL,60,15,45,45,75,30,25,25,20,35,30,92,65,52,14,20,80,1,0,0,0,28,90,67,58
51,Clark,Harris,1,46,77,250,OL,74,38,65,67,69,22,29,18,44,39,35,88,68,69,30,12,80,1,0,0,1,32,71,209,79
52,C.J.,Uzomah,3,87,77,271,TE,85,66,71,65,63,45,22,15,49,54,49,88,50,79,15,12,84,0,0,0,0,26,79,78,90
