INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Dak,Prescott,1,4,77,237,QB,88,58,57,23,26,88,12,32,23,35,91,89,85,82,13,13,87,0,0,1,1,28,92,315,71
1,Ezekiel,Elliott,1,21,72,220,RB,96,95,81,90,50,22,12,13,26,32,24,96,95,97,16,20,97,1,0,0,0,25,98,311,77
2,Tony,Pollard,1,20,66,190,RB,83,83,88,79,30,14,14,11,20,20,11,83,84,86,16,12,90,0,0,0,1,28,86,310,92
3,Amari,Cooper,5,19,74,218,WR,89,79,75,92,48,46,25,20,57,35,72,94,91,87,21,35,93,1,0,0,1,31,97,238,98
4,Michael,Gallup,5,13,71,206,WR,85,73,68,81,48,22,25,15,40,27,27,87,77,86,14,15,94,1,0,0,1,26,78,249,56
5,CeeDee,Lamb,5,88,75,212,WR,83,72,72,80,53,25,19,15,40,39,29,87,81,87,21,12,88,1,0,1,0,27,94,127,73
6,Cedrick,Wilson,5,11,72,203,WR,92,67,66,76,41,16,21,21,35,25,24,86,72,91,14,15,94,0,1,0,0,29,91,76,96
7,Noah,Brown,5,85,73,198,WR,92,73,64,79,42,26,41,31,25,21,25,90,56,92,20,15,91,0,0,0,0,27,91,65,71
8,Blake,Bell,1,80,77,250,TE,79,70,81,83,69,35,22,22,49,36,42,92,81,82,19,12,90,0,0,1,0,33,75,262,64
9,Tyron,Smith,5,77,76,328,OL,67,11,40,58,87,10,13,6,48,48,10,76,89,66,15,24,88,0,0,0,1,30,78,159,71
10,Connor,Williams,1,52,78,317,OL,80,54,67,62,84,56,25,22,61,60,70,93,82,77,16,60,90,0,1,0,0,31,77,108,71
11,Travis,Frederick,1,72,75,295,OL,73,12,40,40,83,28,18,22,60,57,22,90,87,71,30,55,81,1,1,1,1,27,76,139,76
12,Zack,Martin,5,70,75,315,OL,60,11,40,22,81,26,33,36,16,35,33,94,83,64,10,20,84,0,0,0,0,26,93,99,53
13,La'el,Collins,5,71,77,335,OL,71,13,30,35,81,35,22,20,35,40,9,77,77,58,12,25,68,1,1,1,1,31,65,147,69
14,Taco,Charlton,5,97,76,300,DL,78,29,35,32,45,21,25,21,89,94,19,93,85,75,31,68,88,0,0,0,0,27,79,212,79
15,Maliek,Collins,5,96,75,279,DL,84,35,40,35,45,16,15,24,87,83,28,90,82,84,30,81,84,1,0,0,0,28,83,110,55
16,Antwuan,Woods,5,99,74,315,DL,68,30,45,42,45,21,25,21,93,88,19,92,83,63,28,78,79,1,0,0,0,27,92,37,98
17,Dorance,Armstrong,5,92,76,264,DL,82,56,65,66,45,14,16,17,71,79,12,94,87,77,62,75,85,0,0,0,0,26,83,24,77
18,Sean,Lee,5,50,72,240,LB,89,35,55,55,45,25,14,22,83,86,24,87,84,81,59,90,90,1,0,0,0,27,89,306,93
19,Jaylon,Smith,5,54,74,241,LB,85,36,60,61,45,25,20,20,71,84,25,96,75,82,70,90,94,1,1,0,1,26,93,161,76
20,Joe,Thomas,5,48,73,236,LB,83,35,55,54,45,25,14,22,72,83,24,74,74,86,71,73,87,0,0,0,0,23,87,34,80
21,Leighton,Vander Esch,5,55,77,241,LB,78,36,50,55,45,40,29,19,67,78,27,88,76,75,61,76,87,0,1,0,0,24,90,263,51
22,Anthony,Brown,5,30,72,204,DB,85,58,60,68,45,20,22,19,73,77,21,96,88,89,85,76,97,1,0,0,0,31,76,311,75
23,Byron,Jones,5,31,70,195,DB,84,56,65,62,45,22,17,19,66,72,21,92,77,87,78,75,90,1,1,0,0,24,75,261,83
24,Xavier,Woods,5,25,70,185,DB,88,69,53,66,45,35,25,25,38,57,35,89,79,92,76,45,96,0,1,1,1,25,94,321,83
25,Jeff,Heath,5,38,73,205,DB,91,54,65,53,45,25,24,21,48,71,29,84,62,90,77,67,92,1,0,1,1,23,91,106,54
26,Chidobe,Awuzie,5,24,73,205,DB,90,64,64,60,45,19,34,17,38,66,22,84,75,85,77,55,88,0,0,0,1,28,77,186,93
27,Jourdan,Lewis,1,27,70,200,DB,86,49,66,47,45,25,20,20,49,70,25,90,69,82,75,77,83,0,1,1,1,26,83,191,57
28,Brett,Maher,1,2,69,190,K,75,12,42,25,17,24,93,83,26,40,32,85,79,66,17,25,87,0,0,0,0,30,81,313,61
29,Chris,Jones,1,6,74,221,P,69,12,40,12,8,45,85,88,23,23,45,87,88,60,19,12,89,0,1,0,1,29,93,312,79
30,Sean,Lee,5,50,75,251,LB,82,36,54,56,45,40,20,19,67,84,34,89,63,74,61,74,85,1,1,0,0,27,74,284,93
31,Cooper,Rush,1,10,76,224,QB,72,40,58,32,12,86,15,12,22,28,87,71,84,64,22,12,95,1,0,1,0,25,80,309,60
32,Haloti,Ngata,5,53,75,279,DL,81,35,40,35,45,16,15,24,77,73,28,90,72,74,30,81,74,0,1,0,1,25,94,111,89
33,Robert,Quinn,5,58,75,251,DL,82,36,54,56,45,40,20,19,67,84,34,89,63,74,61,74,85,0,0,0,1,26,84,71,77
34,Noah,Brown,5,16,71,188,WR,90,70,60,74,45,35,22,24,35,25,40,92,62,90,21,15,91,0,0,0,0,23,82,8,56
