INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Drew,Lock,1,3,79,244,QB,87,52,72,22,12,83,29,37,23,18,89,87,87,74,13,13,88,0,0,0,1,23,90,244,80
1,Melvin,Gordon,5,25,68,224,RB,97,96,85,88,57,21,10,11,22,35,25,96,96,94,23,20,93,1,0,0,0,34,98,38,63
2,Phillip,Lindsay,5,30,70,195,RB,86,79,79,79,51,24,22,19,15,31,25,80,76,86,14,12,89,1,0,1,1,22,87,201,74
3,Jerry,Jeudy,5,10,71,180,WR,92,70,69,94,32,35,30,30,35,25,35,86,94,94,19,12,91,0,0,1,0,27,77,178,68
4,Courtland,Sutton,5,14,75,229,WR,90,80,66,82,56,33,14,22,45,22,35,89,86,94,17,15,90,0,0,0,0,28,90,6,73
5,Tim,Patrick,5,81,73,212,WR,93,72,69,80,50,31,25,30,52,42,30,82,70,86,21,15,85,1,0,0,1,24,84,162,68
6,Daesean,Hamilton,5,17,71,180,WR,82,68,78,82,38,35,18,15,37,24,38,87,77,93,17,15,85,1,1,0,0,31,82,332,74
7,K.J.,Hamler,5,13,74,215,WR,90,68,70,79,57,25,19,19,42,35,32,82,48,88,21,15,88,1,0,0,0,24,84,21,55
8,Noah,Fant,5,87,77,255,TE,85,73,72,79,71,21,19,12,48,40,24,88,73,82,14,25,84,0,0,0,0,22,84,322,87
9,Garret,Bolles,5,72,77,310,OL,63,13,40,20,89,40,35,8,24,28,26,80,87,71,12,20,88,0,0,0,0,33,75,282,94
10,Dalton,Risner,5,66,78,312,OL,72,12,35,25,91,20,15,15,35,54,22,84,72,72,11,40,92,0,0,0,1,25,91,245,61
11,Connor,McGovern,1,60,75,300,OL,60,13,22,25,90,25,20,20,40,35,22,85,69,52,14,20,80,1,1,1,0,26,89,102,54
12,Ronald,Leary,5,65,76,309,OL,64,11,35,25,87,20,20,20,25,36,25,88,66,50,12,18,80,0,0,0,0,22,96,45,86
13,Ja'Wuan,James,1,70,76,306,OL,57,25,21,23,86,16,10,23,29,27,22,96,55,53,12,26,80,1,0,1,1,24,91,206,80
14,Derek,Wolfe,1,95,77,285,DL,73,20,40,33,45,19,10,10,96,89,20,77,86,69,29,72,79,0,0,1,1,31,79,269,85
15,Shelby,Harris,5,96,75,335,DL,67,13,40,22,45,18,23,17,84,84,25,84,74,65,17,85,76,0,1,1,0,24,95,229,50
16,Mike,Purcell,5,98,74,305,DL,58,14,40,20,45,32,24,20,89,80,25,91,81,59,14,74,78,1,0,1,0,28,73,56,80
17,Adam,Gotsis,1,99,76,285,DL,73,17,55,30,45,19,17,22,72,80,28,74,77,64,31,92,82,1,0,1,1,22,93,185,57
18,Bradley,Chubb,5,55,75,250,LB,85,42,65,47,45,18,21,15,95,94,19,93,92,87,69,89,92,0,0,1,0,25,85,159,78
19,Josey,Jewell,5,47,73,250,LB,83,35,55,67,45,25,20,20,86,93,25,89,91,81,76,80,97,1,0,1,0,37,84,223,92
20,Corey,Nelson,5,56,73,258,LB,81,32,65,46,45,18,21,15,78,73,19,86,89,85,64,85,81,1,0,0,1,28,87,252,93
21,Von,Miller,5,58,74,250,LB,81,29,47,58,45,18,27,24,86,76,15,88,83,74,67,79,88,1,1,1,1,23,98,34,66
22,Chris,Harris,5,25,70,199,DB,89,50,60,74,45,32,25,25,54,60,35,88,97,96,94,60,95,0,0,1,0,25,76,136,57
23,Isaac,Yiadom,5,26,73,205,DB,87,67,74,83,45,40,25,25,56,61,40,87,87,92,85,67,94,0,0,0,1,26,77,185,66
24,Kareem,Jackson,5,22,71,214,DB,85,52,60,55,45,22,17,19,73,71,21,89,82,88,78,91,86,1,0,0,0,33,87,136,98
25,Justin,Simms,5,31,71,194,DB,94,52,55,69,45,21,11,12,48,53,15,87,81,91,85,72,92,0,0,1,0,25,91,274,87
26,Bryce,Callahan,5,29,70,200,DB,86,46,55,63,45,12,26,15,67,76,17,90,77,82,76,91,98,1,1,0,0,26,75,7,83
27,De'Vante,Bausby,5,41,71,198,DB,91,59,64,59,45,35,20,20,41,71,35,91,62,88,75,70,95,0,0,0,0,31,72,318,82
28,Brandon,McManus,1,8,75,201,K,78,19,40,35,17,33,97,89,29,24,35,95,84,75,16,29,75,0,0,0,1,23,96,284,92
29,Colby,Wadman,1,6,75,205,P,66,11,47,22,15,42,88,88,10,25,42,92,85,60,17,12,88,0,0,0,0,24,79,293,53
30,Corey,Nelson,5,52,73,226,LB,85,18,62,55,45,28,26,26,68,79,26,82,54,82,65,75,89,1,0,0,0,28,91,91,80
31,Shane,Ray,5,56,75,245,LB,83,46,60,52,45,12,15,17,74,74,24,89,65,82,53,88,83,1,1,0,0,27,93,264,83
32,Sylvester,Williams,5,92,74,313,DL,70,17,44,25,45,19,15,14,81,75,29,93,75,65,20,79,76,0,1,1,0,27,83,173,81
33,Mark,Sanchez,3,6,74,225,QB,71,50,47,65,15,77,15,18,19,19,86,84,74,70,16,12,94,0,0,0,0,24,94,137,50
34,DeVier,Posey,5,15,73,210,WR,91,64,64,75,42,30,20,18,52,32,35,85,59,88,20,12,88,1,0,0,0,35,78,191,79
35,Brandian,Ross,5,27,73,191,DB,85,59,55,61,45,40,25,25,42,53,40,93,74,84,74,51,90,1,0,0,0,37,77,299,83
36,Juwan,Thompson,5,40,71,225,RB,86,77,82,72,47,25,20,22,45,51,32,94,61,87,50,44,85,1,1,0,0,25,81,167,50
37,Justin,Simmons,1,31,74,202,DB,87,28,36,56,18,14,23,29,59,82,27,85,53,88,69,73,95,0,0,0,0,33,85,203,98
38,Shiloh,Keo,3,33,71,205,DB,81,58,69,58,45,17,17,21,67,77,20,90,66,75,69,89,91,1,0,1,0,37,78,230,53
39,Darius,Kilgo,5,98,75,319,DL,67,24,45,37,45,21,25,25,88,76,19,88,51,71,23,74,73,0,0,0,0,27,75,1,97
40,Devontae,Booker,5,20,71,219,RB,92,84,70,68,26,14,39,19,28,15,32,89,53,87,15,21,75,0,1,0,0,23,80,205,80
41,William,Parks,1,34,72,211,DB,83,36,54,53,23,29,13,29,62,75,17,84,61,78,66,76,81,0,1,1,0,24,90,5,59
42,Jeff,Heuerman,1,82,77,255,TE,79,67,74,77,68,35,22,21,45,35,40,84,56,74,18,25,89,0,0,0,0,24,96,307,55
43,Michael,Schofield,1,79,78,301,OL,71,12,29,45,72,24,20,21,25,35,17,94,75,56,12,15,85,1,0,1,0,33,68,33,71
44,Andy,Janovich,1,32,73,230,RB,82,64,70,56,65,24,34,38,38,39,12,90,55,72,15,38,73,0,0,0,1,24,97,177,51
45,Ty,Sambrailo,1,74,77,315,OL,60,11,44,35,75,25,40,34,15,39,25,90,69,59,14,35,72,0,0,0,0,23,80,322,74
46,Sam,Brenner,1,65,74,310,OL,69,11,40,40,77,28,18,22,60,55,22,89,61,62,30,35,78,0,1,0,1,28,76,58,90
47,Adam,Gotsis,1,99,76,287,DL,69,18,18,25,23,28,28,14,78,73,17,70,55,59,29,74,71,1,0,0,1,22,95,206,88
48,Trevor,Siemian,1,3,75,220,QB,74,56,66,40,18,73,20,15,25,25,79,78,52,75,7,10,90,0,0,1,0,28,87,237,72
49,Garrett,Graham,1,80,75,243,TE,79,63,69,75,54,32,65,55,52,30,36,87,69,74,13,25,85,1,1,1,0,33,75,217,78
50,James,Ferentz,1,53,74,285,OL,66,15,40,26,77,27,24,20,36,40,15,90,52,58,14,12,84,1,0,0,0,28,87,38,70
51,Lorenzo,Doss,5,38,71,187,DB,89,59,62,79,45,30,20,15,30,36,30,92,50,83,77,29,87,0,0,1,1,26,77,54,71
52,Robert,Myers,5,70,77,330,OL,58,18,30,35,74,11,22,20,25,32,19,86,46,48,12,20,69,0,0,0,0,23,89,169,83
