INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Matthew,Stafford,1,9,75,234,QB,86,47,63,26,26,93,28,25,28,28,92,84,88,71,16,12,91,0,0,0,0,23,93,128,80
1,D'Andre,Swift,5,32,69,200,RB,97,96,79,89,50,32,27,25,19,28,33,95,94,94,18,20,93,0,0,0,0,25,95,35,98
2,Adrian,Peterson,5,28,71,220,RB,81,94,86,55,56,25,20,22,42,45,32,82,77,81,14,12,92,0,1,0,0,26,88,232,80
3,Kenny,Golladay,5,19,70,195,WR,88,82,75,93,26,29,19,19,35,19,27,89,91,95,20,15,95,1,0,1,0,36,75,59,69
4,Marvin,Jones,5,11,74,198,WR,88,73,72,88,39,30,25,24,35,32,35,80,88,89,18,12,89,1,0,1,0,30,82,84,59
5,Danny,Amendola,5,80,69,188,WR,84,70,62,81,44,49,22,24,45,25,62,90,83,92,21,15,88,0,1,0,0,23,78,11,75
6,Mohamed,Sanu,5,12,74,200,WR,90,68,66,79,50,40,30,22,36,39,44,90,73,89,20,12,89,1,0,1,0,27,94,239,98
7,Quintez,Cephus,5,87,72,200,WR,89,69,71,75,44,65,30,30,44,25,70,75,71,87,18,12,82,1,0,1,1,24,81,21,90
8,TJ,Hockenson,5,88,77,275,TE,75,66,72,74,68,40,39,37,45,35,40,89,81,74,13,25,85,1,0,1,1,26,80,250,68
9,Taylor,Decker,1,68,77,313,OL,65,17,40,35,88,30,25,25,20,32,30,93,86,67,14,24,94,0,0,0,0,25,87,171,82
10,Kenny,Wiggins,1,79,76,260,OL,65,43,70,52,89,24,23,13,48,55,25,92,83,62,22,65,77,1,0,1,0,24,82,241,65
11,Frank,Ragnow,1,77,78,340,OL,56,15,40,40,91,30,25,25,20,30,30,79,80,51,14,20,84,0,0,0,0,30,90,263,55
12,Graham,Glasgow,5,60,75,330,OL,52,13,45,32,83,19,26,20,21,31,25,97,80,56,23,20,87,0,0,0,1,26,87,221,75
13,Ricky,Wagner,5,71,75,323,OL,65,11,25,20,86,20,20,20,20,35,20,92,68,53,14,20,77,0,0,0,0,26,91,135,71
14,Romeo,Okwara,3,95,76,340,DL,62,14,40,60,45,40,32,17,79,90,29,92,95,68,35,85,85,0,1,0,0,36,71,19,52
15,Damon,Harrison,5,98,78,278,DL,83,45,51,45,45,25,44,40,82,80,33,94,76,81,41,90,83,1,0,0,0,24,84,209,75
16,A'Shawn,Robinson,5,91,74,270,DL,68,27,35,45,45,25,24,24,77,70,25,90,81,73,43,70,85,0,0,0,0,26,88,136,55
17,Trey,Flowers,5,90,75,294,DL,73,13,40,45,45,14,10,13,73,74,21,85,74,69,28,74,73,1,0,1,1,29,73,26,54
18,Devon,Kennard,5,42,74,242,LB,83,37,60,62,45,25,20,20,84,91,25,96,82,77,72,80,91,0,1,0,0,24,85,260,76
19,Jahlani,Tavai,3,51,74,235,LB,83,40,65,75,45,19,27,23,73,96,20,95,96,84,73,75,97,1,0,1,1,33,88,60,96
20,Jarrad,Davis,5,40,73,246,LB,84,39,64,68,45,35,20,22,73,85,30,95,67,75,65,89,91,0,1,0,0,22,99,30,98
21,Christian,Jones,5,52,73,231,LB,89,55,64,71,45,30,20,20,64,75,25,84,68,87,74,87,88,1,0,0,1,28,74,84,67
22,Darius,Slay,5,23,73,192,DB,94,68,64,73,45,29,25,21,42,58,36,92,83,93,92,74,94,0,0,1,0,23,88,176,74
23,Rashaan,Melvin,5,29,72,206,DB,85,50,56,79,45,30,17,22,65,73,18,88,86,85,77,73,94,1,0,0,0,24,94,0,83
24,Quandre,Diggs,5,28,69,198,DB,87,53,64,65,45,40,25,25,47,57,40,92,69,84,81,68,90,1,0,0,0,35,76,132,100
25,Tracy,Walker,5,21,71,200,DB,87,54,50,62,45,25,22,21,62,67,24,87,71,87,74,90,84,1,0,0,0,26,93,42,55
26,Justin,Coleman,5,27,72,215,DB,86,56,66,65,45,35,20,15,53,69,30,95,68,88,75,69,92,1,0,1,0,28,76,238,92
27,Jamal,Agnew,5,39,70,192,DB,89,55,54,49,45,35,25,25,41,60,35,89,71,90,73,56,92,1,0,0,0,24,97,72,77
28,Matt,Prater,1,5,70,195,K,77,10,40,35,20,45,96,88,10,20,45,85,84,47,18,12,75,0,0,0,0,31,74,27,75
29,Sam,Martin,1,6,73,210,P,74,13,48,45,23,46,96,88,10,24,44,92,79,68,18,12,85,0,0,1,1,25,89,294,86
30,Josh,Bynes,5,57,73,240,LB,76,32,55,40,45,10,12,11,84,86,16,84,76,76,65,81,85,0,1,1,0,25,78,117,75
31,Kyle,Van Noy,3,53,75,252,LB,81,46,65,72,45,19,27,23,73,82,20,87,62,83,69,66,95,1,1,1,0,26,87,22,79
32,Jerry,Franklin,5,58,73,245,LB,82,53,60,71,45,6,20,20,72,82,25,95,65,72,61,80,87,1,0,0,0,28,83,290,57
33,T.J.,Jones,5,13,72,185,WR,89,68,71,80,48,28,20,22,35,34,21,94,54,92,21,12,91,0,1,1,0,27,82,254,91
34,Don,Carey,5,26,71,203,DB,85,52,56,56,45,15,12,10,64,64,12,87,68,87,72,74,90,0,1,1,0,24,91,231,79
35,Mike,Burton,1,46,72,220,RB,81,61,70,73,71,27,14,14,28,45,30,91,79,73,13,60,79,1,0,1,1,36,75,8,64
36,A'Shawn,Robinson,5,91,76,307,DL,60,39,12,27,29,12,20,24,79,80,17,66,58,76,18,72,82,1,0,0,0,26,90,0,53
37,Johnson,Bademosi,5,41,72,200,DB,91,58,71,64,45,41,38,29,55,67,42,93,66,88,72,66,85,1,1,1,0,26,90,204,58
38,Taylor,Decker,1,68,79,310,OL,53,33,11,25,89,24,17,25,28,24,27,83,62,58,13,26,92,1,0,0,0,26,88,188,94
39,Devin,Taylor,5,98,79,275,DL,80,32,55,44,45,20,15,15,73,72,22,91,68,71,40,68,72,0,0,1,0,26,85,184,55
40,Ameer,Abdullah,5,21,69,205,RB,87,80,67,73,38,31,23,21,30,30,35,85,71,90,15,21,85,1,1,1,0,28,92,284,53
41,Zach,Zenner,5,34,71,223,RB,86,75,87,65,51,29,25,14,40,39,31,88,61,78,17,20,87,0,0,1,0,23,90,59,64
42,Caraun,Reid,5,97,74,306,DL,75,19,40,40,45,26,25,25,78,73,26,86,66,67,23,72,72,0,0,0,1,23,87,238,72
43,Michael,Ola,5,78,76,312,OL,62,12,40,25,80,20,20,11,16,29,21,92,70,61,15,20,77,1,0,0,0,27,88,208,100
44,Alex,Carter,5,33,72,196,DB,89,56,54,51,45,22,25,25,57,68,22,84,50,85,77,55,91,0,1,1,0,22,96,7,61
