INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Deshaun,Watson,1,4,80,240,QB,93,85,54,25,21,90,26,15,23,23,92,93,92,77,13,15,90,0,0,0,0,27,96,63,88
1,Duke,Johnson,5,25,70,224,RB,93,96,88,84,53,33,19,15,35,40,35,93,96,91,20,20,97,0,1,0,0,28,97,291,50
2,Carlos,Hyde,5,23,74,222,RB,85,81,87,74,45,30,25,25,11,29,30,83,79,81,18,20,88,0,0,0,0,31,86,151,87
3,DeAndre,Hopkins,5,10,73,207,WR,91,76,79,97,42,30,20,20,45,42,35,94,96,91,34,35,93,0,0,0,1,29,77,14,72
4,Will,Fuller,5,15,72,202,WR,94,66,68,80,39,36,30,30,35,35,42,87,73,91,19,12,92,1,0,1,1,24,96,212,52
5,KeKe,Coutee,5,16,74,211,WR,91,71,68,86,53,28,22,20,35,32,35,87,56,82,20,15,88,1,0,0,0,23,87,0,65
6,Kenny,Stills,5,12,72,215,WR,88,74,72,77,45,35,30,30,44,52,35,92,59,83,26,45,87,0,1,0,0,26,76,42,91
7,DeAndre,Carter,5,14,72,186,WR,96,58,65,79,17,28,29,11,40,38,18,76,58,95,16,16,95,1,0,0,1,23,92,50,72
8,Darren,Fells,1,87,77,265,TE,81,62,75,70,81,30,20,20,54,33,35,96,59,73,20,12,90,0,0,0,0,35,85,264,87
9,Laremy,Tunsil,5,78,76,303,OL,65,31,35,66,90,26,25,25,30,50,26,93,91,65,18,30,89,1,0,1,0,37,64,103,58
10,Tytus,Howard,5,71,78,313,OL,70,12,40,27,88,6,15,12,25,32,11,85,86,68,13,20,74,0,0,0,1,24,95,299,86
11,Nick,Martin,3,66,76,307,OL,70,15,40,35,87,24,17,35,25,31,19,94,71,68,16,35,89,0,0,0,1,22,99,287,74
12,Zach,Fulton,1,73,77,315,OL,64,11,40,22,88,20,22,20,25,45,22,90,71,52,11,35,87,0,0,0,0,29,72,192,59
13,Seantrel,Henderson,5,76,76,306,OL,65,12,40,45,86,30,25,25,15,33,30,85,68,66,12,12,79,0,0,0,0,26,78,151,72
14,J.J.,Watt,1,99,77,289,DL,78,44,67,78,45,19,10,10,98,95,20,97,94,77,40,87,95,0,1,0,0,23,83,179,61
15,D.J.,Reader,5,98,74,325,DL,62,21,54,60,45,44,11,10,91,94,56,89,94,60,26,68,74,0,0,1,0,25,78,71,51
16,Brandon,Dunn,5,92,77,305,DL,72,15,40,26,45,14,8,12,82,80,21,84,64,68,20,65,67,0,0,0,0,25,91,110,72
17,Angelo,Blackson,5,97,75,310,DL,74,13,40,30,45,25,25,21,79,79,20,80,61,63,23,82,69,1,0,1,1,26,94,12,69
18,Whitney,Mercilus,1,59,75,249,LB,80,59,60,67,45,40,25,25,77,81,28,94,86,86,69,89,96,0,1,1,1,35,82,132,66
19,Zach,Cunningham,5,41,76,246,LB,84,34,54,49,45,25,20,20,81,89,25,94,73,80,69,88,84,1,0,0,0,26,94,206,76
20,Benardrick,McKinney,5,55,76,258,LB,81,37,49,39,45,30,25,15,90,87,20,95,84,74,64,85,78,1,1,1,1,23,80,149,56
21,Brennan,Scarlett,5,57,73,239,LB,79,31,54,54,45,25,20,20,78,87,25,86,75,73,70,79,92,1,0,1,0,24,96,138,57
22,Johnathan,Joseph,5,24,71,188,DB,89,50,60,62,45,40,10,11,42,56,27,86,93,90,94,40,96,0,1,0,1,25,76,264,51
23,Xavier,Crawford,5,28,71,208,DB,88,57,70,60,45,25,25,25,43,69,25,90,77,83,78,70,91,0,0,0,0,22,91,105,74
