INDEX,FIRST,LAST,SKIN,NUMBER,Height,Weight,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Kirk,Cousins,1,8,75,202,QB,77,49,58,38,26,90,21,35,26,26,87,87,80,70,19,12,88,0,0,0,1,32,95,300,82
1,Dalvin,Cook,5,33,70,210,RB,92,89,87,67,59,30,25,25,11,25,35,84,86,94,18,30,92,1,0,1,0,25,98,317,99
2,Alexander,Mattison,5,25,71,220,RB,86,81,92,68,43,40,25,22,35,35,35,90,79,80,12,16,87,0,0,0,1,22,99,240,99
3,Adam,Thielen,1,19,74,200,WR,90,79,73,93,35,32,21,20,37,25,34,92,93,89,22,15,93,1,0,0,0,30,90,327,56
4,Justin,Jefferson,5,18,73,202,WR,91,76,74,85,45,27,15,14,35,30,25,89,77,89,16,15,85,1,1,1,1,21,99,140,58
5,Chad,Beebe,1,12,70,183,WR,86,66,64,79,50,33,14,22,35,32,40,80,72,87,17,15,83,1,1,0,0,26,82,214,68
6,Bisi,Johnson,4,81,72,204,WR,89,69,71,80,29,16,14,12,40,23,13,90,74,87,16,16,79,0,0,0,1,23,76,326,94
7,KJ,Osborn,5,17,71,203,WR,89,72,74,79,33,26,14,11,40,23,17,90,69,83,16,16,87,1,0,1,0,23,95,41,86
8,Kyle,Rudolph,1,82,78,265,TE,77,50,80,91,60,24,26,20,45,42,25,87,90,80,14,20,95,0,0,1,0,30,95,85,89
9,Riley,Reiff,1,71,78,305,OL,64,31,40,65,77,30,25,25,25,37,30,92,86,62,18,20,94,0,0,0,0,31,92,3,51
10,Ezra,Cleveland,1,72,78,311,OL,75,11,34,29,73,30,19,16,26,26,17,89,71,75,11,20,87,0,0,1,0,22,90,81,77
11,Garrett,Bradbury,1,56,75,305,OL,75,13,40,56,78,15,16,16,35,35,14,86,86,73,12,12,88,0,0,0,0,25,84,179,95
12,Dakota,Dozier,1,78,76,312,OL,56,13,45,45,65,22,22,21,40,45,30,90,75,52,18,55,82,0,1,0,1,29,94,295,58
13,Brian,O'Neill,1,75,79,297,OL,79,13,51,26,80,16,13,13,64,67,14,93,84,78,12,65,89,0,1,0,1,25,84,16,74
14,Danielle,Hunter,5,99,77,252,DL,88,23,40,35,45,22,33,29,90,83,30,90,94,85,33,82,85,1,0,0,0,25,95,112,65
15,Jaleel,Johnson,5,94,75,316,DL,66,39,40,45,45,16,12,11,68,80,15,93,70,71,29,76,74,0,0,1,0,26,95,233,87
16,Shamar,Stephen,5,93,77,309,DL,63,19,40,35,45,18,23,17,67,81,25,90,77,63,13,70,74,0,1,0,1,29,80,186,92
17,Yannick,Ngakoue,5,91,74,246,DL,82,49,60,46,45,19,14,15,86,80,20,89,88,84,53,81,85,0,1,0,1,25,95,325,66
18,Anthony,Barr,5,55,77,255,LB,87,53,70,70,45,10,12,10,76,86,14,85,81,88,65,86,89,1,0,0,0,28,87,176,71
19,Eric,Kendricks,4,54,72,232,LB,84,34,60,70,45,30,20,20,82,90,30,83,94,82,77,85,92,1,1,0,0,28,87,255,59
20,Eric,Wilson,5,50,73,230,LB,86,32,50,61,45,40,20,21,65,82,33,87,68,85,57,72,88,1,0,1,1,26,84,102,53
21,Hardy,Nickerson,5,47,72,235,LB,80,36,59,63,45,30,20,20,61,84,30,90,73,78,54,83,89,1,1,0,0,26,95,298,86
22,Holton,Hill,5,24,74,196,DB,89,50,54,56,45,23,21,24,48,67,22,85,70,89,70,66,90,0,1,0,1,23,86,115,91
23,Mike,Hughes,5,21,70,189,DB,89,63,72,75,45,30,19,18,48,52,35,89,73,94,72,66,94,0,0,1,0,23,92,45,94
