INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Jarrett,Stidham,1,26,65,215,QB,40,40,50,30,40,40,5,5,8,25,40,85,75,75,25,12,75,0,0,0,0,23,75,306,64
1,Sony,Michel,1,26,68,195,RB,96,95,84,84,60,14,14,11,20,29,11,95,95,96,16,12,93,0,0,1,0,31,98,306,64
2,James,White,5,28,72,250,RB,87,81,87,90,54,32,20,22,55,56,39,89,88,83,16,25,84,0,0,0,1,26,92,196,57
3,Antonio,Brown,1,17,70,200,WR,84,78,75,93,39,65,18,17,45,41,76,88,94,91,46,20,95,0,0,1,0,30,77,305,73
4,Julian,Edelman,1,11,71,195,WR,82,72,66,89,38,28,28,24,35,25,31,81,93,93,17,15,97,0,1,0,1,26,80,302,51
5,Josh,Gordon,5,10,73,220,WR,84,66,80,79,47,31,15,19,57,40,23,88,76,88,17,15,87,1,1,0,1,28,83,294,100
6,Phillip,Dorsett,5,13,70,206,WR,86,77,83,79,50,22,15,19,26,32,29,88,69,90,15,12,85,0,0,1,1,25,88,285,86
7,Jakobi,Patterson,5,16,71,194,WR,90,70,58,77,38,30,24,24,40,25,35,88,74,94,18,15,93,1,0,1,0,27,97,143,85
8,Matt,LaCosse,1,83,74,255,TE,83,70,75,80,77,22,21,20,43,20,27,86,98,85,15,25,93,1,0,0,0,27,91,303,51
9,Isaiah,Wynn,1,76,80,320,OL,71,38,61,63,89,16,21,23,25,35,16,87,86,74,12,25,90,0,0,1,0,29,77,176,78
10,Joe,Thuney,1,62,80,320,OL,64,11,45,40,86,15,19,19,26,24,22,78,88,65,13,20,88,1,1,0,0,28,93,137,79
11,Ted,Karras,1,75,77,335,OL,61,12,40,25,89,23,20,21,20,30,15,87,78,66,14,35,75,0,0,0,0,25,84,274,60
12,Shaq,Mason,1,69,74,312,OL,69,11,45,35,89,30,25,25,25,44,30,79,73,71,14,55,86,0,0,0,0,31,83,224,75
13,Marcus,Cannon,1,61,75,295,OL,69,17,40,40,88,30,21,20,20,39,30,90,74,63,14,20,82,0,0,1,0,34,83,247,63
14,Deatrich,Wise Jr.,5,91,75,331,DL,71,11,40,50,45,13,17,11,85,90,14,94,84,62,17,72,83,1,1,0,0,26,94,322,84
15,Lawrence,Guy,5,93,75,264,DL,76,14,35,35,45,19,20,15,78,78,20,89,79,74,42,77,85,0,0,0,0,28,86,21,75
16,Danny,Shelton,5,71,75,268,DL,76,34,50,45,45,30,30,30,78,74,30,86,84,73,48,70,87,1,0,0,1,26,86,54,69
17,Michael,Bennett,5,77,74,266,DL,77,33,42,35,45,32,30,30,84,84,35,94,58,69,20,76,79,1,0,1,1,27,88,253,91
18,Dont'a,Hightower,1,54,75,250,LB,78,41,55,67,45,44,13,15,81,87,48,96,87,83,77,82,93,1,0,0,1,34,79,52,94
19,Elandon,Roberts,1,52,74,260,LB,73,13,40,44,45,14,12,8,75,91,6,92,90,73,65,82,94,0,0,0,0,32,83,129,96
20,Kyle,Van Noy,5,53,75,270,LB,80,37,59,55,45,10,12,11,82,86,16,90,83,76,70,82,88,1,0,0,0,30,93,40,54
21,Jamie,Collins,5,58,75,245,LB,83,35,45,54,45,14,16,17,72,86,12,91,80,73,59,68,80,1,0,1,0,30,76,55,95
22,Jason,McCourty,5,30,71,195,DB,86,59,66,73,45,35,26,22,44,73,36,94,85,87,85,66,93,0,0,0,0,24,93,9,66
