INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Daniel,Jones,1,8,76,218,QB,85,39,51,25,15,77,15,18,19,19,91,84,84,84,16,12,90,0,1,1,1,34,87,203,98
1,Saquan,Barkley,5,26,73,231,RB,95,95,83,90,60,19,10,9,22,22,33,97,97,94,21,20,95,0,0,1,0,22,98,317,87
2,Wayne,Gallman,5,22,70,205,RB,84,77,87,82,39,46,28,22,35,34,65,85,83,86,23,20,84,0,0,0,0,28,88,319,58
3,Golden,Tate,5,15,71,198,WR,91,80,77,96,42,40,57,54,45,40,45,88,91,97,20,15,95,0,0,0,0,27,90,226,66
4,Sterling,Shepard,5,87,72,204,WR,88,76,69,87,36,24,21,22,45,16,25,85,84,91,21,20,92,1,0,1,1,30,91,107,92
5,Bennie,Fowler,5,18,70,202,WR,86,76,74,81,44,54,25,25,45,31,66,88,79,90,16,12,93,1,1,0,1,28,78,224,75
6,Cody,Latimer,5,12,74,216,WR,89,67,64,84,48,32,20,20,29,37,35,83,48,91,23,15,87,1,0,1,0,28,86,153,57
7,Russell,Shepard,3,81,72,190,WR,90,70,61,76,36,34,34,32,40,30,39,91,63,89,23,20,86,1,1,0,0,25,87,54,90
8,Evan,Engram,5,88,78,265,TE,73,68,64,82,56,47,33,32,45,45,67,92,77,78,14,45,84,0,1,1,0,26,83,1,86
9,Nate,Solder,1,76,76,301,OL,66,16,60,54,89,19,21,23,25,35,16,90,76,73,18,23,92,0,0,1,0,33,76,126,74
10,Will,Hernandez,1,71,75,298,OL,68,15,22,30,87,30,25,21,20,35,30,92,81,59,14,12,88,0,0,1,0,33,77,94,54
11,Jon,Halapio,5,75,78,329,OL,63,15,40,30,86,25,24,22,15,28,25,84,76,67,14,20,85,0,1,0,1,23,89,14,79
12,Kevin,Zeitler,1,70,76,249,OL,81,32,75,63,74,35,15,15,72,73,30,89,78,80,63,62,86,1,0,0,0,27,76,261,80
13,Mike,Remmers,5,74,77,340,OL,64,12,30,30,79,35,22,20,34,34,9,79,77,49,12,20,73,0,0,0,1,25,85,219,70
14,B.J.,Hill,5,95,77,278,DL,79,33,37,35,45,30,22,21,79,93,33,93,82,83,48,88,92,1,0,1,0,27,88,304,85
15,Dalvin,Tomlinson,5,94,76,350,DL,50,30,30,35,45,30,20,20,98,97,30,90,88,59,28,74,80,1,1,0,1,23,87,237,92
16,Pierre,Olsen,5,72,74,268,DL,79,30,40,35,45,16,15,24,95,84,28,90,81,74,48,71,87,1,1,0,0,27,80,226,63
17,Dexter,Lawrence,5,97,72,320,DL,61,23,45,35,45,9,11,10,92,88,10,92,83,64,32,65,77,1,1,1,0,23,96,95,70
18,Markus,Golden,5,44,75,238,LB,83,35,65,56,45,19,27,23,67,86,20,85,79,85,71,72,91,1,0,0,1,29,84,276,72
19,Alec,Ogletree,5,47,73,236,LB,81,22,50,58,45,22,10,10,68,79,22,81,77,84,75,75,88,1,0,0,1,24,91,148,58
20,Tae,Davis,5,58,75,251,LB,82,30,55,51,45,18,27,24,84,85,15,80,78,76,61,73,88,1,0,0,0,25,79,133,65
21,Lorenzo,Carter,5,59,74,252,LB,79,31,52,39,45,26,20,22,86,87,25,83,72,72,58,85,89,1,0,1,0,26,78,185,71
22,Deandre,Baker,5,27,70,198,DB,90,64,54,76,42,15,12,10,48,66,12,89,85,95,84,50,94,1,0,0,0,24,85,126,55
23,Grant,Haley,5,34,74,193,DB,91,65,62,74,45,40,25,25,38,43,40,90,91,95,85,50,92,1,0,1,0,25,77,208,59
24,Jabrill,Peppers,5,21,70,190,DB,86,54,68,55,45,40,25,25,41,54,40,87,71,92,78,44,94,1,0,0,0,25,77,16,76
25,Antoine,Bethea,5,41,72,225,DB,88,57,66,72,45,29,18,17,74,85,30,87,63,78,67,90,89,1,0,0,1,37,67,327,70
26,Janoris,Jenkins,3,20,74,208,DB,90,29,58,56,27,23,30,26,59,82,26,94,56,90,69,73,90,1,1,1,0,24,79,245,67
27,Antonio,Hamilton,5,30,73,199,DB,92,36,37,64,18,17,29,36,43,72,11,90,56,93,76,54,83,1,1,0,0,24,85,296,85
28,Aldrick,Rosas,1,2,72,202,K,60,11,40,27,20,18,89,92,15,15,30,90,89,55,20,12,88,0,0,0,1,27,90,249,98
29,Riley,Dixon,1,9,75,205,P,76,13,40,23,17,45,90,84,29,25,40,84,76,67,14,12,88,0,0,0,1,25,87,296,94
30,Mark,Herzlich,1,94,76,246,LB,73,39,55,72,45,19,14,17,72,89,20,80,75,75,63,86,90,1,0,0,0,24,93,138,64
31,Jonathan,Casillas,5,52,73,227,LB,85,40,65,53,45,30,20,20,64,79,25,77,72,84,59,74,86,1,0,0,1,37,79,250,89
32,BJ,Goodson,5,93,73,242,LB,85,31,26,67,17,31,13,20,72,81,38,90,57,82,61,80,71,1,1,0,0,24,83,100,66
33,Andre,Williams,5,44,71,230,RB,86,76,87,57,56,25,20,22,42,45,32,82,71,80,14,12,93,0,1,0,1,30,87,92,68
34,Kerry,Wynn,5,72,77,264,DL,73,11,35,39,45,19,27,24,86,78,19,94,61,56,30,85,75,1,0,0,0,34,76,163,50
35,Sterling,Shepard,5,87,70,194,WR,96,72,79,77,45,21,3,31,40,25,34,83,54,90,16,16,68,0,0,1,0,32,69,104,70
36,Owamagbe,Odighizuwa,5,58,75,267,DL,85,31,55,50,45,25,20,20,77,80,25,74,49,82,45,73,82,1,1,1,0,22,88,148,74
37,Will,Johnson,5,46,74,238,RB,79,65,71,62,72,22,22,21,45,38,30,93,73,78,13,66,84,1,0,1,1,23,92,318,83
38,Jay,Bromley,5,96,75,306,DL,70,13,20,35,45,25,20,20,77,74,25,95,61,69,24,72,74,1,1,0,0,26,88,256,75
39,Louis,Nix III,5,97,74,331,DL,58,18,40,35,45,11,11,12,84,89,10,75,53,50,17,75,73,1,0,1,0,31,79,92,94
40,Cooper,Taylor,1,30,76,228,DB,88,53,67,64,45,25,15,19,64,71,35,79,57,80,72,73,88,1,0,0,0,24,86,315,85
41,Eli,Manning,1,10,74,223,QB,69,51,70,33,23,75,15,14,31,33,88,95,52,73,13,12,95,1,0,0,0,30,79,122,97
42,Mykkele,Thompson,3,22,72,193,DB,89,53,65,60,45,35,20,15,49,63,30,91,49,88,74,63,88,1,0,1,0,29,74,322,85
43,Marshall,Newhouse,5,73,76,328,OL,69,15,40,19,73,21,21,32,22,22,29,91,76,57,10,12,75,1,0,1,1,24,86,28,80
44,Bennett,Jackson,3,24,72,192,DB,90,60,69,71,45,30,25,24,53,69,30,95,42,87,76,60,88,1,0,0,1,24,81,227,74
45,Paul,Perkins,5,39,70,208,RB,91,75,77,73,23,27,24,23,28,38,27,77,53,88,15,21,79,0,0,1,0,32,87,131,87
46,Ryan,Seymour,1,62,76,305,OL,68,15,40,40,75,30,25,25,20,36,30,92,64,66,14,20,84,0,0,0,1,28,77,57,92
47,Nat,Berhe,5,29,72,194,DB,87,55,65,61,45,30,20,15,52,67,30,92,44,85,72,80,88,1,0,0,0,23,84,67,63
48,Will,Tye,1,45,74,261,TE,80,66,72,80,53,16,15,14,76,72,15,79,68,70,25,79,83,1,0,0,0,24,94,264,74
