INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Luke,Falk,1,8,76,223,QB,86,45,51,33,24,83,36,10,23,11,91,88,81,76,13,13,85,0,0,0,0,26,89,276,99
1,Le'Veon,Bell,5,26,74,218,RB,96,92,89,90,55,30,25,25,11,20,30,93,89,95,18,20,92,1,0,0,1,25,96,8,57
2,Ty,Montgomery,5,88,70,204,RB,86,84,85,80,60,33,25,26,35,44,35,88,84,85,12,15,87,1,0,0,0,27,91,157,91
3,Jamison,Crowder,5,82,76,230,WR,84,76,76,92,50,20,12,12,63,45,24,92,93,84,29,12,91,1,0,0,1,26,99,183,69
4,Demaryius,Thomas,1,88,75,214,WR,82,62,73,89,45,36,25,25,45,35,36,90,89,80,18,12,93,1,0,1,1,25,93,297,78
5,Quincy,Enunwa,5,81,69,224,WR,86,78,85,64,63,29,23,25,35,42,35,92,67,84,25,25,94,1,0,0,0,25,82,171,53
6,Robby,Anderson,5,11,74,225,WR,90,70,71,73,47,19,21,20,47,47,24,93,63,84,18,15,87,1,1,1,0,24,78,316,79
7,Josh,Bellamy,5,15,66,195,WR,86,69,71,64,48,34,15,19,45,39,35,94,73,90,22,25,90,1,0,1,0,28,79,149,92
8,Ryan,Griffin,1,84,77,265,TE,85,69,64,83,57,32,26,22,53,39,20,87,88,79,14,12,90,1,0,0,0,26,87,88,64
9,Kelvin,Beachum,1,68,78,315,OL,62,15,45,40,90,30,25,25,20,30,30,83,90,70,14,20,93,0,0,0,1,33,90,19,74
10,Kelechi,Osemele,1,70,76,307,OL,65,12,40,25,87,12,27,28,44,44,14,92,95,57,14,20,88,0,1,1,1,27,77,128,87
11,Ryan,Kalil,1,55,77,321,OL,62,12,40,35,88,11,15,12,25,31,11,86,80,65,13,20,81,1,0,1,0,28,94,133,92
12,Brian,Winters,1,67,76,320,OL,64,12,35,25,88,12,12,12,33,39,20,89,74,54,12,12,88,0,1,1,1,26,87,284,72
13,Brandon,Shell,1,72,77,297,OL,68,15,33,45,86,30,25,25,20,35,30,94,67,63,14,20,85,0,0,0,1,26,77,225,52
14,Leonard,Williams,5,92,76,315,DL,71,15,40,31,45,12,15,17,80,82,24,94,82,76,35,74,88,1,0,0,0,30,77,279,86
15,Steve,McLendon,5,99,77,302,DL,73,37,55,45,45,30,18,17,92,86,35,85,74,73,23,81,73,1,0,0,1,30,80,71,90
16,Quinnen,Williams,5,95,76,320,DL,62,10,40,33,45,22,20,25,84,91,35,90,82,65,18,72,75,1,0,0,0,24,79,153,95
17,Henry,Anderson,1,96,75,294,DL,70,41,70,43,45,25,25,23,79,84,28,89,82,75,39,78,83,1,0,0,0,27,84,64,89
18,Harvey,Langi,5,44,74,250,LB,75,33,65,60,45,30,18,20,72,85,25,96,87,74,76,88,90,1,0,1,0,34,75,174,93
19,C.J.,Mosley,5,57,74,240,LB,84,44,60,67,45,25,20,20,74,83,25,77,72,84,68,90,92,0,0,0,1,25,81,242,60
20,Neville,Hewitt,5,46,75,244,LB,77,25,55,59,45,25,20,20,84,87,25,87,88,75,63,82,85,0,0,1,0,24,91,238,86
21,Jordan,Jenkins,5,48,73,232,LB,90,38,62,57,27,7,26,27,73,81,3,74,57,88,58,79,87,1,0,0,0,29,96,60,76
22,Darryl,Roberts,5,27,71,198,DB,88,64,71,77,45,32,22,15,57,63,30,88,88,94,86,66,98,0,0,0,0,26,95,305,96
23,Brian,Poole,5,34,70,198,DB,88,60,60,56,45,40,25,25,68,79,40,90,75,91,79,55,95,1,1,0,0,29,79,106,99
24,Jamal,Adams,5,33,71,208,DB,86,61,64,68,45,24,19,17,62,71,25,93,74,86,80,95,92,1,0,0,0,29,70,185,55
25,Marcus,Maye,5,20,69,185,DB,91,56,58,61,45,10,15,16,41,62,10,89,79,87,75,41,91,1,1,1,1,25,92,311,74
26,Trumaine,Johnson,5,22,72,202,DB,85,57,69,67,45,33,22,15,69,73,35,92,62,89,72,86,87,0,1,1,1,28,73,104,77
