INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Carson,Wentz,1,11,77,237,QB,87,58,57,23,26,95,12,32,23,35,93,86,90,82,13,13,88,0,0,1,1,28,96,315,71
1,Jordan,Howard,1,24,72,220,RB,95,97,79,87,55,22,12,13,26,32,24,94,94,96,16,20,96,1,0,0,0,25,97,311,77
2,Miles,Sanders,1,26,66,190,RB,85,82,84,85,30,14,14,11,20,20,11,87,83,87,16,12,88,0,0,0,1,28,88,310,92
3,Alshon,Jeffery,5,17,74,218,WR,89,79,75,92,48,46,25,20,57,35,72,94,94,87,21,35,93,1,0,0,1,31,97,238,98
4,Desean,Jackson,5,10,71,206,WR,90,73,68,81,48,22,25,15,40,27,27,87,77,89,14,15,94,1,0,0,1,26,78,249,56
5,Nelson,Agholor,5,13,75,212,WR,83,72,72,80,53,25,19,15,40,39,29,87,81,87,21,12,88,1,0,1,0,27,94,127,73
6,Mack,Hollins,5,16,72,203,WR,92,67,66,76,41,16,21,21,35,25,24,86,72,91,14,15,94,0,1,0,0,29,91,76,96
7,JJ,Arcega-Whiteside,5,19,73,198,WR,92,73,64,79,42,26,41,31,25,21,25,90,56,92,20,15,91,0,0,0,0,27,91,65,71
8,Zach,Ertz,1,86,77,250,TE,79,70,81,83,69,35,22,22,49,36,42,92,81,82,19,12,90,0,0,1,0,33,75,262,64
9,Jason,Peters,5,71,76,328,OL,67,11,40,58,87,10,13,6,48,48,10,76,89,66,15,24,88,0,0,0,1,30,78,159,71
10,Isaac,Seumalo,1,73,78,317,OL,80,54,67,62,84,56,25,22,61,60,70,93,82,77,16,60,90,0,1,0,0,31,77,108,71
11,Jason,Kelce,1,62,75,295,OL,73,12,40,40,85,28,18,22,60,57,22,90,87,71,30,55,81,1,1,1,1,27,76,139,76
12,Brandon,Brooks,5,79,75,315,OL,60,11,40,22,83,26,33,36,16,35,33,94,83,64,10,20,84,0,0,0,0,26,93,99,53
13,Lane,Johnson,5,65,77,335,OL,71,13,30,35,83,35,22,20,35,40,9,77,77,58,12,25,68,1,1,1,1,31,65,147,69
14,Derek,Barnett,5,96,76,300,DL,78,29,35,32,45,21,25,21,89,94,19,93,85,75,31,68,88,0,0,0,0,27,79,212,79
15,Tim,Jernigan,5,93,75,279,DL,84,35,40,35,45,16,15,24,87,83,28,90,82,84,30,81,84,1,0,0,0,28,83,110,55
16,Fletcher,Cox,5,91,74,315,DL,68,30,45,42,45,21,25,21,93,88,19,92,83,63,28,78,79,1,0,0,0,27,92,37,98
17,Brandon,Graham,5,55,76,264,DL,82,56,65,66,45,14,16,17,71,79,12,94,87,77,62,75,85,0,0,0,0,26,83,24,77
18,Kamu,Grugier-Hill,5,54,72,240,LB,89,35,55,55,45,25,14,22,83,86,24,87,84,81,59,90,90,1,0,0,0,27,89,306,93
19,Nigel,Bradham,5,53,74,241,LB,85,36,60,61,45,25,20,20,71,84,25,96,75,82,70,90,94,1,1,0,1,26,93,161,76
20,T.J.,Edwards,5,57,73,236,LB,83,35,55,54,45,25,14,22,72,83,24,74,74,86,71,73,87,0,0,0,0,23,87,34,80
21,Zach,Brown,5,52,77,241,LB,78,36,50,55,45,40,29,19,67,78,27,88,76,75,61,76,87,0,1,0,0,24,90,263,51
22,Ronald,Darby,5,21,72,204,DB,85,58,60,68,45,20,22,19,73,77,21,96,88,89,85,76,97,1,0,0,0,31,76,311,75
23,Rasul,Douglas,5,32,70,195,DB,84,56,65,62,45,22,17,19,66,72,21,92,77,87,78,75,90,1,1,0,0,24,75,261,83
24,Rodney,McLeod,5,23,70,185,DB,88,69,53,66,45,35,25,25,38,57,35,89,79,92,76,45,96,0,1,1,1,25,94,321,83
25,Malcom,Jenkins,5,27,73,205,DB,91,54,65,53,45,25,24,21,48,71,29,84,62,90,77,67,92,1,0,1,1,23,91,106,54
26,Sidney,Jones,5,22,73,205,DB,90,64,64,60,45,19,34,17,38,66,22,84,75,85,77,55,88,0,0,0,1,28,77,186,93
27,Avonte,Maddox,1,29,70,200,DB,86,49,66,47,45,25,20,20,49,70,25,90,69,82,75,77,83,0,1,1,1,26,83,191,57
28,Jake,Elliott,1,4,69,190,K,75,12,42,25,17,24,93,83,26,40,32,85,79,66,17,25,87,0,0,0,0,30,81,313,61
29,Cameron,Johnston,1,1,74,221,P,69,12,40,12,8,45,85,88,23,23,45,87,88,60,19,12,89,0,1,0,1,29,93,312,79
30,Nathan,Gerry,5,50,75,251,LB,82,36,54,56,45,40,20,19,67,84,34,89,63,74,61,74,85,1,1,0,0,27,74,284,93
31,Kamu,Grugier-hill,5,58,75,251,LB,82,36,54,56,45,40,20,19,67,84,34,89,63,74,61,74,85,0,0,0,1,26,84,71,77
32,Josh,McCown,1,18,76,224,QB,72,40,58,32,12,86,15,12,22,28,87,71,84,64,22,12,95,1,0,1,0,25,80,309,60
33,Haloti,Ngata,5,53,75,279,DL,81,35,40,35,45,16,15,24,77,73,28,90,72,74,30,81,74,0,1,0,1,25,94,111,89
34,Kamar,Aiken SR,5,16,71,188,WR,90,70,60,74,45,35,22,24,35,25,40,92,62,90,21,15,91,0,0,0,0,23,82,8,56
35,Dallas,Goedert,5,88,76,255,TE,74,68,69,86,60,30,15,15,41,25,30,90,87,76,18,25,85,0,0,1,0,26,92,22,83
36,Darren,Sproles,3,43,75,235,RB,86,73,72,76,54,54,25,24,39,40,66,95,57,88,24,12,90,1,0,0,0,24,88,244,90
37,Nate,Sudfeld,1,11,72,225,QB,75,53,72,40,12,77,12,12,21,22,82,90,70,73,20,12,95,0,1,0,0,33,79,80,95
38,Hal,Vaitai,1,68,78,308,OL,69,14,22,35,81,25,21,20,20,35,30,92,75,55,10,22,75,0,0,0,0,26,85,263,85
39,Rasul,Douglas,5,30,70,190,DB,91,59,66,55,45,25,25,28,45,65,22,87,59,93,74,60,89,1,0,0,0,22,79,96,57
40,Avonte,Maddox,5,31,71,194,DB,91,60,65,60,45,32,32,31,39,63,30,93,53,87,79,62,92,1,0,1,1,27,88,223,84
41,Corey,Clement,5,30,69,185,RB,91,75,68,73,39,30,25,21,25,29,30,90,53,92,18,21,95,0,1,0,0,33,84,295,59
42,Chance,Warmack,1,79,76,310,OL,72,18,50,40,75,24,20,21,25,30,20,88,76,66,12,15,84,0,0,0,1,23,86,271,61
43,Matt,Pryor,1,75,78,290,OL,74,17,40,40,75,30,21,20,20,35,30,92,75,62,14,20,85,1,0,0,1,27,77,206,73
44,Dallas,Goedert,1,88,72,250,TE,66,12,55,58,72,14,11,7,64,66,10,89,81,62,18,65,84,0,0,0,0,37,83,271,60
45,Josh,Adams,5,41,70,208,RB,90,68,72,67,32,16,0,0,28,27,17,82,51,88,15,21,86,1,0,1,1,25,81,165,88
46,Rick,Lovato,1,66,76,308,TE,57,15,52,45,83,25,19,16,26,32,29,80,62,48,22,20,90,0,0,1,1,22,99,264,53
47,Joshua,Perkins,5,76,80,321,TE,59,15,40,40,77,30,25,25,20,33,30,92,67,63,14,25,85,1,0,0,0,27,84,307,80
48,Deiondre,Hall,5,91,78,281,DB,77,43,49,42,45,19,17,25,72,81,25,92,58,72,27,73,84,1,0,0,0,26,87,167,89
49,Chris,Maragos,5,78,74,333,DB,59,13,40,32,45,10,23,11,76,82,13,93,63,54,22,73,72,0,0,0,0,26,89,198,72
50,Jordan,Mailata,3,52,73,207,OL,86,66,64,74,45,17,17,21,53,66,20,85,57,83,73,79,89,0,1,0,0,23,80,259,74
51,Isaac,Seumalo,5,29,72,195,OL,91,52,64,61,45,36,19,19,53,59,36,90,53,84,74,51,88,1,0,0,1,26,76,69,51
52,Shelton,Gibson,3,73,76,303,WR,64,18,37,11,83,8,15,16,29,21,34,72,56,58,12,26,81,1,0,1,0,24,84,213,85
