INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Ben,Roethlisberger,2,7,77,240,QB,72,32,60,22,12,84,15,12,22,22,88,86,89,67,22,12,85,0,0,0,0,38,90,301,50
1,James,Conner,4,30,73,233,RB,86,88,89,70,57,30,25,22,25,26,25,85,86,82,22,75,92,0,0,0,0,25,99,298,50
2,Derek,Watt,2,44,74,234,RB,80,41,77,68,60,25,23,15,32,35,30,90,78,75,24,20,87,0,1,0,0,27,81,218,50
3,JuJu,Smith-Schuster,5,19,73,215,WR,91,82,77,91,51,28,22,20,35,34,35,90,90,88,21,15,91,0,1,1,1,23,67,132,50
4,Diontae,Johnson,5,18,70,183,WR,91,77,72,86,36,25,20,15,35,20,30,89,80,92,18,12,84,1,0,0,0,24,95,117,50
5,Chase,Claypool,4,11,76,238,WR,92,78,76,80,56,35,25,25,40,25,35,87,72,78,19,12,86,0,1,0,0,22,82,255,50
6,Ray Ray,McCloud,4,14,69,205,WR,90,75,66,84,50,28,61,54,35,39,35,91,51,92,17,12,80,0,0,0,0,23,65,230,50
7,James,Washington,6,13,72,194,WR,91,79,77,83,49,40,30,30,40,25,40,93,75,85,19,12,86,0,0,1,1,24,74,69,50
8,Vance,McDonald,2,89,76,267,TE,81,70,71,83,65,25,15,19,53,44,25,84,76,77,17,12,92,0,0,0,0,30,75,295,50
9,Alejandro,Villanueva,1,78,81,320,OL,71,15,35,30,82,26,25,25,30,35,26,88,89,74,13,20,74,0,0,0,0,32,95,222,50
13,Matt,Feiler,2,71,78,330,OL,59,31,12,28,75,13,7,21,32,18,34,87,85,51,15,29,83,1,0,1,0,28,91,24,50
11,Maurkice,Pouncey,2,53,76,304,OL,62,11,40,35,85,20,22,21,45,42,22,87,92,68,11,40,88,0,0,1,0,31,74,128,50
12,David,DeCastro,1,66,77,316,OL,59,14,25,25,92,30,25,25,25,39,30,91,84,71,18,12,90,0,1,1,0,30,80,322,50
13,Chukwuma,Okorafor,5,76,78,320,OL,62,31,12,28,70,13,7,21,32,18,34,91,66,61,15,29,88,1,0,1,0,23,91,24,50
14,Cameron,Heyward,3,97,77,295,DL,71,17,40,35,45,18,21,17,92,92,14,89,98,70,27,88,86,1,0,0,1,31,75,71,50
15,Tyson,Alaula,4,94,75,304,DL,72,12,40,20,45,32,24,20,81,82,25,95,89,69,14,84,67,1,0,0,0,33,91,10,50
16,Isaiah,Buggs,6,96,75,295,DL,67,21,55,35,45,19,17,22,71,76,28,88,69,60,29,74,71,0,0,0,0,24,83,195,50
17,Stephon,Tuitt,5,91,78,303,DL,74,22,40,50,45,19,17,25,90,87,25,78,95,68,28,82,73,0,0,0,1,27,85,119,50
18,T.J.,Watt,3,90,76,252,LB,83,53,71,63,45,27,34,35,81,84,29,88,97,84,60,85,87,0,1,0,0,24,78,121,50
19,Devin,Bush,5,55,71,234,LB,90,43,59,63,45,12,15,17,72,82,24,89,82,86,64,88,90,0,1,0,1,22,88,65,50
20,Vince,Williams,5,98,73,233,LB,82,38,55,55,45,24,39,35,75,86,27,81,86,74,58,88,87,0,1,0,1,30,73,79,50
21,Bud,Dupree,5,48,76,269,LB,87,35,65,62,45,25,20,20,78,80,25,89,83,78,53,88,86,1,0,0,0,27,69,99,50
