INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Jimmy,Garoppolo,3,10,76,230,QB,87,70,70,53,29,88,25,20,35,42,92,90,89,91,23,20,90,0,0,0,1,31,96,74,90
1,Tevin,Coleman,5,26,72,235,RB,96,96,82,80,60,30,25,25,25,25,35,93,91,93,18,12,94,1,1,0,1,23,95,332,95
2,Matt,Breida,5,22,71,205,RB,82,78,80,74,45,30,25,25,11,35,30,89,84,85,18,20,86,0,0,0,1,23,86,104,56
3,Marquise,Goodwin,5,11,72,205,WR,89,73,70,80,51,32,20,20,40,35,35,93,77,90,23,12,95,0,1,0,0,25,85,38,95
4,Dante,Pettis,5,18,69,197,WR,90,72,68,84,41,35,30,30,37,25,35,91,63,94,19,12,94,1,0,1,1,24,89,4,82
5,Richie,James,5,13,74,190,WR,87,71,59,77,44,40,30,30,40,25,40,92,63,93,19,12,94,1,1,0,0,28,92,44,70
6,Kendrick,Bourne,5,84,72,204,WR,87,73,73,77,48,35,66,56,35,30,33,90,63,88,25,15,88,0,0,0,0,25,87,324,63
7,Deebo,Hurd,5,17,72,192,WR,91,70,68,79,39,32,21,20,25,25,34,71,62,93,22,15,88,0,0,1,1,30,79,128,80
8,George,Kittle,1,85,76,267,TE,81,70,75,78,77,34,15,14,55,42,35,88,67,76,29,55,91,1,0,0,1,26,92,198,80
9,Joe,Staley,1,74,77,315,OL,74,13,61,62,89,24,20,22,25,25,18,91,95,75,12,15,95,0,0,1,1,25,92,310,79
10,Laken,Tomlinson,1,75,76,305,OL,60,11,25,25,87,25,22,21,19,28,33,93,83,55,16,20,80,0,0,0,0,24,81,311,63
11,Weston,Richburg,1,58,75,308,OL,60,11,40,17,88,25,19,17,22,22,33,88,76,57,8,35,75,0,0,1,1,25,95,302,79
12,Mike,Person,1,68,80,316,OL,62,10,40,10,86,26,16,26,10,17,33,93,76,57,12,20,89,0,1,1,1,25,94,311,67
13,Mike,McGlinchey,5,69,76,312,OL,54,25,31,19,89,29,25,26,29,16,13,82,57,57,12,26,82,0,0,0,1,27,81,43,63
14,Dee,Ford,5,55,73,305,DL,65,13,40,32,45,21,23,25,95,86,19,83,83,63,19,65,73,1,0,1,1,25,83,153,98
15,Sheldon,Day,5,96,76,295,DL,79,45,50,45,45,30,19,15,82,84,20,73,70,81,41,77,69,1,1,0,1,27,94,126,85
16,DeForest,Buckner,5,99,79,292,DL,69,29,46,45,45,32,30,30,85,85,35,87,70,75,43,77,73,1,0,1,0,25,96,166,68
17,Arik,Armstead,5,91,73,297,DL,64,20,40,25,45,25,20,20,77,88,25,88,75,65,20,76,79,1,0,1,1,35,80,204,80
18,Dre,Greenlaw,5,57,72,242,LB,82,22,50,65,45,22,10,10,86,92,22,87,87,83,66,93,91,1,0,1,0,26,79,197,69
19,Fred,Warner,5,54,74,243,LB,78,39,65,61,45,22,20,20,76,87,25,88,64,85,71,83,92,0,0,1,0,28,74,122,97
20,Azeez,Al-Shaair,5,51,75,259,LB,78,21,65,55,45,19,27,23,83,69,20,87,80,75,69,94,89,1,0,1,1,28,92,152,94
21,Kwon,Alexander,5,56,72,240,LB,79,42,62,59,45,25,20,20,74,84,25,90,75,81,62,77,86,1,1,0,1,22,89,115,90
22,Richard,Sherman,5,25,70,197,DB,87,49,55,67,45,21,29,21,35,55,21,93,83,87,81,52,90,0,0,1,0,37,67,313,61
23,Emmanuel,Moseley,5,41,71,193,DB,89,57,65,68,45,27,23,19,59,70,28,95,66,88,79,77,90,1,1,0,0,23,98,299,99
24,Jaquiski,Tartt,5,29,71,206,DB,87,38,65,68,45,15,14,14,69,74,12,96,73,83,69,80,90,1,0,1,0,26,88,172,92
25,Jimmie,Ward,5,20,74,200,DB,90,57,61,50,45,21,18,19,40,56,25,92,74,91,78,60,90,1,1,0,0,25,76,224,65
26,Ahkello,Witherspoon,5,23,73,213,DB,87,50,64,72,45,29,20,21,74,62,25,90,67,85,75,93,89,1,0,1,0,28,77,325,81
27,Jason,Verrett,5,27,72,195,DB,88,51,67,62,45,20,22,17,36,44,20,91,79,92,75,42,89,1,1,1,0,28,86,309,69
28,Robbie,Gould,1,9,71,200,K,55,12,40,19,23,21,92,89,20,20,26,85,83,52,13,12,83,0,1,0,0,25,77,237,62
29,Mitch,Wishnowsky,1,6,78,240,P,66,13,40,39,27,45,91,85,19,35,52,92,78,62,15,15,85,0,0,0,1,23,89,303,80
30,Aaron,Lynch,3,59,77,270,LB,82,31,45,49,45,10,25,21,78,78,10,88,82,74,70,74,77,0,0,0,1,34,83,68,70
