INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Russell,Wilson,5,3,71,206,QB,94,85,63,68,29,92,10,19,16,26,90,94,91,92,15,12,95,0,1,0,0,25,96,217,97
1,Chris,Carson,5,32,69,215,RB,96,95,89,73,55,26,15,11,27,35,25,96,95,94,13,15,97,0,0,1,0,24,96,115,91
2,Rashaad,Penny,5,20,72,233,RB,90,78,83,71,66,22,25,24,45,48,25,86,76,77,14,60,86,1,0,0,0,25,89,98,56
3,Tyler,Lockett,5,16,70,189,WR,90,72,75,94,44,22,21,18,35,39,24,92,96,92,15,15,88,0,1,1,0,24,83,29,68
4,DK,Metcalf,5,14,73,209,WR,89,70,72,84,42,34,20,22,44,32,35,96,85,88,21,12,92,1,1,0,1,23,97,68,72
5,Malik,Turner,5,17,70,182,WR,92,72,67,86,33,23,30,25,25,25,30,81,80,96,18,8,91,1,0,1,0,25,77,19,97
6,Gary,Jennings,5,11,72,183,WR,94,63,65,82,47,35,16,17,30,30,33,77,66,88,13,12,92,1,0,0,1,26,76,268,89
7,John,Ursua,5,15,71,214,WR,92,66,69,75,48,35,30,30,35,35,35,88,58,88,30,15,87,1,0,0,1,27,90,229,75
8,Nick,Vannett,3,81,79,265,TE,85,74,79,90,60,34,22,12,40,30,32,92,85,87,16,25,89,1,1,0,0,24,82,245,55
9,Duane,Brown,5,76,77,306,OL,71,11,35,25,89,14,17,18,23,38,23,84,77,63,21,35,79,0,1,0,1,28,89,176,82
10,Ethan,Pocic,1,77,78,325,OL,65,11,40,35,90,11,15,12,25,35,11,85,73,65,13,20,83,0,0,1,0,25,81,304,87
11,Justin,Britt,5,68,79,333,OL,60,11,40,21,86,13,12,11,25,35,18,93,72,65,17,25,79,0,0,0,0,27,92,115,81
12,DJ,Fluker,5,78,73,311,OL,61,12,40,25,83,30,25,25,35,55,30,95,69,57,14,58,84,1,1,0,0,27,77,224,65
13,Germain,Ifedi,5,65,78,324,OL,54,39,23,28,90,12,33,30,30,27,19,95,57,64,13,27,76,1,0,1,0,28,80,113,69
14,Jadeveon,Clowney,5,90,76,274,DL,73,27,40,45,45,20,30,20,94,91,10,92,82,77,30,77,90,0,1,1,0,31,75,19,55
15,Al,Woods,5,72,75,260,DL,84,27,55,64,45,25,20,20,89,68,25,93,87,79,58,78,76,0,1,0,1,26,80,116,56
16,Poona,Ford,5,97,74,325,DL,61,17,40,48,45,26,25,25,78,83,26,90,79,56,26,74,77,0,0,0,1,22,83,332,69
17,Ziggy,Ansah,3,94,74,325,DL,57,11,40,35,45,13,17,11,85,89,14,90,78,56,15,58,70,0,0,0,0,34,73,197,56
18,Mychal,Kendricks,5,56,72,241,LB,88,31,55,73,45,25,20,20,82,92,25,94,87,85,69,95,97,0,0,0,1,23,91,98,97
19,Bobby,Wagner,5,54,76,246,LB,79,33,55,60,45,19,27,23,85,95,20,95,88,80,82,87,94,1,0,0,0,34,71,185,64
20,Shaquem,Griffin,5,49,75,226,LB,87,35,40,55,45,30,20,20,64,80,27,91,70,77,73,74,88,1,0,1,1,36,66,213,93
21,K.J.,Wright,5,50,74,240,LB,82,40,58,61,45,25,20,20,79,74,25,78,61,85,72,87,88,1,0,0,0,25,86,40,57
22,Shaquill,Griffin,5,26,75,195,DB,87,69,66,85,45,15,12,10,53,70,12,96,89,96,91,66,99,1,0,0,1,28,76,18,63
23,Akeem,King,5,36,70,202,DB,90,63,67,78,45,35,20,15,63,77,30,93,87,93,84,72,97,0,1,0,1,25,77,282,88
24,Brad,McDougald,5,30,75,232,DB,86,48,55,70,45,29,14,11,72,83,23,94,83,83,73,96,95,1,1,0,0,26,76,105,60
25,Tedric,Thompson,5,33,72,190,DB,88,51,60,63,45,25,25,25,48,63,22,90,75,88,81,72,93,0,0,0,0,23,87,2,84
26,Tre,Flowers,5,21,76,221,DB,86,55,59,77,45,35,32,31,39,64,29,88,78,88,68,73,93,0,0,0,0,22,80,6,98
27,Neiko,Thorpe,5,23,75,202,DB,87,53,64,65,45,25,15,11,44,63,25,85,68,88,77,80,90,1,0,0,0,24,92,140,96
28,Jason,Myers,1,5,76,210,K,65,11,35,30,18,25,96,93,12,15,22,90,86,65,15,12,80,0,0,1,1,25,83,257,100
29,Michael,Dickson,1,4,72,217,P,63,12,55,45,12,47,89,91,10,31,49,88,85,52,20,12,76,0,1,1,1,26,76,47,55
30,Kevin,Pierre-Louis,5,58,72,236,LB,88,50,60,62,45,25,20,20,66,82,25,85,60,87,67,67,93,1,0,0,1,24,83,217,88
31,Nick,Moody,5,53,73,245,LB,81,47,55,64,45,30,20,20,69,77,27,77,60,85,69,78,92,1,1,0,0,26,92,230,100
32,Brock,Coyle,1,52,73,243,LB,84,35,60,63,45,25,29,19,67,79,27,93,69,80,59,78,88,1,0,1,0,26,95,129,66
33,Cassius,Marsh,1,91,76,254,DL,82,45,55,54,45,19,20,21,83,68,25,92,63,75,40,74,86,1,0,0,1,23,87,269,63
34,Christine,Michael,5,32,70,221,RB,90,81,76,64,47,40,20,22,35,39,45,80,68,92,22,35,85,0,0,0,1,23,83,325,100
35,Jordan,Hill,5,97,73,303,DL,63,12,43,30,45,18,11,17,84,74,19,93,67,69,20,83,69,1,0,1,1,27,92,0,70
36,Chris,Clemons,5,90,75,254,DL,75,18,40,28,45,22,14,15,69,67,22,78,81,77,56,62,77,0,0,0,0,23,78,143,99
37,Jarran,Reed,5,93,75,307,DL,60,32,25,28,20,33,25,34,79,85,16,76,58,63,18,72,77,1,0,1,0,27,74,28,83
38,DeShawn,Shead,5,35,74,220,DB,86,52,65,61,45,30,20,15,44,70,30,90,72,78,68,73,84,0,0,1,0,28,83,75,79
39,Trevone,Boykin,5,2,72,212,QB,68,44,46,26,15,84,26,22,23,21,86,82,53,67,13,13,80,0,0,0,1,32,70,329,51
40,Bradley,Sowell,1,78,79,315,OL,63,12,35,40,78,25,21,11,40,40,16,91,79,62,12,35,83,1,0,0,1,27,80,66,99
41,Kelcie,McCray,5,33,73,205,DB,88,55,66,60,45,26,11,15,56,65,24,90,56,92,76,57,87,1,0,0,0,22,99,96,77
42,Frank,Clark,5,55,75,272,DL,84,27,55,45,47,19,22,19,81,65,26,86,55,76,47,82,75,0,1,0,1,27,88,155,64
43,C.J.,Prosise,5,22,72,220,RB,88,77,75,72,35,14,20,35,28,13,38,74,56,85,15,21,84,1,1,0,0,22,84,256,77
44,Luke,Willson,1,82,77,252,TE,87,66,73,79,54,40,22,22,49,42,45,79,75,83,24,12,85,0,0,0,1,28,85,230,57
45,Steven,Terrell,5,23,70,197,DB,93,56,65,70,45,30,18,19,50,55,30,90,50,87,74,70,87,1,0,1,0,23,79,287,58
46,Rees,Odhiambo,3,70,76,314,OL,55,29,20,27,84,24,25,34,29,26,23,77,50,58,12,26,82,0,1,1,0,25,84,62,91
47,Joey,Hunt,1,53,74,290,OL,66,21,34,29,81,21,10,11,32,20,37,86,53,59,15,29,83,0,1,1,0,23,93,3,91
48,Mark,Glowinski,1,63,76,310,OL,68,13,40,15,75,14,18,16,15,35,12,92,57,66,14,20,85,1,0,0,0,28,75,45,53
49,Terry,Poole,5,69,77,323,OL,69,16,45,35,77,15,15,11,35,42,13,93,49,63,13,25,82,0,0,0,0,24,77,266,71
50,Nick,Vannett,1,81,78,257,TE,73,57,70,75,60,12,26,26,46,30,19,81,58,69,15,23,81,0,0,0,0,22,83,282,74
51,Drew,Ferris,1,43,72,205,OL,66,45,65,58,74,15,15,15,32,46,11,92,52,62,15,29,75,0,1,0,1,27,87,122,55
52,Kristjan,Sokoli,1,67,77,302,OL,77,19,40,44,71,30,25,25,74,73,30,90,48,73,14,66,75,0,0,1,0,23,91,189,100
