INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Tom,Brady,1,12,76,225,QB,78,33,55,20,27,93,18,17,33,33,91,72,99,66,15,12,75,0,1,0,0,30,98,308,85
1,Ronald,Jones II,1,27,73,239,RB,92,93,76,78,79,15,10,21,38,17,27,92,84,89,15,38,93,0,1,0,0,29,97,90,79
2,Leonard,Fournette,5,38,72,211,RB,94,88,77,85,64,19,10,9,22,32,33,85,80,80,21,12,88,0,0,1,0,24,96,197,95
3,Antonio,Brown,5,81,77,230,WR,84,70,86,92,53,19,19,19,45,40,19,86,89,84,21,22,88,0,1,1,0,30,74,200,70
4,Mike,Evans,1,13,77,231,WR,82,70,72,80,53,30,25,24,35,39,35,96,86,84,18,15,85,1,0,1,0,32,89,316,77
5,Chris,Godwin,1,14,74,200,WR,82,71,72,95,41,28,24,21,40,28,23,78,79,86,16,15,91,1,1,1,1,25,94,259,64
6,Scott,Miller,5,10,72,195,WR,94,66,70,75,45,28,24,21,40,42,34,85,56,94,28,15,87,0,1,1,0,28,87,22,93
7,Tyler,Johnson,5,18,73,197,WR,93,61,65,76,48,31,20,18,47,28,35,86,58,93,20,12,87,1,0,1,0,28,79,49,62
8,Rob,Gronkowski,1,87,77,260,TE,86,67,68,80,68,32,25,15,40,45,35,83,63,78,16,12,82,0,1,0,0,31,73,239,91
9,Donovan,Smith,1,76,74,308,OL,63,17,40,40,92,30,21,20,20,30,30,88,81,60,14,20,83,0,0,0,0,33,80,188,64
10,Ali,Marpet,5,74,78,338,OL,72,13,25,25,89,30,25,25,25,39,30,87,82,67,18,19,80,0,0,1,0,30,76,66,95
11,Ryan,Jensen,5,66,76,307,OL,73,15,45,45,90,30,25,25,20,37,30,90,72,68,14,20,82,0,0,0,0,24,81,247,52
12,Alex,Cappa,5,65,81,315,OL,49,12,35,25,87,20,15,15,50,55,22,92,82,53,11,39,83,0,0,1,0,23,90,106,77
13,Demar,Dotson,5,69,77,298,OL,76,13,30,40,85,22,22,21,68,67,30,82,76,64,18,65,79,1,0,1,1,29,90,42,61
14,Ndamukong,Suh,5,93,76,300,DL,78,20,40,32,45,16,12,11,95,89,15,83,96,85,28,85,90,0,1,1,0,30,86,325,80
15,Vita,Vea,5,50,78,281,DL,82,41,46,45,45,32,30,30,90,82,35,87,87,83,39,87,75,0,1,1,0,28,88,324,82
16,Beau,Allen,5,91,75,275,DL,76,21,40,42,45,19,37,16,82,78,36,87,83,74,40,78,74,1,1,0,1,28,88,188,83
