INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Marcus,Mariota,3,8,76,222,QB,89,78,50,58,20,87,40,36,25,28,82,93,82,91,17,12,88,1,1,0,0,30,94,79,61
1,Derrick,Henry,5,22,72,217,RB,92,96,84,78,65,40,25,26,35,40,35,93,88,90,12,15,91,0,1,1,1,22,97,5,57
2,Dion,Lewis,5,33,68,170,RB,91,77,77,90,48,21,14,11,35,20,25,92,84,93,15,12,91,1,0,0,0,27,92,166,59
3,Corey,Davis,5,84,70,191,WR,90,76,67,86,44,35,16,17,40,30,33,96,81,94,13,12,95,1,0,1,0,22,96,34,58
4,Tajae,Sharpe,5,19,72,215,WR,88,72,72,84,50,24,26,19,52,31,28,89,86,86,16,12,93,1,0,0,1,25,80,212,54
5,Adam,Humphries,5,10,72,183,WR,87,76,74,84,35,35,30,30,35,25,35,88,76,94,25,12,88,1,1,0,0,37,83,94,53
6,Darius,Jennings,5,15,77,237,WR,89,72,72,86,47,34,25,21,35,39,35,87,67,91,23,15,82,1,1,0,0,22,87,95,100
7,A.J.,Brown,5,11,76,203,WR,90,67,71,73,47,34,19,17,42,35,38,84,71,93,16,12,90,0,1,1,0,26,79,227,66
8,Delanie,Walker,5,82,72,248,TE,83,67,72,89,77,33,22,25,49,41,35,86,90,84,18,25,75,1,0,1,0,27,80,247,80
9,Dennis,Kelly,1,71,79,309,OL,76,33,46,48,90,16,21,23,25,39,16,89,83,74,12,25,90,0,0,1,0,25,81,16,98
10,Rodger,Saffold,1,76,75,318,OL,71,15,35,44,89,32,25,22,27,50,33,92,75,61,16,27,86,1,1,0,1,25,91,57,70
11,Ben,Jones,5,60,74,323,OL,55,21,55,44,87,30,25,25,25,35,30,98,78,64,14,25,84,1,0,1,1,23,88,269,51
12,Kevin,Pamphile,1,66,75,308,OL,59,11,40,32,88,10,11,15,33,40,12,92,77,61,11,12,90,0,1,0,0,23,93,255,98
13,Jack,Conklin,1,78,78,308,OL,54,20,20,16,89,33,20,27,28,26,30,78,60,68,13,26,79,0,0,0,1,25,84,110,63
14,Brent,Urban,5,96,73,305,DL,71,17,40,25,45,16,15,14,92,90,15,92,88,70,28,86,91,1,1,1,0,32,87,131,64
15,DaQuan,Jones,5,90,76,322,DL,60,13,40,29,45,17,7,17,89,87,16,90,72,52,20,70,78,0,0,0,0,30,73,179,100
16,Matt,Dickerson,3,92,80,298,DL,59,11,33,30,45,9,37,27,82,85,19,80,72,62,22,66,68,0,0,1,1,25,94,164,78
17,Jurrell,Casey,5,99,76,307,DL,70,11,25,15,45,16,19,22,83,84,20,88,71,55,21,52,77,0,1,1,1,30,84,187,90
18,Cameron,Wake,5,91,72,233,LB,84,25,70,67,45,25,20,20,86,92,25,95,90,81,78,83,93,1,0,0,1,33,73,63,92
19,Rashaan,Evans,5,54,76,257,LB,81,31,45,50,45,7,13,6,81,86,14,81,85,79,64,89,88,1,0,1,1,27,84,325,70
20,Jayon,Brown,5,55,73,246,LB,83,34,45,61,45,30,20,20,79,91,30,92,78,75,61,82,91,0,0,0,1,27,86,142,83
21,Harold,Landry,5,58,75,261,LB,77,17,35,44,45,9,8,11,79,77,19,87,81,77,73,79,90,1,1,0,1,24,84,264,56
22,Logan,Ryan,5,26,72,193,DB,92,51,43,65,45,19,22,24,53,73,30,92,83,88,76,60,87,1,0,0,0,22,90,128,76
23,Adoree',Jackson,5,25,71,207,DB,86,43,65,67,45,30,25,25,69,80,30,92,75,82,81,75,88,1,0,1,1,23,95,117,80
24,Kenny,Vaccaro,5,24,72,190,DB,87,70,66,74,45,22,12,12,43,54,28,92,83,92,79,44,90,1,0,0,1,38,68,196,85
25,Kevin,Byard,5,31,71,204,DB,85,46,70,75,45,29,15,30,54,68,25,95,81,82,76,82,90,1,0,0,0,25,82,239,94
26,Malcolm,Butler,5,21,69,187,DB,91,54,46,68,45,30,22,24,36,50,18,88,77,87,80,46,94,0,0,0,0,24,82,287,57
27,LeShaun,Sims,5,36,73,198,DB,87,54,65,60,45,32,32,31,51,57,30,85,68,91,75,57,91,0,0,0,0,22,98,104,89
28,Cairo,Santos,1,7,74,218,K,62,11,40,23,17,42,90,87,29,29,38,96,87,64,16,12,81,0,0,0,0,23,80,203,66
29,Brett,Kern,1,6,74,214,P,65,10,45,45,20,45,90,94,10,20,45,78,92,73,18,12,75,0,1,1,1,30,82,209,62
30,Sean,Spence,5,55,71,231,LB,82,28,45,49,45,25,37,30,73,79,20,76,77,86,66,81,87,1,1,1,0,25,93,182,67
31,Justin,Staples,5,57,76,245,LB,81,31,64,54,45,25,20,20,61,79,25,96,52,74,60,86,84,1,0,0,0,31,76,91,75
32,Deiontrez,Mount,5,53,77,249,LB,84,42,55,49,45,22,19,14,64,79,25,88,51,81,54,77,82,0,0,0,0,26,81,154,97
33,Matt,Cassel,1,16,76,228,QB,69,38,55,25,23,79,12,15,24,24,83,84,79,69,19,12,90,0,0,0,0,27,85,292,66
34,David,Bass,5,51,76,256,LB,76,21,44,48,45,23,15,25,74,67,16,95,65,79,51,73,75,1,0,1,1,28,93,96,98
35,Derrick,Henry,5,2,75,247,RB,90,85,79,63,42,22,11,22,28,27,34,91,55,90,15,21,93,0,0,0,0,25,95,43,66
36,Craig,Stevens,1,88,75,263,TE,81,55,71,75,74,30,35,35,25,50,30,90,79,67,14,20,76,1,0,0,1,25,95,188,80
37,Anthony,Fasano,1,80,76,255,TE,71,53,77,76,71,29,14,12,49,52,26,88,83,72,12,25,87,0,0,1,0,37,70,155,62
38,Karl,Klug,1,97,75,278,DL,75,16,40,35,57,19,17,16,80,69,28,84,74,67,39,65,74,0,0,0,1,22,86,13,55
39,Marqueston,Huff,5,28,71,196,DB,89,57,65,57,45,22,23,19,54,72,26,95,58,85,77,65,92,1,1,0,0,25,83,181,74
40,Jalston,Fowler,5,45,71,254,RB,77,65,79,68,72,29,15,15,20,37,30,75,78,68,13,25,81,1,1,0,1,31,76,93,65
41,Antwon,Blake,5,47,69,198,DB,93,59,67,57,45,35,25,25,38,44,35,92,78,86,68,65,87,0,0,1,0,27,80,267,69
