INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Nolan,Maloney,1,4,76,215,QB,92,60,80,30,22,95,28,21,23,12,93,90,92,87,13,15,89,0,0,1,0,21,96,216,86
1,Kevin,Collins,5,16,70,215,RB,94,95,83,87,60,10,10,10,80,25,10,88,82,90,10,80,90,1,0,0,1,21,93,221,100
2,Sammy,Cook,5,31,68,207,RB,84,86,80,70,42,21,10,10,26,25,25,91,82,88,15,12,90,0,1,1,1,35,85,297,51
3,Jordan,Milbury,5,19,74,223,WR,87,82,83,88,44,32,21,20,35,21,37,93,85,98,25,15,95,1,1,0,0,27,76,257,51
4,Will,Donaldson,5,88,70,190,WR,93,79,73,87,42,26,25,15,40,30,26,82,84,84,21,55,95,1,0,1,0,23,90,215,86
5,Jeff,Radke,5,81,70,194,WR,87,74,73,81,54,44,30,28,35,31,45,94,76,92,16,12,93,1,0,1,0,22,88,263,61
6,Michael,Walters,1,87,75,218,WR,87,71,73,79,51,35,19,15,45,40,40,87,73,86,27,15,92,1,0,0,0,28,93,118,64
7,Timmy,Calhoun,5,10,71,203,WR,92,57,78,78,29,10,8,2,40,47,13,80,56,90,16,16,81,1,0,0,1,26,92,163,53
8,Justin,Skelding,5,7,75,250,TE,83,88,61,88,80,32,30,30,20,35,35,90,83,86,18,12,92,0,1,1,0,24,90,295,85
9,Orlando,Pace,5,76,80,332,OL,74,17,40,35,93,40,28,15,39,40,25,95,90,75,12,25,85,0,0,0,0,24,83,27,74
10,Tom,Nutten,1,61,79,305,OL,58,11,40,22,83,16,27,15,22,42,31,97,73,54,12,35,77,0,1,0,1,28,80,322,89
11,Andy,McCollum,1,67,77,332,OL,62,20,25,40,75,24,25,25,15,32,24,84,85,69,14,15,92,0,1,0,1,31,79,320,81
12,Mike,Gruttadauria,1,60,76,306,OL,64,13,32,30,74,25,20,20,40,40,22,90,77,62,14,25,77,1,0,1,1,27,88,84,60
13,Fred,Miller,5,73,79,321,OL,57,12,40,27,80,11,15,12,25,35,11,90,68,45,13,20,78,0,0,1,0,26,88,271,61
14,Kevin,Carter,5,93,76,264,DL,82,38,35,37,45,26,14,22,86,81,33,92,84,84,43,89,88,0,1,1,0,26,76,123,86
15,Lionel,Barnes,5,92,78,290,DL,78,29,40,40,45,16,11,12,81,84,15,93,68,82,59,91,85,1,0,1,0,22,99,156,96
16,Grant,Wistrom,1,98,75,278,DL,74,38,45,45,45,32,30,30,84,81,35,93,83,75,30,78,70,1,0,0,0,23,90,309,54
17,Ray,Agnew,5,99,77,326,DL,64,17,40,28,45,23,15,16,85,75,20,95,78,72,18,83,85,1,0,0,1,32,95,26,93
18,London,Fletcher,5,59,74,245,LB,83,45,60,72,45,27,14,12,81,91,25,87,75,87,65,89,93,1,0,0,0,24,85,139,63
19,Mike,Jones,5,52,74,213,LB,86,55,64,64,45,30,20,15,78,74,35,81,75,81,75,92,94,1,0,0,1,30,83,46,86
20,Todd,Collins,1,54,75,255,LB,80,55,67,71,45,19,16,23,75,82,23,95,76,82,62,77,90,1,0,0,0,29,77,296,70
21,Lorenzo,Styles,5,51,73,234,LB,86,43,55,54,45,24,15,19,62,83,25,83,64,75,58,63,91,1,1,0,1,29,84,162,54
22,Todd,Lyght,5,41,74,208,DB,87,58,65,77,45,21,14,16,49,71,14,87,79,89,82,74,94,0,1,0,1,30,87,60,70
23,Dre,Bly,5,32,70,190,DB,88,55,54,56,45,30,20,20,43,62,30,90,74,88,86,59,93,1,0,0,0,24,78,305,79
24,Billy,Jenkins,5,22,74,217,DB,85,60,65,63,45,22,15,17,64,77,25,84,76,81,72,92,90,0,1,0,1,25,88,61,76
25,Dexter,McCleon,5,21,68,184,DB,87,67,64,71,45,27,15,14,39,67,29,93,68,86,80,80,91,1,0,1,0,26,94,311,55
