INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Alex,Smith,1,11,72,215,QB,75,37,62,38,26,92,21,35,26,26,85,65,92,80,19,12,90,0,0,0,1,36,96,321,82
1,Derrius,Guice,1,29,69,215,RB,94,99,83,77,63,30,25,25,11,25,35,96,95,92,18,30,98,1,0,1,0,25,98,320,99
2,Adrian,Peterson,5,26,71,200,RB,90,85,73,89,41,40,25,22,35,35,35,86,80,92,12,16,86,0,0,0,1,24,89,240,99
3,Terry,McLaurin,1,17,75,215,WR,87,74,65,89,35,32,21,20,37,25,34,92,82,89,22,15,93,1,0,0,0,26,74,318,56
4,Paul,Richardson,5,10,71,195,WR,87,66,76,85,45,27,15,14,35,30,25,90,78,86,16,15,91,1,1,1,1,27,80,140,58
5,Trey,Quinn,5,14,78,225,WR,86,70,69,83,50,33,14,22,35,32,40,88,66,82,17,15,86,1,1,0,0,27,82,214,68
6,Kelvin,Harmon,5,15,75,212,WR,94,53,77,80,29,16,14,12,40,23,13,82,58,93,16,16,95,0,0,0,1,27,76,326,94
7,Steven,Sims Jr.,5,14,72,200,WR,90,53,34,82,33,26,14,11,40,23,17,79,35,83,16,16,83,1,0,1,0,25,95,41,86
8,Jordan,Reed,1,86,78,251,TE,85,71,74,90,71,24,26,20,45,42,25,85,96,87,14,20,90,0,0,1,0,29,95,85,89
9,Donald,Penn,1,79,77,305,OL,62,30,40,29,91,30,19,16,50,26,17,89,90,58,11,20,85,0,0,1,0,31,81,81,77
10,Ereck,Flowers,5,77,77,304,OL,78,31,50,65,88,30,25,25,50,37,30,92,82,75,18,20,85,0,0,0,0,25,92,3,51
11,Chase,Roullier,1,73,76,315,OL,72,30,30,40,89,22,22,21,50,45,30,96,82,55,18,55,82,0,1,0,1,24,94,295,58
12,Brandon,Scherff,3,75,75,300,OL,65,30,40,26,88,16,13,13,50,67,14,84,80,66,12,65,79,0,1,0,1,26,84,16,74
13,Morgan,Moses,1,76,79,320,OL,65,30,40,20,86,15,16,16,50,35,14,91,87,50,12,12,85,0,0,0,0,30,84,179,95
14,Jonathan,Allen,5,93,76,287,DL,74,23,40,35,45,22,33,29,89,80,30,95,82,75,33,82,91,1,0,0,0,28,87,112,65
15,Da'Ron,Payne,5,94,76,308,DL,75,39,40,45,45,16,12,11,89,80,15,87,81,72,29,80,83,0,0,1,0,24,95,233,87
16,Tim,Settle,5,97,75,359,DL,64,19,40,35,45,18,23,17,86,85,25,88,73,65,13,89,75,0,1,0,1,26,92,186,92
