INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Kyler,Murray,1,1,70,207,QB,91,75,69,30,11,85,19,15,14,34,90,89,82,93,20,12,88,0,0,0,1,23,89,328,82
1,Kenyan,Drake,1,41,73,211,RB,91,80,87,63,39,21,21,20,26,33,26,89,85,89,16,21,84,1,0,1,0,26,98,317,99
2,Chase,Edmonds,5,29,69,210,RB,89,73,84,68,29,16,18,12,23,28,26,80,73,90,13,18,84,0,0,0,1,24,85,240,99
3,DeAndre,Hopkins,1,10,73,212,WR,91,86,72,99,37,14,20,20,45,52,35,98,99,92,33,35,96,1,0,0,0,28,74,327,56
4,Larry,Fitzgerald,5,11,75,218,WR,83,70,72,91,44,12,18,19,40,30,26,93,90,84,16,12,94,1,1,1,1,37,80,140,58
5,Christian,Kirk,5,13,71,200,WR,92,72,72,84,33,20,18,14,23,30,37,87,81,90,17,24,91,1,1,0,0,23,82,214,68
6,Andy,Isabella,5,17,69,188,WR,95,71,74,80,26,11,18,12,23,23,26,82,70,88,16,14,88,0,0,0,1,23,76,326,94
7,KeeSean,Johnson,5,19,73,201,WR,88,69,72,80,29,11,17,12,31,32,26,81,68,90,29,24,90,1,0,1,0,23,95,41,86
8,Maxx,Williams,1,87,76,252,TE,78,68,75,80,66,10,22,22,49,42,43,82,76,79,23,12,83,0,0,1,0,26,95,85,89
9,D.J.,Humphries,1,74,77,307,OL,67,5,40,19,80,7,13,6,35,45,10,92,86,62,15,25,77,0,0,1,0,26,81,81,77
10,Justin,Pugh,5,67,77,311,OL,66,8,60,28,78,7,21,23,25,35,16,92,86,69,17,23,88,0,0,0,0,30,92,3,51
11,Lamont,Gaillard,1,53,75,305,OL,67,5,45,19,73,7,25,25,43,46,30,86,71,62,13,50,88,0,1,0,1,24,94,295,58
12,J.R.,Sweezy,1,64,77,310,OL,74,8,30,20,75,6,22,21,64,67,30,79,83,67,17,65,87,0,0,0,0,31,84,179,95
13,Marcus,Gilbert,3,76,78,330,OL,55,12,29,18,78,7,11,10,33,39,6,84,80,64,22,30,73,0,1,0,1,32,84,16,74
14,Zach,Allen,5,94,76,281,DL,74,36,42,48,49,6,15,12,73,79,22,77,72,75,40,80,92,1,0,0,0,23,87,112,65
15,Corey,Peters,5,98,75,335,DL,68,10,40,37,48,7,8,6,73,85,10,70,76,69,28,72,88,0,0,1,0,32,95,233,87
16,Domata,Peko Sr,5,90,75,325,DL,56,10,40,15,56,7,33,30,74,79,27,66,82,56,17,72,92,0,1,0,1,35,92,186,92
17,Jordan,Phillips,5,97,78,341,DL,67,21,47,29,49,7,17,11,71,81,14,69,78,64,41,83,78,0,1,0,1,27,95,325,66
18,Chandler,Jones,5,55,77,265,LB,79,10,47,29,47,7,25,15,79,91,20,95,94,81,47,81,83,1,0,0,0,30,87,176,71
19,Jordan,Hicks,5,58,73,236,LB,83,22,63,41,45,6,14,22,60,83,24,94,81,85,69,81,78,1,1,0,0,28,83,255,59
20,De'Vondre,Campbell,1,59,76,232,LB,85,16,45,52,41,7,20,20,63,88,24,86,80,86,66,79,90,1,0,1,1,27,84,102,53
21,Markus,Golden,5,44,75,260,LB,81,16,55,26,46,8,30,30,71,79,35,82,88,78,41,82,90,1,1,0,0,29,95,298,86
22,Byron,Murphy Jr,5,33,71,190,DB,89,56,61,67,29,6,10,11,45,68,25,90,83,92,83,75,86,0,1,0,1,22,86,115,91
23,Patrick,Peterson,5,21,73,203,DB,91,85,67,77,35,41,28,21,45,59,64,97,77,91,81,72,97,0,0,1,0,30,92,45,94
24,Budda,Baker,5,32,70,195,DB,91,57,72,73,37,13,20,20,64,77,25,95,92,92,81,86,89,1,0,0,0,24,77,127,70
25,Jalen,Thompson,5,34,71,190,DB,90,44,58,62,35,8,21,21,56,67,22,88,80,85,73,70,89,1,1,1,0,22,77,190,76
26,Dre,Kirkpatrick,5,20,74,196,DB,89,55,58,62,34,7,14,12,52,53,14,95,75,84,75,73,84,0,0,0,0,30,93,85,89
27,Johnathan,Joseph,5,25,71,185,DB,89,32,60,58,35,7,10,11,42,58,27,96,78,85,74,43,85,1,0,0,1,36,82,198,67
28,Zane,Gonzalez,1,5,72,202,K,75,18,23,19,12,24,96,75,17,24,29,83,60,58,12,17,85,0,0,1,1,25,84,175,66
29,Andy,Lee,1,4,73,185,P,64,12,40,16,12,26,94,77,32,35,48,87,58,50,20,12,84,0,1,0,0,38,84,187,94
30,Brett,Hundley,1,7,75,226,QB,84,68,56,23,12,76,21,21,22,22,86,68,68,84,10,10,90,0,1,0,0,27,93,55,86
31,Chris,Streveler,1,15,73,216,QB,89,76,70,53,18,73,22,24,22,28,84,84,57,82,11,12,88,0,1,0,0,25,87,218,81
32,Khalfani,Muhammad,1,24,67,174,RB,93,73,78,58,27,21,20,22,24,34,36,79,57,89,25,12,83,1,1,0,1,25,84,81,87
33,Eno,Benjamin,5,26,69,207,RB,87,77,84,62,35,30,16,12,26,26,39,84,63,85,14,22,88,1,0,0,0,21,92,4,50
34,Trent,Sherfield,1,16,73,219,WR,91,69,73,79,31,33,19,11,35,50,48,82,64,87,37,53,90,0,0,1,0,24,93,41,68
35,Krishawn,Hogan,5,18,75,222,WR,87,73,69,76,27,24,22,16,27,26,33,79,64,90,22,29,92,1,0,0,0,25,86,97,82
36,Dan,Arnold,1,85,78,220,TE,83,57,70,82,53,6,13,13,37,35,14,79,73,86,21,25,83,0,0,0,0,25,64,117,87
37,Josh,Jones,5,79,77,319,OL,63,6,40,22,73,7,25,25,20,35,30,89,68,60,13,20,86,0,1,0,1,23,81,43,84
38,Max,Garcia,3,73,76,309,OL,63,5,35,15,65,8,20,20,25,36,25,80,79,49,12,18,88,1,1,1,0,28,76,289,55
39,Mason,Cole,5,52,77,292,OL,64,8,28,19,72,6,19,16,26,26,17,86,77,59,9,20,93,0,0,1,1,24,75,44,77
40,Koda,Martin,1,60,79,300,OL,66,35,22,27,66,8,21,18,26,26,16,90,53,67,12,35,86,0,0,1,1,25,67,108,67
41,Kelvin,Beachum Jr,3,68,75,308,OL,56,12,30,22,76,7,12,17,40,45,12,81,90,59,20,25,95,1,0,0,0,31,85,53,94
42,Angelo,Blackson,5,96,76,318,DL,72,10,39,21,46,7,21,15,71,78,21,69,77,66,17,77,90,1,0,0,1,27,91,77,96
43,Rashard,Lawrence,5,92,74,308,DL,70,12,36,19,47,6,17,12,69,74,23,80,67,52,14,78,84,0,1,1,0,21,77,7,50
44,Leki,Fotu,1,95,77,330,DL,67,27,42,27,49,6,15,15,68,81,19,74,65,64,18,82,89,1,1,0,0,22,78,122,76
45,Haason,Reddick,5,43,73,235,LB,88,43,77,63,43,7,19,19,73,82,25,90,82,85,59,83,90,0,1,1,0,25,99,64,65
46,Tanner,Vallejo,3,51,73,230,LB,84,23,57,55,46,6,15,19,66,83,25,89,67,80,56,85,84,1,0,0,0,25,94,285,88
47,Devon,Kennard,3,42,75,256,LB,82,10,55,43,48,8,27,24,72,85,15,85,76,76,57,77,86,0,0,1,0,29,87,11,81
48,Robert,Alford,5,23,70,186,DB,91,65,64,60,34,7,15,14,57,55,29,92,70,89,73,50,84,1,0,1,1,31,77,190,55
49,Isaiah,Simmons,1,48,76,238,DB,93,43,65,66,39,7,20,20,66,78,24,92,75,91,70,86,90,0,0,0,1,22,89,167,82
50,Chris,Banjo,5,31,70,207,DB,86,46,63,55,34,6,17,19,46,67,21,86,72,84,66,74,88,1,0,1,1,30,95,95,56
51,Brett,Maher,1,3,72,190,K,73,13,31,16,12,24,98,68,19,31,30,86,48,61,12,14,84,0,1,1,1,30,95,44,94
52,Dennis,Gardeck,5,45,72,232,LB,85,20,45,38,44,6,14,17,62,77,28,86,73,74,50,76,87,0,0,1,1,26,98,257,89
