INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Matt,Ryan,1,2,76,217,QB,71,55,64,18,22,88,25,24,25,30,85,72,89,68,17,12,98,0,0,0,1,35,95,331,82
1,Todd,Gurley II,5,21,73,227,RB,89,81,89,64,41,31,19,15,42,41,34,93,80,88,15,45,85,1,0,1,0,26,97,234,99
2,Brian,Hill,5,23,73,219,RB,91,77,86,58,42,21,12,13,37,51,36,87,75,84,40,49,95,0,0,0,1,24,97,240,99
3,Julio,Jones,1,11,75,220,WR,92,89,75,96,44,12,25,15,45,44,45,98,99,93,23,63,86,1,0,0,0,31,74,326,56
4,Calvin,Ridley,5,18,73,190,WR,93,73,75,85,31,23,19,16,24,29,32,84,91,95,21,20,86,1,1,1,1,25,80,140,58
5,Russell,Gage Jr,5,83,72,186,WR,90,74,75,81,34,39,16,12,58,58,58,84,81,84,12,49,89,1,1,0,0,24,82,214,68
6,Laquon,Treadwell,1,80,74,215,WR,86,72,74,82,28,20,23,22,37,38,37,80,71,85,20,15,88,0,0,0,1,25,76,324,94
7,Olamide,Zaccheaus,5,17,68,193,WR,89,73,73,78,30,13,13,15,35,35,31,83,70,86,19,25,88,1,0,1,0,23,95,41,86
8,Hayden,Hurst,1,81,76,265,TE,87,73,81,82,57,11,23,16,35,44,73,83,77,83,15,40,90,0,0,1,0,27,95,85,89
9,Jake,Matthews,5,70,77,305,OL,69,23,45,33,82,7,22,20,40,45,25,91,93,71,13,40,98,0,0,0,0,28,92,3,51
10,James,Carpenter,1,77,77,321,OL,61,11,40,21,71,8,15,12,25,31,11,81,81,65,12,20,85,0,0,1,0,31,81,81,77
11,Alex,Mack,1,51,76,311,OL,62,8,55,19,87,6,19,16,26,26,17,90,91,68,9,20,98,0,1,0,1,34,94,295,58
12,Chris,Lindstrom,1,63,75,307,OL,75,8,19,19,79,6,25,25,15,32,23,88,87,69,12,28,93,0,0,0,0,23,84,179,95
13,Kaleb,McGary,3,76,78,306,OL,71,35,46,46,74,6,20,15,38,34,30,83,85,62,17,35,88,0,1,0,1,25,84,16,74
14,Allen,Bailey,5,93,75,288,DL,78,21,50,20,46,7,30,30,63,76,30,74,70,74,25,84,91,1,0,0,0,31,87,112,65
15,Grady,Jarrett,5,97,72,305,DL,70,10,40,20,49,8,25,25,89,84,26,82,94,71,27,86,84,0,0,1,0,27,95,233,87
16,Deadrin,Senat,5,94,73,305,DL,67,24,26,18,47,8,16,11,71,79,23,80,68,59,23,83,91,0,1,0,1,26,92,186,92
17,Dante,Fowler Jr,5,56,75,255,DL,84,35,55,48,45,8,21,22,61,76,25,84,72,83,43,83,84,0,1,0,1,26,95,325,66
18,Mykal,Walker,5,43,75,230,LB,84,44,47,48,46,7,17,14,67,82,25,85,68,81,56,84,91,1,0,0,0,23,87,176,71
19,Edmond,Robinson,5,46,75,245,LB,83,23,59,44,44,6,20,20,62,75,25,85,51,77,63,73,88,1,1,0,0,28,83,255,59
20,Deion,Jones,1,45,73,222,LB,91,14,56,59,46,6,19,19,70,84,25,85,85,88,79,84,87,1,0,1,1,25,84,102,53
21,Foyesade,Oluokun,5,54,74,215,LB,90,26,62,54,37,10,20,14,68,83,28,86,87,86,69,86,89,1,1,0,0,25,95,298,86
22,Darqueze,Dennard,5,34,71,198,DB,90,55,63,64,34,6,15,16,60,68,25,95,77,82,77,65,87,0,1,0,1,28,86,115,91
23,A.J.,Terrell Jr,5,24,73,195,DB,92,58,58,61,34,7,19,12,47,53,22,92,80,87,77,56,91,0,0,1,0,21,92,45,94
24,Keanu,Neal,5,22,73,216,DB,87,46,65,60,34,13,21,18,64,72,34,91,76,87,74,94,87,1,0,0,0,25,77,127,70
25,Damontae,Kazee,5,27,71,190,DB,88,69,73,76,34,7,30,25,55,71,22,94,79,90,73,80,88,1,1,1,0,27,77,190,76
26,Isaiah,Oliver,5,26,72,210,DB,90,61,73,70,33,8,19,13,39,52,40,93,69,86,75,46,91,0,0,0,0,23,93,85,89
27,Kendall,Sheffield,5,20,70,210,DB,93,59,63,56,34,7,15,15,58,59,30,88,66,92,74,60,83,1,0,0,1,24,82,198,67
28,Younghoe,Koo,1,7,69,185,K,71,16,39,19,14,22,93,85,31,36,36,87,73,63,17,27,91,0,0,1,1,26,84,175,66
29,Sterling,Hofrichter,1,4,70,196,P,74,5,40,19,16,23,93,75,10,38,35,80,55,67,17,12,81,0,1,0,0,23,84,187,94
30,Matt,Schaub,1,8,78,245,QB,62,25,59,19,15,72,22,14,23,23,77,76,75,55,19,12,80,0,1,0,0,39,93,55,86
31,Kurt,Benkert,1,6,76,217,QB,74,37,55,15,19,71,17,12,15,17,82,71,64,74,8,12,83,0,1,0,0,25,87,218,81
32,Ito,Smith,1,25,69,195,RB,91,78,84,68,33,19,18,13,20,28,28,88,66,83,17,23,88,1,1,0,1,24,84,81,87
33,Qadree,Ollison,5,30,73,232,RB,86,78,90,55,41,15,21,15,36,36,28,87,66,79,25,33,90,1,0,0,0,23,92,4,50
34,Brandon,Powell,1,15,68,181,WR,86,68,70,78,28,12,17,12,39,31,35,80,59,86,20,15,87,0,0,1,0,24,93,41,68
35,Greg,Dortch,5,16,67,173,WR,87,67,68,80,22,22,19,14,22,23,36,82,55,89,21,16,85,1,0,0,0,22,86,97,82
36,Luke,Stocker,1,88,77,253,TE,79,44,73,70,61,10,14,22,50,45,42,87,73,76,19,25,83,0,1,1,1,32,95,44,94
37,John,Wetzel,1,75,79,328,OL,56,9,27,24,67,8,27,15,32,31,29,85,74,58,11,41,83,0,0,0,0,29,64,117,87
38,Matt,Hennessy,5,61,76,307,OL,66,8,30,18,72,6,25,25,20,21,27,89,76,69,13,28,85,0,1,0,1,22,81,43,84
39,Justin,McCray,3,65,75,317,OL,54,5,25,14,71,6,20,20,20,35,20,72,76,57,13,20,88,1,1,1,0,28,76,289,55
40,Jacob,Tuioti-Mariner,5,91,74,285,DL,76,12,43,23,45,6,17,12,69,79,22,72,63,73,29,70,87,0,0,1,1,24,75,44,77
41,John,Cominsky,3,50,77,285,DL,82,35,48,40,51,31,18,10,73,78,39,81,62,81,41,83,93,1,0,0,0,24,85,53,94
42,Steven,Means,5,55,75,263,DL,80,30,44,25,46,6,25,15,66,76,20,62,69,73,41,78,93,1,0,0,1,29,91,77,96
43,LaRoy,Reynolds,5,59,73,228,LB,83,20,60,33,45,6,20,20,60,78,30,80,60,75,60,85,88,0,1,1,0,29,77,7,50
44,Blidi,Wreh-Wilson,1,33,73,190,DB,86,47,65,61,33,8,32,31,56,54,30,91,77,85,67,57,85,1,1,0,0,30,78,122,76
45,Ricardo,Allen,5,37,69,186,DB,88,71,65,66,36,8,16,17,60,66,28,94,81,89,78,83,91,0,1,1,0,28,99,64,65
46,Jaylinn,Hawkins,3,32,73,208,DB,87,45,55,67,34,7,28,24,62,66,27,89,65,83,64,87,88,1,0,0,0,23,94,285,88
47,Elliott,Fry,5,1,72,170,K,65,15,32,18,14,20,91,63,15,20,30,84,49,55,17,12,81,1,0,1,1,25,77,190,55
48,Tyeler,Davison,3,96,74,309,DL,66,10,35,17,47,7,15,14,70,77,10,65,71,65,29,74,88,0,0,1,0,27,87,11,81
49,Charles,Harris,1,92,75,250,DL,82,23,38,37,45,7,21,22,64,76,25,75,59,80,37,82,89,0,0,0,1,25,89,167,82
50,Marlon,Davidson,5,90,75,303,DL,71,19,38,27,45,7,20,15,73,82,23,83,65,71,25,82,93,1,0,1,1,22,95,95,56
51,T.J.,Green,5,39,75,215,DB,93,57,63,64,32,6,20,19,55,72,26,90,61,81,64,80,88,0,0,1,1,25,98,257,89
52,Sharrod,Neasman,1,41,72,198,DB,82,60,55,64,35,7,14,13,62,70,15,88,64,85,62,75,88,0,0,1,1,28,67,108,67
