INDEX,FIRST,LAST,SKIN,NUMBER,Height,Weight,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Lamar,Jackson,4,8,74,212,QB,96,81,71,26,16,87,12,19,16,35,92,92,95,95,12,27,92,1,0,0,0,23,84,281,98
1,Mark,Ingram,5,21,69,215,RB,88,89,90,72,52,30,25,25,11,25,35,86,93,86,17,30,89,1,0,1,1,30,79,191,92
2,Gus,Edwards,1,35,75,311,RB,88,82,95,59,41,15,18,13,31,37,24,88,82,82,17,31,87,1,0,1,0,25,91,35,98
3,Marquise,Brown,3,15,71,205,WR,97,72,74,85,27,10,19,16,19,18,22,86,79,96,22,12,80,1,0,0,0,23,86,113,97
4,Willie,Snead,5,83,69,180,WR,89,78,78,84,38,39,15,14,30,30,56,90,87,86,15,15,85,1,0,1,1,27,84,299,77
5,Miles,Boykin,5,80,76,220,WR,91,71,73,83,40,24,16,11,29,28,37,87,72,89,18,20,80,0,0,0,0,23,84,114,93
6,Devin,Duvernay,3,13,73,200,WR,92,79,78,84,36,29,17,12,36,35,44,92,67,87,18,28,88,0,1,0,1,22,78,255,84
7,Chris,Moore,5,10,71,210,WR,90,72,73,80,40,15,23,22,24,26,26,89,77,89,20,15,80,0,0,0,0,27,98,63,90
8,Mark,Andrews,1,89,77,256,TE,86,64,73,86,55,10,12,10,28,27,25,88,92,80,13,25,94,0,0,0,0,24,77,231,95
9,Ronnie,Stanley,5,79,78,315,OL,66,8,32,24,91,6,20,17,27,31,22,91,96,75,12,42,88,0,0,1,1,26,90,24,99
10,Bradley,Bozeman,2,77,77,325,OL,57,14,20,12,75,6,19,16,15,20,17,88,84,55,10,12,82,0,0,0,1,25,73,84,82
11,Matt,Skura,1,68,75,313,OL,62,9,28,23,77,6,20,20,36,33,21,89,85,64,13,42,85,1,1,0,0,27,80,144,97
12,D.J.,Fluker,5,70,77,344,OL,60,7,25,25,80,6,25,25,25,39,30,92,85,59,17,12,85,1,0,0,1,29,74,242,81
13,Orlando,Brown,5,78,80,345,OL,50,14,28,23,81,6,19,13,32,33,25,93,86,60,13,36,84,0,0,1,0,24,77,330,94
14,Derek,Wolfe,5,95,80,300,DL,73,10,40,34,35,6,10,10,82,84,20,87,84,72,25,72,83,1,0,0,0,30,85,216,83
15,Brandon,Williams,5,98,73,336,DL,57,10,55,35,36,6,17,11,91,86,14,87,85,57,22,77,74,1,1,0,0,31,74,15,89
16,Justin,Ellis,2,71,77,285,DL,69,10,40,35,40,6,20,20,73,83,25,88,72,61,17,74,67,0,1,0,0,29,79,185,86
17,Calais,Campbell,4,93,75,265,DL,72,16,46,41,36,6,30,30,94,94,35,97,97,80,23,85,85,0,0,0,1,34,92,80,97
18,Matthew,Judon,5,99,72,232,LB,81,11,43,46,33,6,21,19,64,82,22,84,84,79,58,80,85,0,0,0,0,28,91,15,96
19,Patrick,Queen,5,48,72,232,LB,89,52,73,64,37,6,20,20,69,82,27,90,74,87,64,84,88,0,0,0,0,21,81,26,85
20,L.J.,Fort,5,58,75,261,LB,80,10,65,64,35,6,20,11,68,84,13,92,79,75,64,77,83,0,1,0,1,30,95,190,83
21,Pernell,McPhee,5,90,75,247,LB,76,16,40,42,38,6,10,18,73,83,12,83,76,75,62,84,72,1,1,0,1,31,89,111,82
22,Marlon,Humphrey,4,44,72,197,DB,92,56,62,70,30,6,30,25,47,68,22,89,89,88,86,78,94,0,0,1,0,24,89,92,76
23,Marcus,Peters,4,24,72,205,DB,91,66,68,81,29,6,15,14,54,57,29,93,89,91,84,63,87,0,0,0,0,27,80,287,79
24,Chuck,Clark,4,36,73,210,DB,88,44,61,64,30,11,25,25,53,72,30,93,79,87,74,83,89,1,0,1,0,25,90,324,78
25,Earl,Thomas,4,29,72,195,DB,88,66,67,80,31,7,20,15,56,77,30,91,88,93,85,87,97,1,1,1,1,31,95,193,82
26,Jimmy,Smith,4,22,74,210,DB,88,55,69,76,29,6,14,16,48,70,14,78,85,88,82,77,91,0,0,0,0,32,90,265,84
27,Tavon,Young,4,25,69,185,DB,90,59,66,70,12,6,21,24,58,59,17,85,76,89,76,73,90,1,0,0,0,26,81,178,92
28,Justin,Tucker,1,9,73,183,K,75,5,35,52,13,30,98,98,13,13,26,95,71,64,12,12,85,0,0,0,0,30,79,312,89
29,Sam,Koch,1,4,73,222,P,70,11,40,25,18,45,91,96,33,33,48,85,71,60,12,12,85,0,1,1,0,38,84,227,91
30,Robert,Griffin,5,3,74,213,QB,85,72,56,67,37,72,19,22,17,35,87,78,73,84,29,22,74,1,0,0,0,30,81,122,77
31,Tyler,Huntley,4,2,73,238,QB,86,59,60,46,10,71,17,11,17,17,86,84,54,86,11,12,77,0,0,1,1,22,91,51,92
32,Trace,McSorley,4,7,70,212,QB,87,65,65,43,18,67,36,40,30,46,84,87,49,84,32,29,69,0,0,1,0,25,88,101,91
33,J.K.,Dobbins,5,27,70,200,RB,91,78,87,68,43,23,19,16,29,30,32,92,69,87,15,31,89,0,0,0,1,21,86,111,98
34,Justice,Hill,4,43,71,193,RB,90,70,88,67,39,16,14,10,21,25,24,86,69,88,13,15,86,0,0,1,1,22,73,332,89
35,Jaleel,Scott,1,12,76,270,WR,87,74,75,80,29,15,14,17,27,27,25,89,61,80,15,20,80,0,0,1,0,25,77,192,95
36,De'Anthony,Thomas,1,16,78,251,WR,91,76,71,78,31,20,20,22,20,19,32,80,69,86,27,12,76,1,0,0,0,27,90,247,95
37,Nick,Boyle,5,86,75,255,TE,75,39,74,84,66,10,17,18,46,35,19,92,86,78,20,12,91,0,0,1,0,27,79,296,78
38,Jacob,Breeland,5,88,77,344,TE,79,58,74,79,53,10,19,13,35,36,27,81,60,77,12,30,80,0,0,0,1,23,73,84,82
39,Ben,Powers,1,72,77,325,OL,68,9,40,37,71,6,11,11,33,38,25,90,68,66,12,25,82,0,0,0,0,23,79,66,94
40,Patrick,Mekari,2,65,76,308,OL,58,9,33,22,70,6,22,20,25,34,22,86,76,60,10,30,89,1,1,0,0,23,80,144,97
41,Tyre,Phillips,6,74,77,342,OL,60,10,30,30,70,6,22,20,34,34,15,86,67,48,12,20,77,0,0,1,1,23,76,109,87
