INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Josh,Allen,1,17,77,237,QB,86,80,57,27,14,87,22,14,23,32,99,91,86,85,15,11,92,0,0,0,1,25,92,331,82
1,Devin,Singletary,5,26,67,203,RB,86,82,87,53,35,14,14,10,25,37,24,89,76,91,14,21,94,1,0,1,0,23,98,234,99
2,Matt,Breida,5,22,70,195,RB,94,76,82,57,33,20,19,15,31,38,27,77,74,90,14,31,83,0,0,0,1,26,88,240,99
3,Stefon,Diggs,1,14,72,191,WR,92,84,74,94,35,23,30,30,35,27,46,86,98,93,20,12,87,1,0,0,0,27,74,326,56
4,Cole,Beasley,1,11,68,174,WR,86,78,80,89,25,36,28,24,49,39,52,93,90,91,20,15,91,1,1,1,1,32,80,140,58
5,Emmanuel,Sanders,5,1,71,180,WR,88,83,70,88,29,30,30,30,35,25,50,87,86,90,19,12,87,1,1,0,0,34,82,214,68
6,Gabriel,Davis,1,13,74,210,WR,90,74,75,82,38,12,19,15,33,33,31,90,80,83,17,27,91,0,0,0,1,22,76,324,94
7,Isaiah,McKenzie,5,19,68,173,WR,92,74,71,78,25,21,21,20,22,22,38,80,76,94,19,16,87,1,0,1,0,26,95,41,86
8,Dawson,Knox,1,88,76,257,TE,87,53,71,79,61,22,14,12,28,31,41,79,78,85,14,21,83,0,0,1,0,24,95,85,89
9,Dion,Dawkins,5,73,77,320,OL,68,8,28,20,82,7,24,22,27,31,23,92,91,70,13,40,92,0,0,0,0,27,92,3,51
10,Cody,Ford,1,74,75,329,OL,65,8,35,17,75,6,14,12,14,14,16,83,77,62,14,20,84,0,0,1,0,24,81,81,77
11,Mitch,Morse,1,60,78,305,OL,67,5,40,23,81,7,25,25,20,30,30,82,85,65,13,20,87,0,0,0,0,29,84,179,95
12,Jon,Feliciano,1,76,76,325,OL,60,6,40,19,77,7,22,17,29,41,23,79,89,66,12,35,90,0,1,0,1,29,94,295,58
