INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Teddy,Bridgewater,1,5,74,215,QB,82,74,68,55,16,84,25,25,25,29,84,87,78,86,17,12,81,0,0,1,0,27,93,41,68
1,Christian,McCaffrey,5,22,71,205,RB,92,83,98,82,51,36,29,23,32,36,44,96,97,97,14,27,98,1,0,0,1,24,98,292,56
2,Mike,Davis,5,28,69,221,RB,88,77,87,69,47,23,21,20,10,29,25,79,74,85,12,17,83,0,0,1,1,27,89,259,91
3,D.J.,Moore,5,12,71,215,WR,93,84,73,91,35,26,18,13,22,30,43,93,92,93,21,18,88,1,1,0,1,23,90,236,62
4,Robby,Anderson,5,11,75,190,WR,94,76,75,91,33,10,11,11,26,21,29,85,87,84,22,12,85,1,0,0,1,27,81,325,89
5,Curtis,Samuel,5,10,71,196,WR,95,80,74,84,34,10,25,15,24,26,27,90,84,92,24,24,84,0,1,0,0,24,94,253,92
6,Seth,Roberts,5,15,74,195,WR,89,72,75,83,39,10,20,20,35,32,30,90,80,90,22,12,81,0,0,1,0,29,81,278,89
7,Keith,Kirkwood,5,19,75,210,WR,91,72,73,81,35,10,11,11,50,53,22,87,71,85,44,44,81,0,0,0,1,25,75,216,80
8,Chris,Manhertz,1,82,78,255,TE,78,59,65,74,69,6,21,19,29,33,30,86,81,81,17,27,85,1,0,0,0,28,79,114,68
9,Russell,Okung,5,76,77,310,OL,62,15,40,20,80,6,23,12,24,28,26,80,85,60,12,20,88,0,0,0,0,31,91,189,65
10,Dennis,Daley,1,65,78,323,OL,65,5,40,27,72,6,21,11,33,41,33,86,76,59,12,26,80,0,1,1,0,24,80,103,92
11,Matt,Paradis,5,61,75,300,OL,59,9,22,25,83,6,20,20,40,35,22,85,84,70,14,20,80,0,0,0,1,30,93,131,60
12,Michael,Schofield,1,75,78,301,OL,70,5,29,45,73,6,20,21,25,35,17,94,74,63,12,15,85,0,1,1,1,29,87,264,98
13,Taylor,Moton,1,72,77,325,OL,66,10,23,28,81,12,22,21,34,31,20,97,88,65,12,36,84,0,1,0,0,26,92,48,51
14,Stephen,Weatherly,5,91,77,265,DL,82,32,42,32,35,6,20,20,58,77,20,88,68,78,40,79,79,1,1,0,1,26,83,143,100
15,Kawann,Short,5,99,75,315,DL,69,10,40,39,43,6,15,15,91,87,16,95,87,68,39,72,75,0,0,0,0,31,83,125,61
16,Derrick,Brown,5,95,77,326,DL,70,38,56,52,46,30,22,14,80,85,41,94,75,70,27,84,83,0,0,0,0,22,82,71,66
17,Brian,Burns,5,53,77,249,DL,88,21,41,48,34,6,15,17,67,75,24,92,76,86,38,79,79,1,1,1,1,22,80,58,86
18,Tahir,Whitehead,1,52,73,241,LB,82,17,60,64,37,6,20,20,76,84,25,95,80,80,53,83,89,1,0,0,0,30,90,314,100
19,Shaq,Thompson,5,54,72,230,LB,85,58,72,76,38,6,20,20,80,84,25,93,78,86,56,83,95,1,0,0,1,26,76,98,60
20,Andre,Smith,5,57,72,240,LB,84,31,51,59,36,6,16,12,69,82,30,86,56,73,51,84,89,1,0,0,1,23,85,78,52
21,Jermaine,Carter,1,56,72,225,LB,83,15,53,50,36,6,16,11,71,79,30,90,57,77,63,87,85,0,0,1,0,25,94,88,52
22,Donte,Jackson,3,26,70,180,DB,96,45,63,70,27,6,17,13,45,48,20,87,78,95,79,59,92,0,0,1,1,24,78,259,94
23,Eli,Apple,5,34,73,205,DB,92,50,63,69,12,6,18,17,49,57,27,90,75,88,73,47,90,1,0,1,1,25,90,160,64
24,Jeremy,Chinn,5,21,75,221,DB,89,43,68,69,30,6,14,11,58,67,23,84,67,87,67,80,90,1,0,1,0,22,94,323,65
25,Tre,Boston,5,33,73,205,DB,87,49,69,75,29,6,14,13,41,74,15,92,82,86,80,88,89,1,1,0,0,28,92,248,77
26,Troy,Pride,1,25,71,193,DB,92,53,64,60,12,6,18,17,48,52,27,87,61,91,65,49,89,1,0,0,0,22,80,245,87
